,2023-02-01,2023-05-01
0,-0.015953559815645946,0.08266477835767505
1,-0.005450725530955047,0.06258167864648279
2,-0.028070306342367957,0.030825030924877872
3,-0.01430832055426734,0.0439714525604713
4,-0.01602002477848652,0.020379238559007806
5,-0.02040529720772799,0.040601390809591464
6,-0.018798356175833142,0.025424881869393623
7,-0.0009615943214855704,0.0012385529380747329
8,-0.009060052372181104,0.014407714674328886
9,-0.0099258189306628,-0.01995841774576812
10,0.001421109412492072,-0.04066809080692302
11,-0.00902179136540493,-0.02771134109944473
12,-0.0037634284873746537,-0.027140036894665265
13,-0.08608529497671258,-0.014992345701859922
14,,-0.03302984970879397
15,,-0.015233582614115448
16,,-0.0026547084696622036
17,,-0.026567670491437045
18,,0.01293696588395532
19,,0.06822097971556484
20,,0.032756132730818344
