,2015-06-01,2015-08-01,2016-03-01,2016-10-01
0,0.030343496434711792,0.04271198779740448,0.0357412573158884,0.004611939506489193
1,0.07276049657322847,-0.000997528930300362,-0.009614677876064626,-0.01003919858284319
2,0.007213436017475594,-0.01717915616221055,-0.018245819951435926,-0.010341250506292088
3,-0.1394286847597832,0.058744455409820207,-0.005578427369839378,-0.011461008282990903
4,,0.1342394614135971,0.010280305695247183,-0.014402295841464241
5,,,-0.02434940390130036,
6,,,0.03149190993105888,
7,,,0.02782342978323138,
8,,,0.025716417748586462,
9,,,-0.0004497368760372211,
10,,,0.0044355814036247665,
11,,,0.011618576356568155,
12,,,0.013391355287079687,
13,,,0.032114777958669016,
14,,,0.030841827719925163,
15,,,0.011913964577455971,
16,,,0.018223623828193425,
17,,,-0.005222787912511073,
18,,,0.018837124194908128,
19,,,0.0022045088537012703,
