,AID,MaxK,MaxYiled
0,002821.SZ,1.15,-0.018739258065313534
1,000921.SZ,0.0,0.217686551550432
2,002490.SZ,2.0,0.020990110729230845
3,002672.SZ,0.0,0.034813330175746574
4,002594.SZ,0.15,-0.005668132795788791
5,000063.SZ,0.03,0.27413569934259446
6,000776.SZ,2.0,0.09699183672646498
7,000039.SZ,0.25,0.0035266538751005084
8,000756.SZ,0.0,0.015465460039256893
9,000002.SZ,0.01,0.0345359094306218
10,000157.SZ,2.0,0.019334534497654814
11,002202.SZ,0.0,0.005731101597356488
12,002466.SZ,1.1,-0.17770508774698726
13,002460.SZ,2.0,0.18935196034840215
14,002399.SZ,2.0,-0.09296549915709203
15,000898.SZ,0.75,0.1255173846963479
16,000488.SZ,2.0,-0.012084149864520232
17,000513.SZ,0.0,0.029099439189807317
18,300347.SZ,2.0,-0.10626173086666933
19,000338.SZ,0.1,0.07904469300063369
20,002703.SZ,0.02,0.22146986271876568
21,000166.SZ,2.0,0.09434841629385246
22,002948.SZ,0.75,-0.1688536924156565
23,002936.SZ,0.5,-0.07946341215041786
24,300759.SZ,0.02,-0.22922510385213435
25,300748.SZ,1.75,0.019803170770269964
26,003816.SZ,1.45,0.06383847834423924
27,301039.SZ,0.25,0.16493808505988183
28,001289.SZ,0.2,-0.10611337354685911
29,001236.SZ,0.75,0.419068277875
