,AID,MaxK,MaxYiled
0,000921.SZ,0.75,0.07524829035280232
1,002490.SZ,0.0,-0.026919196656240194
2,002672.SZ,0.0,-0.10330798707115556
3,002594.SZ,1.3,-0.01966347920859511
4,000063.SZ,0.1,0.01514519595528507
5,000776.SZ,0.15,0.2784076980530516
6,000039.SZ,1.5,0.05827666884375947
7,000756.SZ,2.0,0.11859206954665469
8,000002.SZ,1.5,0.11697481065163108
9,000157.SZ,2.0,-0.03572192165542904
10,002202.SZ,0.5,0.06491708990604923
11,000898.SZ,0.5,0.020784294888114976
12,000488.SZ,1.15,0.032458969972415944
13,000513.SZ,0.1,-0.09368531975591934
14,000338.SZ,0.75,-0.11213736580182215
15,002703.SZ,0.0,0.10964209344288074
