,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-06-01,2018-08-01,2018-09-01,2018-11-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-08-01,2020-09-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-09-01,2021-11-01,2021-12-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01
0,-0.06090751999194399,0.007720823959158629,0.045962417835190505,-0.007259278117116852,-0.043496151539538896,-0.011070529934003925,0.008863930983718626,0.09680643459550131,-0.01557170361615512,-0.02554366723759105,0.04884886931161633,0.021967021375835838,0.0046668231721567754,-0.050411167214486685,-0.0022390876797278025,-0.010622723865450157,-0.017199922135396672,0.013743849400502661,0.00037772856295203994,0.052978139799429266,0.004670584370351172,0.03081671211463921,0.03417702536562073,-0.0061856855766828645,-0.001822944099852064,0.04235689475201032,0.00026356887869249945,-0.021562262504631002,-0.01965120488322558,0.008131866042309088,-0.05051888491803469,-0.02719659493427029,-0.015909375832517947,-0.06370789550693567,0.03757485444892783,0.03292577782781292,0.03296919274525112,-0.0083495464540011,0.025287208934818173,-0.027113931669085378,-0.03686703350745946,-0.021442025493752626,-0.016623841290543506,-0.006653964138407353,0.02873466797909341,-0.006231362918226235,-0.011312974500127915,0.0023682389923140867,-0.000317330070167543,-0.019033529949838812,0.012351721380846392,-0.02025975727897089,0.021771560054510086,0.005157474464537515,0.0008766933792656584,-0.033139409797861674,-0.05246463275073454,0.01554536015443464,0.01645735137235338,0.012334046016059474,0.08301712429458785,-0.009246648261115986,-0.0013093440768354725,0.07546983395278772,-0.0047925092262048885,0.05943861914957749,-0.025719833978069095,-0.007165264323383713,0.013686964015254155,-0.006043896676573901,0.025398412848221863,0.015111666487999775,0.03345216482880886,-0.04575346691385773,-0.055224882192344005,0.03138331930609306,-0.0072819935985677375,0.03850755715253351,0.018348426484764424,-0.0055939711854771645,-0.04650724382716289,0.005465564189776284,0.01049462052432748,-0.0432480520058004
1,-0.044874606239843295,0.004616109948376579,,0.03204706892860226,-0.015961111502009295,-0.07950397104505491,0.008183596746916821,,-0.011813308019956725,-0.03212466560490235,0.07871530983919092,0.02104674163093012,-0.012391397037330332,,0.020159340545112814,-0.001090247327304672,-0.011564484674761788,0.00790717226633042,-0.0006049540051376034,,0.01702407820565144,0.03253398051147349,,0.011145060169946763,-0.0011622068776251382,,-0.003290143223584341,-0.038272776200838576,-0.049533830018156255,0.01737157923179522,,0.011299353159238024,-0.022521450796772813,,,0.029734678233572343,0.03551061140553835,-0.007987887987165543,0.028818545921462935,-0.025019118596810053,-0.03354376997037001,-0.006332502448117339,0.008542806177465057,0.010417649800994022,0.029995838171057,-0.005965525720821541,-0.02608153574384442,-0.007275614121459828,-0.0019215058917998462,-0.014429600392322606,0.05154818758990265,-0.044117568347458835,0.029560419449022657,-0.004605451837521368,-0.029481831443054274,-0.04071376249199554,,-0.008165143989220525,0.022981438576714197,0.00982422123213711,0.10293455322712086,0.002598703924289847,-0.007411229783808704,,-0.007837564723181867,,-0.018480502056495096,-0.024617797550903653,-0.008805542759329654,0.013305047948446003,0.0538153758240556,-0.003768044787846314,0.01315756842418958,-0.06398756027397967,-0.044125072559816125,0.02049305203826446,0.014739803013555042,0.05150692485718089,0.051640958487011,0.0035162240933330202,,0.0102463541110982,0.0466757347772937,
2,-0.02776592143126111,-0.01746249813766898,,0.03765348709576383,-0.032470822810464206,,-0.07877175914195189,,-0.010616369741600629,-0.06210124928875449,,-0.0031570329835748367,-0.04739050584234378,,0.02479018631304375,0.004739787861163913,0.017084639672137802,0.0009097244097884261,0.011130694410173447,,0.01584970856948864,0.03346381575498891,,-0.012236471234716495,-0.02240063104698864,,-0.010856970800027455,,-0.0403708832444023,0.027684411746351945,,-0.04108401249155191,-0.029777694793289955,,,0.04388388487998429,0.052739563609927265,-0.03791454703707986,0.03765729584391564,-0.04267189158172924,-0.03181701512796842,-0.01008791260482611,0.0057276399657300026,0.021848771995939487,0.03742911170649732,-0.02369342180606826,-0.028613815583134805,-0.012989482488967585,0.00926175326145895,-0.02389942500739456,,,-0.006883605523798408,-0.01873826186866223,0.0032656489359907948,-0.08507852044221531,,0.006742571496300531,0.0011900318485036365,0.007710491400540587,,-0.027568562763068183,-0.027102986984513855,,0.009029654769741935,,-0.010199824424671489,-0.021461680626955637,-0.009480882460749296,0.04513808675115083,0.03546607142442326,-0.028838910733214762,0.021816684523403573,,-0.013801193532496647,0.02161125513415385,-0.017901233190854127,0.06829007197292336,0.028478839166528935,0.012800550139817568,,0.0026411304073969966,,
3,-0.027667580149729698,-0.017370536085226762,,0.03885449542121794,-0.04270696850842004,,-0.03503147404440843,,-0.023169079823421868,-0.06769451798558856,,-0.023564005628475826,-0.045007046102247095,,0.03279995128337165,0.009834342157953424,0.008466057980772268,-0.0060988245469926206,-0.011595556335861623,,0.019104424914111906,0.03431938367550358,,-0.011184787719211275,,,-0.01914730489552463,,-0.03391762325037684,0.030542482694270845,,,-0.033886989008645285,,,0.04793322055633942,,,0.053204930194114874,,-0.03546950469869259,-0.016771525289664524,-0.020246399415774885,0.009521578833984856,0.018295373188981223,-0.05345239700821036,-0.05310257173215316,-0.02428169774045985,0.015798792268665096,-0.016796707716308312,,,-0.009929443582073816,-0.010132165489128653,0.04971266478204206,,,-0.012369161528380967,0.006153352030121795,0.07760110016813515,,0.01653680326471152,-0.037017628693007065,,0.017612926042036126,,-0.014269710421647375,-0.02733930543421037,-0.01796598052193099,0.08934439763044155,0.03516549374071687,-0.022498022778595805,0.0246979581224398,,-0.02866781592421752,0.017985507809220813,-0.004021543802853911,,0.04057198429895337,9.750502406941086e-05,,0.03240528105736917,,
4,-0.03853552198839161,-0.017656504218094282,,0.021930170280359762,-0.07510562256112818,,-0.007553655871664011,,-0.03909450274564863,-0.062409578296639845,,0.024153644167782318,-0.010328047999741574,,0.011689020390711624,0.029237111679815575,0.0186683202715634,-0.005300056867348912,0.009042749392140781,,0.035367086044488794,0.03683084885870591,,-0.017962629226545346,,,-0.002218749414648613,,-0.032876663879982004,0.020810447889599182,,,-0.029787728956806703,,,,,,,,-0.04131423812267432,-0.00915199432106184,-0.02441037003734814,0.016506707460982373,0.036998912051394495,,-0.046263996986996236,-0.010428537388580406,0.01482623269072647,-0.03703413958341467,,,0.0036050950904136236,0.00782384130202729,,,,-0.01980174640307597,-0.0071618161727227125,,,-0.025555160273158073,0.013450438709130985,,0.0010315756375018914,,-0.023087620989287627,-0.03648495826243359,-0.022197267762466666,,0.05071845302445421,-0.041427619872750565,0.028569941676732213,,-0.01974060228482255,0.014382044664241977,-0.011702283018862003,,0.00344201209833761,-0.030645913468343944,,0.010710644977050432,,
5,-0.040860196591937736,-0.01559970916658604,,0.003582168147328646,-0.06473117759710867,,0.011869842168952482,,-0.07795073066161695,-0.03165944776733065,,0.044215041038632386,-0.019702010589467578,,0.021013096395783526,0.03806651687997342,0.016355047706729353,-0.005332495634622791,0.02846618051472971,,0.04749135001690208,0.04920001700684007,,-0.005088551519323081,,,-0.011736369029293758,,-0.026787255673640153,0.023985011876964446,,,-0.03546933122588136,,,,,,,,-0.07746507344192954,0.003141822383724957,,0.011742390249434687,0.05497905007277293,,-0.03703047520632463,-0.017599105070318366,0.02839751838849125,,,,-0.050150191224831,0.011526110879585438,,,,-0.020767981330224394,0.0018437086843152706,,,-0.04179740639904761,-0.0008883233123513357,,-0.0020640997596528265,,-0.03671040280123239,-0.03757524243052979,-0.009538107421291464,,0.0413220790534341,-0.03758524316350309,0.030256195961777532,,-0.06702251774121759,0.003948594862472898,-0.009315829348235605,,-0.022667213884276283,,,-0.025726594204348974,,
6,-0.03563579070453704,-0.009679988298812559,,-0.00801824378678756,-0.07893857888624733,,0.055825118891712044,,-0.09644916745078813,-0.02625339584876185,,0.05107615140381627,-0.02074597641575532,,0.0008812261603636795,,0.018175294549318766,-0.002722203633224396,,,0.013810428486199733,0.045535333680756684,,0.0013472840135260178,,,0.0015786773384336428,,-0.003262890056833445,0.0249818459755784,,,-0.02731698495097512,,,,,,,,,0.012091738010237219,,0.015310076825018282,,,-0.0335450090693703,-0.0002612326461286507,0.03896446407304177,,,,-0.040442205611535,0.008264136550002465,,,,-0.020121149440486708,0.033936888975443225,,,-0.02615828934368425,-0.02000581401668189,,0.0007047869447336375,,-0.04211140982209183,-0.03042979763954179,0.02395533329824895,,0.020431785666927826,-0.03003337022871988,0.02453278147293725,,-0.06469529003792385,0.0018873817427151884,-0.018673285481728197,,-0.03784095639684937,,,-0.033176224440857105,,
7,-0.04973048531227242,-0.01473634634082388,,-0.029170110881245714,,,0.01771978676756092,,,-0.01700610386175372,,0.014408200954184824,-0.021877251194497738,,-0.012542518402388625,,0.03468905492548391,0.010264416167087287,,,0.04023388947442763,0.029841597530843478,,0.0009102415235844319,,,-0.0029208880385107605,,0.010947214927863769,0.01892528765570667,,,-0.03646449896827564,,,,,,,,,0.013601152532378036,,0.02323505042319507,,,-0.038216819203405805,0.004503402052900007,,,,,-0.020499098269293192,0.0008983313599073561,,,,-0.01249866735289018,0.016863696237670478,,,0.02288771207648832,-0.002470759594424443,,0.0034778856198078856,,-0.04940166789504152,-0.012465668588949708,0.025389080304667022,,0.033641347536325306,-0.006855828887121884,-0.009245988701028551,,-0.059792517630739006,0.0108054506535189,-0.012823004869100929,,-0.05223202015490003,,,0.004130482083847475,,
8,-0.04333485749364563,-0.015531803769521346,,-0.05032642939012938,,,0.06117069078885806,,,-0.002749753925925358,,0.01917367911560497,-0.02068069379253873,,0.0014473639273722139,,,7.80070064407834e-05,,,0.040163382390572266,0.01683779529863849,,0.0036586040526485064,,,-0.033205305981292454,,0.024564517710144784,0.028387533903260653,,,-0.03805957931860271,,,,,,,,,-0.0032643731909558493,,0.011434018940512214,,,-0.02465771199346234,-6.956101712285445e-05,,,,,-0.0021624841798955075,-0.007652379118828101,,,,0.007349055279039618,0.032597939934313036,,,-0.013158531980767663,-0.013824861049521076,,-0.015367019564557438,,-0.03248245910288583,-0.03649560667129581,0.06061976890935883,,0.07320046578405925,0.01072181645745962,-0.01343760582626663,,-0.08709895126770562,0.025538312824148424,-0.014433678499280678,,-0.024884632974174536,,,-0.015311882984395453,,
9,-0.03176173605543253,-0.02908443290352336,,-0.049708969594248364,,,0.07005714282616804,,,0.014457484855249891,,0.017971682093116392,-0.06465110752465403,,0.015448752580579983,,,0.012860770221166051,,,0.027618060052339466,0.01308037766923742,,0.013404518650387054,,,,,-0.003909233975789128,0.011895166744635421,,,-0.04205031479643084,,,,,,,,,-0.01641201437579931,,-0.007540911906402492,,,-0.0369017762704531,0.007575507295303208,,,,,-0.015190145626350127,-0.018070997579828774,,,,0.0025386683229231544,0.017417283752798163,,,-0.01851869312832699,0.03217733841451231,,0.016264692740279862,,-0.04245625049762136,-0.009288684629846333,,,,-6.996102778189517e-05,-0.020659587295061677,,,0.0143251590114577,-0.019280039024608397,,-0.028900117393656277,,,0.010279092490485198,,
