,2008-12-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-09-01,2010-11-01,2010-12-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2013-01-01,2013-02-01,2013-04-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-07-01,2014-08-01
2,,,0.0387690736203794,0.01324783908211491,,-0.018775147393194747,,-0.0002612398052156406,-0.00030067445794657033,,-0.024036121027721014,0.03264160862875709,0.03093436524836024,-0.020120869610799508,,,0.017583130052321483,-0.0064026359574695935,,0.036296464612370904,0.05964575609855527,0.022259666970316228,,,0.022182998974382917,-0.007496704493541895,-0.0038975550753195254,-0.026689300639738733,1.6717162775625738e-05,-0.007807891043070447,0.020876373317634034,,-0.014715660410137499,,-0.04722150035689365,-0.009798918877965912,0.013933369232535409,0.017032374743506384,0.058976189637507836,0.014175849734777146,,-0.048560092402593735,-0.005329652952160258,-0.0757551374430043,0.05638698991184454,,-0.0011960025451248635,,-0.01985887670390074,0.08220271637327403,-0.004579311062809399,-0.07724471087618734,0.02888025182311771,-0.017889812496377,-0.023961587536691864,0.005854657822069953,0.0077488183175453695,0.017335126566963455
3,,,0.11179401482286377,-0.010436058058279851,,-0.028758103891563636,,0.036292268719293364,0.0022233371133681956,,-0.044795274711864175,0.05339480107822281,0.02464093056045602,-0.06495913175209345,,,0.01791531082210951,-0.015348517896787595,,0.02249204342423683,0.08099998557025168,-0.027977223481793656,,,-0.010872803315497004,-0.016693600265693997,-0.002021626548525113,-0.02514707213947942,-0.013500991324257194,0.03807820109494564,0.11190344316111389,,0.018264803226391235,,-0.03451529889322558,0.02212702379404896,0.001446176532974519,0.009610804709811571,0.06144156453525662,0.0023681284022509796,,-0.02614495693468344,-0.0012917233545910456,-0.089181464471882,,,-0.005238075491161065,,0.005356193106670348,,-0.009151644674791015,-0.06784691677179189,0.07030620609023464,-0.010597974508159136,0.005776174664647193,-0.007314157875592531,0.028342448420714872,0.012303239100347252
4,,,,-0.09896185683240266,,-0.11015708728039897,,0.039433226576216396,0.015618011308313529,,,0.045333564333706056,-0.01932777995015922,,,,-0.010038742887836127,0.004861901393600432,,-0.01173547753284887,,-0.017375039862974062,,,0.009627819809931104,-0.019020212625954658,0.003355646764299891,-0.09922635241816724,-0.011406849272104003,0.06632923566915738,,,0.05982108526001406,,0.005603091373339808,0.0382750904603153,-0.011842960520856316,0.019872844536810153,0.054663159215460055,0.006269137866670271,,-0.0005105912429148596,0.011940656494698443,-0.0715816246338101,,,0.0006602813439759991,,-0.0041807513642946326,,-0.030356556902393472,-0.04447465768055392,,-0.021956303650102482,0.021439571608686814,-0.012552819086000144,0.03444829892150647,0.015795754851597565
5,,,,,,,,0.05953249995930787,0.012505040084393793,,,0.09701444365629674,-0.022665756220591193,,,,0.00254200713170305,-0.015302713829274728,,-0.010654721924022503,,-0.016881794017283402,,,0.025195357978246014,-0.030580929542396107,-0.009305828068827404,,0.008855782856628247,0.0654132182034799,,,,,-0.017070902721969983,0.03647930405426858,0.01971509625718726,0.004687327565488286,0.06628905839327093,0.03715978152210908,,-0.012260398386275906,0.019132021100679797,-0.08893026296842318,,,-0.01816462710129607,,-0.010741954704011403,,-0.020798520799615194,-0.06797662126191073,,-0.020914685672209665,-0.03350071599027049,-0.012520947785513714,,0.015730209396871198
6,,,,,,,,,0.002858192070150256,,,,0.008176334319058842,,,,-0.013767904929426367,0.0003501472169546993,,-0.018032349892124877,,-0.01586343789859246,,,0.01698993703865903,-0.028223752307308225,-0.029643134899866475,,-0.052575752686150334,0.051382906634738656,,,,,-0.016509862913502538,0.03204281016201049,0.11687006830002122,-0.014742518416482664,0.12855879115318647,0.025258363119856297,,0.04498639990405895,0.0583763612102437,-0.08540080004915349,,,-0.02311139061813927,,-0.014634156993220016,,-0.03596484520299126,-0.07237515543979423,,-0.019789814842684272,-0.036323148103236,-0.0024177696292063677,,0.04602535057444579
7,,,,,,,,,-0.014609377129141121,,,,-0.03100885291014044,,,,-0.019979149131759133,-0.004950733559019538,,0.019506210176155392,,-0.007973316786299756,,,0.0263684489487932,-0.044923050507022944,-0.015648467026624147,,-0.07692483731276534,-0.005162103093273918,,,,,-0.03547263964262881,0.04715121249682763,,-0.0015306244442521155,,0.009332411991293976,,0.04316417050090715,,-0.05623680747260315,,,-0.004134446259815405,,-0.012165156974137448,,-0.03213434258393977,-0.10794754124895956,,0.10690494790701943,-0.029529870683710602,-0.008497900140963854,,
8,,,,,,,,,0.016567066553712317,,,,0.005203499436702508,,,,-0.01177213482325401,-0.0054316064824520005,,-0.014789834525800849,,-0.004347304477588909,,,0.008346832199126908,-0.018799937724129356,-0.037948179726028375,,,-0.012809706542019295,,,,,0.014064997127551715,0.02643759086016595,,-0.019648745501958054,,0.006151852805783231,,0.021196987708410386,,-0.05420096634917135,,,-0.007717079955866568,,-0.02635325073293826,,-0.06114048517214543,,,,-0.031759562569284805,0.017678747445565413,,
9,,,,,,,,,0.0068093271177342984,,,,0.010495278633124716,,,,0.0023064059627617706,-0.008273505130403924,,-0.038686613886905086,,-0.007280325331537663,,,0.037360185668162016,-0.015567911328345674,-0.040471307006034074,,,-0.02416274782157901,,,,,-0.0517469415460996,0.03663049091427295,,-0.09627439142854999,,0.02777307817386576,,0.058172071702200956,,-0.1144137741056441,,,-0.011401399723965477,,-0.03596391860979131,,,,,,-0.04639463413240552,0.04121642949144144,,
10,,,,,,,,,0.038194919080103196,,,,0.02993236685569256,,,,0.00957750764948706,-0.022794434952245313,,-0.008699581659038724,,-0.013956753221549212,,,0.040961042666630254,0.0006517522877024229,,,,0.011059254896619852,,,,,-0.0011106310978761247,0.035834720802284226,,,,0.04268216685275228,,0.06416695971375352,,,,,-0.04068760550526829,,-0.02596341942347613,,,,,,-0.04658160244182197,0.0719824578646413,,
11,,,,,,,,,0.006582212361775364,,,,-0.0038404424481821575,,,,0.021627204775736653,-0.031247937195605813,,-0.011765988063517252,,-0.018008880987993026,,,0.04183940256570118,-0.010128266643164019,,,,0.03763942907294959,,,,,-0.015419571625577833,-0.004075264359540309,,,,0.03469262594318845,,0.12793618150325559,,,,,-0.031512274093036696,,-0.012485194624936469,,,,,,-0.05656415358146205,,,
