,2014-01-01,2014-05-01,2014-06-01,2014-07-01
0,-0.00032326746145527885,-0.012258224129858775,-0.0239885476265691,0.0035038789124184344
1,0.020847629017709313,-0.0071938564375193526,-0.05470163440421083,0.0063163758286868266
2,0.012711399274086155,-0.0023951304746872015,,0.00501722498701318
3,0.022843257559209462,-0.0037464885028954953,,0.019111731980003377
4,0.015238338656640371,0.016323759711178498,,
5,0.012007385335166099,0.003894202331917729,,
6,0.046445089392449734,-0.0014687157781581028,,
7,0.06042907590425006,0.0019301373779883058,,
8,0.023326692681778116,0.005112510416402483,,
9,0.012869254077105374,0.005180837429513696,,
10,0.01229246323652533,-0.004134646918575902,,
11,0.012736178023944777,-0.021283664726822638,,
12,0.03722465874200376,-0.01653229924364652,,
13,0.0246380163432538,-0.018701176628737493,,
14,0.03483988073472277,-0.021726074848214205,,
15,-0.058704738688475366,-0.014422109476639688,,
16,-0.07996098134275442,-0.021849540615815233,,
17,-0.032805797169183304,-0.05919685383480888,,
18,-0.01561363930676185,,,
19,-0.030195604966332557,,,
20,-0.026070914289341385,,,
21,-0.013168559842156036,,,
22,-0.03314185844724493,,,
23,-0.06870656092512473,,,
24,-0.002170937518136462,,,
25,-0.00929383752589219,,,
26,-0.06875426946262841,,,
27,-0.09597518070334399,,,
28,-0.09275906206653195,,,
29,-0.10660972780020783,,,
30,-0.09794996786388666,,,
31,-0.07054551038187906,,,
32,-0.06739822889268998,,,
33,-0.005999839227991632,,,
34,-0.02589670712374126,,,
35,-0.02279387692403434,,,
36,-0.009743790209350678,,,
37,-0.0348347795526851,,,
38,9.010942012865897e-05,,,
39,0.022287536403003516,,,
