,2015-01-01,2015-04-01,2015-12-01,2016-02-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-05-01,2017-06-01,2017-07-01,2018-03-01,2018-04-01,2018-06-01,2018-08-01,2018-10-01,2018-11-01,2019-05-01,2019-09-01,2019-11-01,2019-12-01,2020-08-01,2020-12-01,2021-02-01,2021-03-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-10-01,2022-06-01
0,0.01917511615209866,-0.05909844412518206,0.035263568788709954,-0.07303319954132259,0.0659568297790345,0.0031436787032350644,-0.0291043606746898,0.0231194819402587,0.04688742553226466,-0.005924959749046277,0.005416313270472456,-0.027049832210808367,0.02490559303741272,-0.055078457781644885,-0.015101287215310455,-0.0008297170346602822,0.03134455790846702,0.03230667274633686,0.09035548159978313,-0.04347903743329795,-0.060575097483388074,0.001563305468473164,-0.023224128551604384,-0.004104202741809004,0.03580820502536641,0.012011885940986122,-0.0250107233644018,0.017756437749856913,0.027569735244382443,0.05320689511513699,-0.008576329674230498,0.047933730068824065,0.027152057518505024,-0.033453370531399795,-0.010577315538066179
1,-0.002783231787124918,-0.06243050063266875,0.047962337966674484,,,-0.015252740971666734,-0.03809925002667691,0.029560216239298498,0.038777490130856185,0.010778328016083583,-0.005326942492226511,0.013975858980980638,0.05720616936569847,,-0.004447516293101028,-0.03038817805865901,0.03747723150918314,0.023124485379737936,,-0.04384186792731082,,-0.017316898882376974,-0.028507353166537963,0.017738832516839498,0.08625282332533712,-0.03484748937970972,-0.0046479799927993115,0.035830945755807475,-0.026865104913964766,0.032988425653839304,0.012774530102096726,0.003974526039307258,-0.005924460418660016,-0.03819841752862302,-0.031596659763749146
2,-0.0005736059933805215,-0.08560144170618056,0.02701662163743379,,,0.012893457459043356,0.011414589306353196,0.02606440769231355,0.07251651785479529,0.03929214138379433,0.002850582820553532,-0.014404540077606498,,,-0.012230769846367728,-0.039282737058019324,0.05033577407480205,0.04284568957154106,,-0.05597040943380205,,-0.013555202785269116,0.03304494802887492,0.02812453947171689,,-0.03254506529629886,0.042309374058953186,0.006089294631671072,-0.10642195901201124,0.03711412452580953,-0.003924698531555748,0.024305672875054807,-0.029077593161671023,-0.07077054740019367,0.014792338773717217
3,-0.005737609929611698,-0.10247580959350278,0.09334377136896943,,,-0.005507166193303048,0.009961023906735478,0.02640836162012805,,0.05816943849542966,0.01171727388690283,-0.024652281338082283,,,-0.01742630502331144,-0.026744569929467943,0.046045516430588185,0.009467461187682435,,-0.055044299689763765,,-0.025097361811964647,0.03531032770787168,-0.005838283610744233,,-0.020961934930734838,0.025061684719894117,0.04701263024166691,,0.011428065132958354,-0.012080714970381434,0.06281891153672703,0.006496512723001557,,0.0199304912650744
4,-0.021488158599160312,-0.11535607630938904,,,,0.00857307857555023,0.02728311601709643,-0.01572117405627238,,0.0663042228234485,-0.012529966003799714,-0.03395081214930307,,,-0.015062265211437609,-0.0428851264927701,0.02868016762346759,0.015148445954124734,,-0.06458538161913385,,-0.0488612938903461,0.0532786051048626,-0.02670573693300904,,-0.02759318314867354,0.003720566265483116,3.248484206430646e-05,,0.032213411189224495,-0.01061021059839029,,0.020641728812368032,,0.008723802350075749
5,-0.019431772559025395,,,,,0.029489636734219005,0.017650805530840752,-0.07125615935252139,,,-0.022857160590317033,-0.023831634022785098,,,-0.0027451830195566185,-0.02021970258327821,0.04359461802508391,0.0057836881112166005,,-0.0976820996174309,,,0.04627856493887794,-0.01408914006867601,,-0.0394585629488553,0.008993018504567907,-0.02443603132697425,,-0.01264781591333275,0.01915186711137551,,0.057107875962621235,,0.012485879059420002
6,-0.04348992070117419,,,,,0.04373135692205543,0.012758291515400866,,,,-0.04572753232852941,-0.03200872556628642,,,0.025026823965392353,-0.013349565396399088,0.06796255788721028,0.0009292897723130467,,,,,0.05014427284847578,-0.018481662285375178,,-0.017139505259521126,0.01742995870938313,-0.0043935223276707625,,-0.058399624073486534,0.00822421202399859,,0.0745656510184235,,0.003330226553086346
7,-0.06654798891353386,,,,,,-0.019342943263176315,,,,,0.0010644232807925924,,,0.09290832656806725,-0.0014605109649703518,,0.03831163210192129,,,,,0.04395799862235317,-0.015299941076321266,,-0.009246476358109934,0.0336891676757316,0.0116261802741211,,-0.03552100073025266,0.014726917855797161,,,,0.007258868484232517
8,,,,,,,-0.023169932657528647,,,,,0.0028253664821429325,,,,-0.014639293724146185,,0.0071448896176212195,,,,,0.024086097865626988,-0.02472555264847598,,0.02106475712207123,0.0899876570528435,0.0015596236255632778,,-0.008232028329173247,0.028438332183122528,,,,-0.026120924935283618
9,,,,,,,-0.044994289401259935,,,,,0.000874775151181284,,,,-0.013775570157041228,,-0.027303408371164017,,,,,0.02085830615008477,-0.004944543866789219,,0.047625915173409084,,0.01132967612201563,,-0.021531460048288098,0.023291693124494417,,,,-0.009500043699243177
10,,,,,,,-0.07047785523836503,,,,,-0.02008964673951885,,,,-0.027586315496401337,,-0.05615988028790303,,,,,0.02085830615008477,0.015648370294903513,,0.09111250446976493,,0.0334210709738354,,-0.02812788040372083,-0.00010810584938836243,,,,0.0010458963200958848
11,,,,,,,,,,,,-0.022008363071989834,,,,-0.02264234915961927,,,,,,,0.004006139876061576,-0.006174492588304936,,,,0.02383623564787629,,-0.04341743146459409,-0.01796692757762197,,,,-0.00468164459929632
12,,,,,,,,,,,,-0.019281884127464455,,,,-0.030142741199113754,,,,,,,-0.0023292158416323705,0.015284405044287075,,,,0.00954611899799751,,-0.0009498949661754796,-0.05765810514636427,,,,-0.01722742575392755
13,,,,,,,,,,,,-0.001240527359322341,,,,-0.006222119969061746,,,,,,,-0.020235159016706694,-0.00043523254698540903,,,,0.01413356187994852,,-0.029104638481286083,,,,,-0.02957326148042383
14,,,,,,,,,,,,0.033562515296469364,,,,-0.03268117585686103,,,,,,,-0.005754224950929365,0.0016869025944838967,,,,0.021802953153435833,,-0.024311781918589626,,,,,-0.003999526954618693
15,,,,,,,,,,,,0.019405107179301773,,,,-0.04597972138618611,,,,,,,0.002289581251777917,-0.01832841732764301,,,,0.01354604214013544,,-0.03352240980819832,,,,,0.02002364955860303
16,,,,,,,,,,,,0.008988481383454872,,,,-0.06328588076018615,,,,,,,0.009185634527355657,0.07140343564277096,,,,0.018273465244905696,,-0.07940912343461615,,,,,-0.019505846860594866
17,,,,,,,,,,,,-0.009284401145428278,,,,-0.07318877598986395,,,,,,,0.02236388426616498,,,,,-0.012931167904157936,,,,,,,-0.011832594034469679
18,,,,,,,,,,,,0.01353393939209191,,,,-0.05874450621631366,,,,,,,0.024499515141082062,,,,,-0.003692538163508008,,,,,,,0.02238655388269195
19,,,,,,,,,,,,0.007840740041591188,,,,-0.06576489324031987,,,,,,,0.021391138184991054,,,,,0.018437624224749927,,,,,,,0.01830178500277091
20,,,,,,,,,,,,-0.0009188915609690262,,,,-0.073264338878549,,,,,,,0.015922461973321034,,,,,-0.05097199450010592,,,,,,,0.05467520283921434
21,,,,,,,,,,,,-0.01934751200800955,,,,-0.06150169653083415,,,,,,,0.0033015946580927658,,,,,-0.14526252957296548,,,,,,,0.04121237627544594
