,2019-04-01,2019-05-01,2020-10-01,2021-02-01,2021-07-01,2021-10-01,2021-11-01,2022-02-01,2022-07-01,2022-08-01
0,-0.11662351740092702,0.02768746625136398,0.0055638657446727136,0.02360968502561467,0.0024977085484236827,-0.004592965680286165,0.029176088221236518,0.028759967959207433,-0.014031261389753302,0.006106635708824859
1,,0.03608858359083711,0.026392671010505242,0.012801792216362129,-0.0038188478307066287,-0.0013037521487815895,0.01821332473778592,0.0451070336849968,-0.012601252142304231,0.006466733129460112
2,,0.027886893721966954,-0.010853870738853133,0.034403534185214024,-0.016172674000153542,0.0005834741226879436,0.010115778969556732,0.022640564433250576,-0.04267014149954651,-0.0025884673406415537
3,,0.031201074969482878,-0.02939856183674794,0.05405729730491626,-0.040782060543507415,-0.016593136871926817,-0.006435912811698419,0.028104706317865213,,-0.006682324289018382
4,,0.03257097294875155,-0.02186455611229443,0.0527490006994189,-0.01983836949580109,-0.009904373839737801,0.006581558485542538,-0.013594041601874052,,-0.004100643691541839
5,,0.013439049418391358,-0.03884836820616833,0.0031595515323983303,-0.05434666930497056,-0.010787814899901493,-0.0026291568290601752,-0.00703183698378429,,-0.01943738574920162
6,,0.011394068778515454,0.009614040349471442,0.03729177853822119,,-0.01704080783450107,0.028042189441439103,-0.035986160456474625,,-0.042676770436876454
7,,0.029191754820199645,0.08108796450178068,0.01612393808481949,,-0.000426801483447925,0.044525791966937844,-0.028493286535345108,,
8,,0.014526588881493163,,0.0441130989978169,,-0.0441088049496457,,-0.008784807892475932,,
9,,-0.0033386488463176267,,0.06245414454955989,,,,0.017587924206667438,,
10,,0.01775610435787578,,0.07349630599669332,,,,0.032510009213348345,,
11,,0.024359330303742155,,,,,,0.03954648096811475,,
12,,-0.0010543390309663003,,,,,,0.05456239311042199,,
13,,0.004614824499099557,,,,,,0.0603850601789806,,
14,,0.0005280964176930247,,,,,,0.08125717626933238,,
15,,-0.0040999386494826595,,,,,,,,
16,,-0.011216119243179223,,,,,,,,
17,,0.0008370340137004995,,,,,,,,
18,,0.01288071148465697,,,,,,,,
19,,0.0021965979934228663,,,,,,,,
20,,-0.0011706742803838655,,,,,,,,
21,,-0.0019351499268891459,,,,,,,,
22,,-0.025641991869512548,,,,,,,,
23,,-0.024664943847013454,,,,,,,,
24,,-0.0432476873901646,,,,,,,,
25,,-0.10273999322825289,,,,,,,,
