,tf,tt,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,1,1,0.46923366316529597,0.039040306663203565,-0.0006824689302368679,-0.0005545023263378708,-0.008189627162842416,-0.00665402791605445,-0.0006824689302368679,-0.0005545023263378708,0.734899797973461,0.08192100595786017,259.80000691760097,2524.449222459153,2784.249229376755,2.9216885021546077,-0.08848271031819371
1,1,2,0.0167835622999743,0.0015355816296474512,-0.0002781014214211283,-0.0002185543055412197,-0.0033372170570535424,-0.0026226516664946365,-0.0005562028428422566,-0.0004371086110824394,0.748641807803482,0.08949545111312084,260.3841206823875,2536.4009402785405,2796.785060960928,0.6300724415676916,-0.06418938187583703
2,1,3,0.002303516788793233,-0.00042663575859118506,-0.00023069397630939902,-0.00023219470691459947,-0.002768327715712788,-0.002786336482975193,-0.000692081928928197,-0.0006965841207437983,0.7529626271295302,0.09255337420006657,260.5074009245351,2541.527938257147,2802.035339181682,0.20383343722523264,-0.08119983400015399
3,1,4,0.0010057280569502063,-0.00038562027603145636,2.4605261816688507e-05,-0.00017920358136059046,0.0002952631418002624,-0.0021504429763270845,9.842104726675403e-05,-0.0007168143254423618,0.7634591328832198,0.0973198710508769,261.1379725840256,2558.3201967352666,2819.458169319293,0.1272356655256122,0.009320837637130248
4,1,5,-0.00015909297070444486,5.79762631281591e-05,-0.00019926934741369757,-1.176981040954377e-06,-0.0023912321689643704,-1.4123772491452375e-05,-0.0009963467370684874,-5.884905204772128e-06,0.7717529124557034,0.10260262357005792,259.5785001058846,2583.2350780768497,2842.8135781827336,-0.023529698731477856,-0.07116939047036838
5,1,6,-0.00016424691888660165,5.368592346938931e-05,-0.00015010755786499087,1.3638143520949886e-05,-0.0018012906943798918,0.0001636577222513981,-0.0009006453471899459,8.182886112569904e-05,0.7700230087902238,0.10011092379328386,258.56339152459554,2586.583161667107,2845.1465531917024,-0.03438257990167905,-0.06310166631488139
6,1,7,-0.00017312857620782902,9.501726852338726e-05,-0.0001374222050610325,4.8327365524969443e-05,-0.0016490664607323902,0.000579928386299633,-0.0009619554354272272,0.0003382915586747859,0.7607782212345368,0.09785708203367213,259.6310702523976,2572.266950009157,2831.8980202615544,-0.04914493284479246,-0.06704131151571614
7,1,8,-0.00019776620808591858,7.414250511645228e-05,-0.00015139611847518627,4.559853577225102e-05,-0.0018167534217022354,0.0005471824292670125,-0.0012111689478014902,0.00036478828617800816,0.7622292210422736,0.09692978888661509,259.25980119428704,2582.950672528702,2842.210473722989,-0.07298728048607836,-0.08393832514633078
8,1,9,-0.0002687921828738338,3.682311468586351e-05,-0.00021164664926217068,2.5533053690585013e-05,-0.002539759791146049,0.00030639664428702056,-0.001904819843359537,0.0002297974832152652,0.7618007693542367,0.09920362075798193,259.1004160725817,2586.339331203733,2845.4397472763144,-0.1238963870498373,-0.1301855300508266
9,1,10,-0.0005871927556987993,-0.0001578876798216813,-0.0004939805342404467,-0.00013241439080841378,-0.005927766410885361,-0.0015889726897009657,-0.004939805342404468,-0.001324143908084138,0.7501725851265707,0.09212731746410498,257.05748062878024,2568.4884032348596,2825.5458838636405,-0.5062920831756503,-0.5108199892715661
10,1,11,-0.0005030526398250036,-0.00012099126298121608,-0.0004629261326744624,-0.00011123134278474859,-0.005555113592093548,-0.0013347761134169826,-0.005092187459419087,-0.001223544770632234,0.7544807009270523,0.0940702783539675,257.5995112360861,2564.207654063109,2821.807165299196,-0.5225385501273766,-0.5244247447374868
11,1,12,-0.0003834460619172898,-0.00011177668624446044,-0.00038344606191728945,-0.00011177668624445966,-0.004601352743007474,-0.0013413202349335158,-0.004601352743007474,-0.0013413202349335158,0.7592751724958898,0.09878241414230114,258.8097234290398,2552.1063147993264,2810.9160382283662,-0.44717085589071637,-0.44717085589071665
12,2,1,0.5420646484244562,0.02909252504094532,0.0024167817006272483,-0.0012656580349011805,0.02900138040752697,-0.01518789641881417,0.0024167817006272483,-0.0012656580349011805,0.786232799381004,0.07311375520420679,270.41389669841345,2510.5342101519504,2780.948106850364,4.7657174019413215,0.28568794262423075
13,2,2,0.03362336247461729,-0.000812086098308718,0.0017697013483705764,-0.0006062234118258516,0.021236416180446922,-0.007274680941910219,0.0035394026967411527,-0.001212446823651703,0.8149252932131077,0.09164590152843131,274.1445170254949,2540.0731617150136,2814.2176787405087,1.2198228294295823,0.3808667525485731
14,2,3,0.009575932231410584,-0.0006016739551352767,0.0013053759340446375,-0.0002944619138653984,0.015664511208535653,-0.0035335429663847806,0.003916127802133913,-0.000883385741596195,0.8201895498282862,0.09516998820867181,275.00351823208706,2551.3409127012637,2826.3444309333513,0.7332180142391362,0.4015530443121009
