,2002-08-01,2002-09-01,2003-03-01,2003-07-01,2003-12-01,2004-02-01,2004-05-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2005-01-01,2005-02-01,2005-05-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-09-01,2007-07-01,2007-10-01,2007-11-01,2008-01-01,2008-03-01,2008-04-01,2008-11-01,2009-01-01,2009-03-01,2009-06-01,2009-09-01,2009-10-01,2009-11-01,2010-04-01,2010-05-01,2011-04-01,2011-05-01,2011-06-01,2011-08-01,2012-07-01,2012-09-01,2013-03-01,2013-05-01,2013-09-01,2014-02-01,2014-05-01
0,-0.02543074513674448,-0.001334297356748948,-0.027778451513909674,0.07414223800854547,0.029483679636353954,0.05101988385916911,0.021656471454311488,0.008980287605791726,0.012513662455397478,-0.021431367551210334,0.04787755937355742,-0.01936654837995877,-0.011278840827184666,0.009780329392317988,0.03004908938590689,-0.047658365754430054,-0.02635692429255887,0.043640301860025876,0.0314055223522699,-0.024347701823937307,-0.0970442565859152,-0.006300280478765075,0.07125586397604233,0.09501086829247773,0.2110861612010566,-0.0769738562325607,-0.03507177904719386,0.007081401415090616,0.00021254638904433243,0.00030407577206847947,-0.06144316687900497,0.033571782605042566,0.0319430699039418,-0.001983678188289373,-0.008701528200289133,-0.007427622365916209,0.00017336938897441478,0.015116396583618224,0.004860501842271825,-0.02473916067426274,0.01869749059518866,0.022725621511060057,-0.0361183682941999,0.05681064176855499,0.0055645037659250995,0.020437741895531047,0.031242343556367125
1,-0.029445125900682823,0.0572113472314566,-0.03687270137721588,0.05305050470592221,0.03610518344506669,0.048013527758088426,0.021771610131940067,0.030585416440390145,0.014791604235670441,-0.02260342152727257,0.036885590656268175,-0.039155383552959444,-0.019857258652243193,-0.0134393235850645,0.0018865365385911659,-0.027442692830978,0.011639979879013662,0.05130796376046742,0.059145981158922445,-0.03461512289646962,,-0.09609007007731618,,-0.010749560095467459,,-0.03911168688020894,-0.03332461070554507,0.01560614943414751,0.02886394173671425,0.08276300591865127,-0.08628949059860025,-0.008582670548332616,-0.004460769165091527,0.03497690691458999,-0.028183368161596167,-0.0422440513202087,-0.026746491675839396,0.0001595090259901939,-0.012443135506628789,-0.030768985757284595,0.02831433061311306,-0.0009453706264175299,-0.11726071770093394,,0.006351824420599339,0.010258436259483972,0.04044187622303608
2,-0.07474198424234035,,,0.0634120294047058,0.017712526070046752,0.13478716014199277,-0.009746641232847297,0.01983436711683051,0.03193141488221901,-0.02263996439396676,-0.005979939983457916,-0.00897293035010871,-0.01626029541503682,-0.03215292704418671,0.024740283090523674,-0.03182097506129988,0.02975533256270857,,0.04257069241725553,-0.03998076508122084,,-0.1248253875664882,,0.016219634452308007,,-0.07106184248804437,0.012516584309468864,-0.005558011545546027,0.0732496987958553,,-0.08590459196731137,-0.005196103204020308,-0.05637504863406417,0.04452380279062762,-0.06553252663336218,-0.043601741318487486,,-0.025691722107284837,-0.0017730480745132837,-0.016130852609676394,0.03801724745369561,0.010704305673395198,,,0.008938292723591035,0.011308072568969152,
3,,,,0.1024070925220002,0.01724318034361555,0.13345517185637634,-0.02141874689212453,0.018682509076304754,,-0.000898497447633595,-0.00896650021495482,-0.016058267014073868,-0.027363492295950698,,0.009762302822342361,-0.03271890840198033,0.03199545409273319,,0.017439405452182144,,,,,0.04354966556706685,,-0.06641800431215017,0.0016725292736353425,-0.0013047699475685626,0.10713690508681273,,-0.08071350221184703,-0.014411580862727758,-0.08287685504340603,0.062247804274620844,,-0.034155587946469,,-0.02685745610060793,-0.01583638036380597,-0.012721359987694192,,-0.002349648792346115,,,0.012347028822701889,0.0361965245017144,
4,,,,0.060895695338324174,0.035777754149895424,0.11560952035844485,-0.057367009487311105,0.021508171090034556,,-0.010269693673665037,-0.019197921553969488,0.025266151084217592,,,-0.003970353909756419,-0.02943156323778262,,,0.02650864789185614,,,,,0.03789841413277717,,-0.09108999515016214,-0.015066962126444677,-0.05895229647364997,,,-0.11050449485229974,0.013119057427099179,-0.08469347976315045,,,-0.034188369164882326,,-0.037980777751222515,-0.011933201511797442,-0.005479441976965482,,0.01410344604095215,,,0.015858625006616833,,
5,,,,0.089823386747935,0.06891047587235127,0.12265609379528097,0.010345562119021823,0.021928189629778605,,0.0112620904731624,0.015443925182915708,0.020232789273826546,,,0.007005920232614038,-0.027638009735529545,,,0.04306084485535511,,,,,0.052124486501659906,,-0.05495105408150025,0.022647241497103815,-0.04402889977155211,,,,-0.016701169659483095,-0.09575313593318757,,,-0.0434841369613328,,,-0.028418478152419047,0.006706957509388545,,0.02934005436181386,,,0.0033676550071657374,,
6,,,,0.018770539951079357,,0.17926960490875432,0.005107928302733322,0.0206700188146135,,0.011148437595991822,-0.0053045537641767115,0.005269828856896863,,,-0.02125100638483368,-0.03415400977181038,,,0.004514350667816802,,,,,0.09857278427278438,,-0.03515373286345824,0.02434431646913779,0.06787710605652197,,,,0.006931831935873212,-0.10366410847020924,,,-0.05824227596483489,,,-0.045394740072208783,0.017476327408148973,,0.07009481436990428,,,-0.003593498291862618,,
7,,,,0.08435307816440041,,0.14392898978340574,-0.0016716103171283692,0.030905957521866645,,0.1109092891609409,0.020572573320809084,0.003967822855914349,,,0.0035399655892740522,-0.013664753894107151,,,0.00440590059992918,,,,,0.05340850613495807,,-0.07324632375961626,0.03374090226018475,0.042813703462745156,,,,0.015232869716157116,,,,-0.07794382967791913,,,-0.04152320462545234,-0.04254104207570897,,,,,0.03931787776014062,,
8,,,,0.1321102152987974,,-0.00513637932579547,0.020741314320965598,0.039820753562436195,,,-0.00857602449913486,0.013507898649667505,,,-0.021067757882041294,0.011350882869431644,,,0.04063826533272652,,,,,0.01082638170767991,,-0.09289260755635886,0.04663419875805572,0.04764647498567132,,,,0.022572985699637615,,,,-0.059829240511184656,,,-0.046424021225837775,-0.014337473671308443,,,,,,,
9,,,,0.1216559156687067,,-0.029885420028902043,0.013079753152931195,,,,-0.0015288846757772756,0.012612402952221657,,,-0.03792258195110976,0.01578030512279327,,,0.04265993227953124,,,,,-0.09288168948837106,,-0.1300483025557143,0.06805459463657434,0.05308031952249803,,,,0.045477117659177724,,,,-0.049254525045782316,,,-0.059532555929256104,-0.015043716098748439,,,,,,,
