,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-08-01,2022-09-01,2023-04-01
0,0.10641012227729796,0.025758550470230013,0.04947669294481649,-0.005671011589935215,-0.016685584944955867,-0.10117647882998293,-0.012604221883994904
1,,-0.021119552640803008,0.062102474524373896,-0.006530677128463225,-0.004204768987262408,,-0.0354368093791636
2,,-0.08564360060822374,,-0.022282474773705374,-0.033023017535343424,,-0.04385335693167758
3,,-0.051721744954798865,,0.0014429473400130455,-0.019836958008612182,,-0.0026559544008867286
4,,-0.029118069569779692,,0.0029740319263398263,-0.016738828315296495,,0.016069940461075904
5,,-0.019848660265421092,,-0.0002981509448969355,-0.07964561304337137,,-0.03885851369385518
6,,0.01906231201211206,,0.007179047615592626,,,-0.0639275483052647
7,,-0.01704085664714583,,-0.013909692050857014,,,
8,,0.008545864863235497,,-0.03947907003331341,,,
9,,0.009705615409395296,,-0.06739117462479438,,,
10,,0.04847771207232032,,,,,
11,,0.005839529251175257,,,,,
12,,0.019630528614523968,,,,,
13,,0.011765289263296452,,,,,
14,,0.02206798325120074,,,,,
15,,0.035287648631289414,,,,,
16,,-0.012907846756324837,,,,,
17,,0.022518782430537954,,,,,
18,,0.06907478936708644,,,,,
19,,0.08245127523675455,,,,,
20,,0.08261298419856455,,,,,
21,,0.04228480168925586,,,,,
22,,0.015500847285589536,,,,,
23,,0.007510815727047149,,,,,
24,,0.012466813205153304,,,,,
25,,0.0132458934550157,,,,,
26,,0.010556528578273383,,,,,
27,,0.03605287925513467,,,,,
28,,-0.017414988182883118,,,,,
29,,-0.029455197895904117,,,,,
30,,-0.02811505380892232,,,,,
31,,-0.013388698187659642,,,,,
32,,-0.0064334218903692175,,,,,
33,,-0.02408831044116866,,,,,
34,,-0.03537677501906389,,,,,
35,,-0.033874298787687884,,,,,
36,,-0.024628545577203287,,,,,
37,,-0.015944480799084726,,,,,
38,,-0.02779907098870016,,,,,
