,2014-12-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-04-01,2016-05-01,2016-06-01,2016-08-01,2016-09-01,2016-10-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-12-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-02-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-09-01,2020-10-01,2020-11-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-02-01,2023-03-01,2023-04-01
0,0.06531524036639813,-0.0071060482514306855,-0.022060596386709763,-0.03754033672637758,0.02513517794002773,-0.013558785279827568,0.003935532404927944,0.0387780356865739,-0.058277345793406266,-0.18271871279189789,0.0002943918839188875,0.042555240174885434,-0.00621886789835191,-0.0004352007831314175,-0.06815765943053265,0.002218181836298072,0.019022077757083977,0.0384690877535796,-0.011391133723724689,0.023321318124104984,-0.0009304338396587397,-0.01180407750811574,0.028349241797270386,-0.0013009481407548762,0.009763082065882778,-0.011976604179436467,-0.0658013220609801,-0.01528170508906701,-0.03128605669659601,0.026812372546781926,0.04632402576359529,-0.0033359275691124957,-0.05383390847253708,0.005207207087458254,-0.04968649211096765,-0.0458203878868797,-0.022487702017657707,0.04605297945142217,-0.005320587672452248,-0.010577344686193424,-0.039610028544995846,-0.026642049682375823,0.04663664981137261,-0.0018749827433071076,-0.0230546292047884,-0.044160485430119856,-0.0964566673993601,0.028438850847249064,0.01070521561420712,0.03994310804961776,-0.03222841939347543,-0.012647510125565198,0.04834602620358108,0.027089979031545086,0.00437730238413403,-0.11643274473902698,-0.01333841799511637,-0.011494025110718953,0.057123911797212656,0.0018818350055405109,0.03131918455961347,0.03272447365416209,-0.013360231129349254,0.008243032388541405,-0.10715928015913745,-0.10905185818867924,-0.02102778929263316,-0.009651204888732279,0.04939773627489896,0.011243518805830077,-0.02804839931260439,0.01449804823040246,0.042036944049774316,0.03634418216764601,-0.014216622454729988,-0.03044701383518822,-0.014436425817512255,0.0618509293149021,0.022700311464389777,0.009392658278603916,0.006692082828262613,-0.0011927357733556576,-0.004322261071285416
1,0.042611858169137706,-0.008196436235564875,-0.026742695420178153,-0.05352275365106762,-0.0333101934468325,-0.027248355941850377,-0.03173495910216406,0.04867639321137851,-0.06493325701055674,-0.17582286805893865,0.10332010568919037,0.06988903250418366,0.01423616437991293,-0.04581508760858144,-0.06661232007381379,0.0033087039837891297,0.008493766600526698,0.016540059169103838,-0.007757672855439157,0.014044447759340883,-0.008653630811378488,0.029331933542708355,0.018504425387750212,-0.008349468629242907,0.027831259083530402,-0.03189046183898747,-0.03510936558859257,-0.006762022994216466,,0.024374020989703205,,-0.01872968973379363,,-0.03359411755114783,-0.08483802577535449,-0.058463651463975586,-0.03262901646602101,0.01918308355503706,-0.001623481939154292,-0.025477415081787136,-0.034449802244560956,-0.043917636630029344,0.07935152026883152,-0.0045259914442241644,-0.01962780470156722,,,0.02671583942459943,0.013294224916136077,0.03821585730766608,,0.051601450567925866,0.06196648641297031,0.04524393210916733,0.014605160336017775,,-0.006785152414547024,-0.02865892901764977,,0.0017625704330723746,0.03133521061312683,0.04466795755026176,-0.007448162777339951,0.03246738417249628,,-0.07743864936231581,-0.01808755706066445,-0.0680165890199469,0.06798373735806273,-0.053770138948172286,-0.017423805118022884,0.03295156783100284,0.05619788544681148,0.04210681823076623,-0.01755240751779863,-0.005358293138216119,-0.01728852808150494,,0.05204197458562998,-0.005056405916199269,-0.01809356055243594,-0.02121094723382999,-0.008872078916606574
2,0.031230558687975307,-0.0026718729300783117,-0.02482989419827164,-0.0353453451688599,-0.028178062592643105,-0.012100091694692061,-0.08071317581097981,0.03517538201520454,-0.0613138104383153,-0.15915295785181893,,,0.043989724240858896,-0.05873788713842121,-0.07473536534433833,-0.02962486360593486,0.0174092436970823,0.006397266902620213,-0.02100043167912169,0.0335004186569976,-0.014067233451452665,-0.02266955116932501,0.01834023211695368,-0.004000807558506292,0.013005796526039337,-0.05046109937839938,-0.04420879014257917,-0.01823524394747489,,0.034817062803665255,,-0.011256977052105821,,-0.04782434752113085,,-0.059476899177321796,-0.026123098582031545,-0.0060209838515503655,0.003563364825659221,-0.022522717882135446,-0.03951270598675949,-0.015777022152928755,,0.009135211747066663,-0.010996051815456376,,,0.0404744394693779,0.06432813995264164,0.034204212481047325,,0.10468062576921255,0.06367070510004247,0.02910119613712636,0.011930575440762592,,0.00296905484989729,-0.019071874587639925,,-0.014409851421218756,0.022956337963050855,0.03284264976553919,0.012683361470363197,0.022536617660610103,,-0.0908986611062721,-0.024476662282091555,,0.03206104315051994,-0.05055824627103711,-0.035923538989299786,0.08361782573169263,0.05358651976203532,0.016162995130865276,-0.024289606786355167,-0.03296108795510344,-0.027499569752812647,,0.11733299594096236,-0.03466947146240362,-0.005500571610583815,-0.029318429850546224,0.012165636689638104
3,0.017769393271882317,0.01975162999103075,-0.026662509042319593,-0.060867827893074544,-0.10164394494697104,-0.002226392106689179,,0.03057905262306493,-0.07523701484722123,-0.15453806367619993,,,0.05439569244029885,,-0.06750451313190897,-0.04557171817276684,-0.010928306275601596,0.007509267751633741,-0.017976223262538227,,-0.010635347629071035,-0.005722886505591718,0.014678329950011948,-0.027849230858198126,0.03774161420831651,,-0.03633255544117642,-0.009366413739211321,,,,-0.005589896075882006,,,,-0.06583876123520782,-0.012727195162437699,0.02435203751060211,0.0023744827460543405,-0.013149687584801839,-0.028374995588584362,-0.014377064819547591,,0.022658824530613852,-0.04652273458550282,,,0.050059432905384504,,0.03634540132341524,,0.12230142860163085,0.06619354812407696,0.11756191803534866,0.007124005261760047,,-0.003529455786470903,-0.027283480430588147,,-0.014067029401579889,0.026596104689044164,0.019250485287247265,0.022973580657714043,0.07068242328628416,,-0.0466552102079989,-0.018835099806475242,,0.03282788405501935,-0.0516869386434583,-0.05479711236554463,0.06859119980219797,0.05244355876741258,0.039675032530178456,-0.03348076508494535,-0.0435531814642065,-0.04741605207599253,,,-0.0281407872220385,-0.036211275356706096,-0.04659091310888108,0.03723414346549592
4,-0.04961532173417926,0.060544220406664184,0.0032076384095007793,,,-0.03381133792705304,,0.03974403943961313,-0.07425766936527767,-0.17674351857935378,,,,,-0.05639767434658971,,-0.0029641490633851575,-0.010730721047863323,-0.01677067000062671,,-0.008083496820402658,0.013277816185624292,0.03129062974349339,-0.007670445702238293,0.02098855890829504,,-0.03451345694936414,0.006270590964506884,,,,-0.0008136342840976418,,,,-0.036001421364530106,-0.018461511629429772,0.029491867875609756,0.011135503241427092,-0.029067583863418456,-0.026156722714218095,-0.01408804239125172,,0.02743387340971748,,,,0.021775937699710646,,0.017948031757744953,,,0.0754386264091167,,0.014564244468779464,,-0.01037208890636454,-0.029702534061728292,,-0.08884171883942771,0.025579309958897234,0.019307932718820364,,,,-0.03734145504321873,0.008113998431110492,,0.009765706307863775,-0.06598865900256279,-0.03883527309407642,0.10343276048229821,0.04417460444568411,0.04145897717430236,-0.033044099220310263,,0.0017195710006436826,,,-0.015178260199699922,0.016444377757971917,-0.01851790890948024,0.048028767686657536
5,-0.0407102650593234,0.045517774804033184,-0.01960718118010374,,,-0.01385309971414106,,0.059105261559273536,-0.09121091577280716,-0.19647141240292143,,,,,-0.06303888433501292,,0.010834941207688242,-0.014501065174836292,0.006953571177678253,,0.01481199243171849,0.012903554449682608,0.0029386190772549003,0.04185928314516563,0.015827547311288825,,-0.02953501039316775,0.025328626910798402,,,,0.036814091545192884,,,,-0.07569986952478858,0.006290591804498202,-0.00992438019016273,0.018263936092234534,-0.010938302324016824,-0.022888636204661417,-0.00292227489416641,,0.029708006486652172,,,,0.01652872970809227,,0.025033646435243195,,,0.08053500849709705,,0.009144877181948896,,-0.0005261562944280929,-0.047972162341521685,,,0.034022440639591034,0.029533854455931152,,,,-0.07959407978313493,-0.03387529199239814,,-0.015505682110602104,-0.07183394385565667,-0.07294311808217513,,0.023738778037744268,0.03788241717046814,-0.017405226273247587,,0.016530021103686288,,,-0.02085249265963962,0.0169455427915981,-0.013621509166531265,0.06742047151654051
6,-0.04742247300365965,-0.004048925572213147,-0.025751959738970376,,,-0.009128170553672543,,,,,,,,,-0.08162554175658254,,0.024246556789053297,-0.00060981019032047,0.009616903997319515,,0.022741829996093088,-0.0007822554192272735,0.014806596626219415,0.029239167791291543,-0.00018316458290640325,,-0.024190405336649068,0.025204348993934644,,,,0.06863797996913634,,,,-0.07593294427867359,-0.0011053187749947568,0.008427146676435182,0.04157470706242128,-0.004290407806825325,-0.04011239648774145,0.01072743731750836,,0.024983455071421634,,,,0.02966089019019158,,0.025881077890169024,,,,,-0.0005783903810372415,,-0.008155470631229456,,,,0.028907164154720055,0.006432712263265916,,,,-0.060167175076085044,-0.05549528246100244,,-0.013044324913851879,-0.08818379023228495,-0.07374598661958398,,0.09326648713610819,0.035535011720988496,-0.018186894663901,,-0.018726222579546814,,,0.013991242222946232,0.03802760226883217,0.0116541006519717,
7,-0.04465986449221937,0.04154176660186426,-0.06628834676970663,,,-0.002591908569674395,,,,,,,,,0.015725502861680063,,0.02703548122186561,-0.0033152656956176862,0.0012115679469117957,,0.0734053648460331,-0.006106078872582743,0.013116298259941539,0.06644844963251417,0.019189346251082207,,-0.02748067650768249,0.016952593891126355,,,,,,,,-0.06348388313789011,0.010059987952478533,-0.023918360339460598,0.05825176971768875,0.004484844550930678,-0.03884673074622924,-0.0002759898226416535,,0.03099235534060174,,,,0.026949259134108505,,0.026532335446174615,,,,,0.0028758285721712795,,-0.008354102261059815,,,,0.031353241540667875,0.020699231184611033,,,,-0.12585152240964081,-0.04558959173095967,,-0.004013535878961916,,-0.046167416093348734,,,0.03484660767815795,-0.045308350131824104,,0.011934954108051787,,,0.02757179254093045,0.04591414399775573,-0.02024362735011076,
8,-0.03427909854757383,0.0060503518081267416,-0.09229393433253752,,,0.007951704713180074,,,,,,,,,0.021349395760090317,,0.0336237339774379,0.009084525826831502,-0.012227336549846868,,,-0.006046069102108587,-0.01719458419383879,,0.04082111471563793,,-0.0041093299786165716,0.012339856252485237,,,,,,,,-0.04669493299535943,-0.019875808424552055,-0.018982911344897158,,-0.003454042519488887,-0.0267143279385329,0.009327803900508025,,0.024438989055407534,,,,0.023651970691106694,,0.02657782483104576,,,,,-0.029158706611264407,,0.04829614446336583,,,,0.04104173662310573,0.021860640012908217,,,,,-0.09359896444372384,,0.012478893185749351,,0.007931192876135196,,,0.03684900627127652,,,0.03433863822868277,,,0.0031368428005296156,0.050926035391058555,0.033033012305971,
