,2013-12-01,2014-03-01,2014-04-01,2014-06-01,2014-07-01,2014-08-01
0,0.018160836097488198,0.021468574909531468,0.04278521542809666,0.015238138403976587,-0.01767283639112005,0.0027179028435790897
1,0.014562909596503415,0.0014952763044426831,,0.01181278973105393,-0.0357232130147076,0.005530399759847482
2,0.0078091732322871366,-0.011651119266333998,,0.02510123205914816,,0.0053694287276115915
3,0.017480478907878516,0.02109517963017804,,,,0.02058629410339008
4,0.020345321061846056,0.025343297225795536,,,,
5,,-0.000597362889993347,,,,
6,,-0.022275167679873142,,,,
7,,-0.008137917577461518,,,,
8,,-0.016510027863813614,,,,
9,,-0.013328823374816112,,,,
10,,-0.013490068723088333,,,,
11,,0.0007586776799449746,,,,
12,,0.022989269079363384,,,,
13,,0.0030924011836138687,,,,
14,,0.006195231383320565,,,,
15,,0.01924531809800445,,,,
16,,-0.0001976448009975984,,,,
17,,0.017662138300729935,,,,
18,,0.03408970983413062,,,,
19,,0.06350375016917542,,,,
