,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-06-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-06-01,2016-08-01,2016-09-01,2017-01-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2018-02-01,2018-05-01,2018-12-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-11-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2021-01-01,2021-02-01,2021-09-01,2021-10-01,2022-03-01,2022-07-01,2022-08-01,2022-12-01,2023-01-01
0,0.03251464171068852,0.0705940768435207,0.06499853736311678,0.11104944479114737,-0.010053811593988993,0.0369397445178592,0.30523183888392413,0.026104233458331905,-0.0017283271781574072,-0.03868673757129759,-0.07599022518508258,0.0005369047536485372,-0.008912186551437884,-0.037902550015044945,-0.010489656440739042,0.02395970650295265,-0.039870452587279726,0.0019485231534398517,-0.007453168833181589,0.024804055379808343,-0.04996958107015459,-0.08593222220831054,-0.031537804368220956,-0.01191118155001547,-8.208741818904741e-05,0.006080488879011359,-0.042895531995255975,-0.012035526836470162,-0.08914804836958412,0.054458791754290026,0.04468635273035515,-0.021001212206478215,0.04932052882214677,0.01882260367576416,-0.005742311945251544,-0.009557195824698272,0.011571547689884998,-0.01029777637966589,-0.15096783038595873,-0.010327917486505966,-0.09378193380405397
1,-0.021832913365246398,,0.055722235625662364,,0.010284019268612443,-0.11170600158973887,,0.022871827564537206,0.004490958252056032,-0.059519942938065284,-0.12831353832608716,0.03870689397716309,0.002300119483885865,-0.061075635067457945,0.009962212493498851,0.014425401224524403,-0.02177432987827954,-0.009785728283535966,-0.017711169598666476,0.005366317757300454,,,-0.062318120502811936,0.021755691151020162,-0.011578728466456578,0.00369603739365143,,-0.042748502340059474,,0.03750987871447187,0.02714392146368949,0.02248648342388826,0.057962719204669,0.04000279389966499,-0.03986274865584161,-0.016217886258922398,-0.04983067054096191,-0.00787633664197429,,-0.02624677766388428,
2,-0.02353071809494267,,0.03456521871016793,,-0.013834015950649814,-0.08387426728173697,,0.030952363711854503,-0.014552048252093996,,,0.040028955227387586,0.01469006156002628,-0.05764523476866579,0.01018605238535722,0.0407998158271492,-0.02925183157674338,-0.02090347130253034,-0.018055213180117047,0.08142158015154477,,,,0.0030205465843233803,-0.030684774395110193,0.022204473408246717,,-0.023935317146673768,,0.032499946110204014,0.051137328505908464,0.03687936096002398,0.028428098718944472,0.05404173514622279,,-0.018509792826114868,-0.07594166691747706,0.01486557634501473,,-0.056228010401791706,
3,-0.0007809162932730374,,0.06029877741302592,,-0.04320546008609272,-0.0056294228886377695,,0.04322170455202112,-0.031212277661083476,,,0.032124860449899595,0.018165385567347148,-0.08663224019401827,-0.03761083879243918,0.05499439549832097,0.00034717017203034217,-0.021330936845871284,0.011110403910779443,,,,,-0.019212397332425635,0.0014235379283573657,0.007649634193526378,,-0.015599114540309295,,0.0027321439031644523,,-0.016966213056444968,0.018371466474248255,0.09056594163654275,,-0.04867786138626551,-0.0934895285596049,0.013394841520387502,,,
4,0.027238234869602085,,0.06500032343330453,,-0.06799377364470338,-0.06081593767034921,,0.017655033982876933,-0.008927848080048761,,,0.0752293707824283,0.025828322188875763,,-0.049123799579296995,,-0.0014087763641517093,-0.00028953477265358796,0.017381840139398808,,,,,-0.00036827944399231427,0.04057390359747215,0.0352932171798086,,-0.06078069532002109,,0.019102463424436333,,-0.03486541779023744,-0.0673832591182153,,,-0.04637277145467511,,0.01841390074627025,,,
5,0.003981764056647297,,0.08614907558220786,,,-0.07090993921941902,,0.038700933509173474,-0.03464838951285021,,,,0.05646998558597138,,-0.03806223372389736,,-0.04148841230776812,0.03661218246525133,0.005710223728136121,,,,,-0.04159492139304044,,,,,,0.04350684613650868,,-0.0639827831040396,0.0025609819916430077,,,-0.03321697987747507,,0.011368693181765366,,,
6,0.00011251171044746044,,,,,-0.09295867730592366,,0.014430367100016106,-0.04266585453565419,,,,0.08462879540431079,,0.004189325441122077,,0.018140960020460728,0.039454206735552,-0.01413405803429324,,,,,-0.011746167838257993,,,,,,0.00409239607740064,,,-0.030417775393380087,,,-0.05307733969857287,,0.012958289789507305,,,
7,-0.005130155406682935,,,,,-0.06679011722384587,,-0.010373130554668819,0.01724851010350381,,,,,,-0.022255020427149413,,0.005443985982985122,0.023196374235528894,-0.007629632110541795,,,,,0.002298908598103111,,,,,,0.00253337605776105,,,0.017148936551139027,,,-0.046719761852707986,,0.036413214312129405,,,
8,-0.024957961498155434,,,,,-0.028371523440097413,,0.006795712320544656,-0.014433107498087239,,,,,,0.008425201761397522,,0.037890972386181776,0.010121322786624476,-0.004687086760609027,,,,,-0.023234231625599122,,,,,,-0.018240849127089565,,,-0.0026491658285867636,,,-0.06778775454045505,,0.03069831988721461,,,
9,0.0030017490146061476,,,,,-0.09289126426262406,,-0.009393102020792465,-0.03621230307580614,,,,,,-0.005422290122394119,,0.04346143161087346,0.007485547258720637,0.006349329679904425,,,,,-0.0094846502008048,,,,,,0.008036386456349742,,,0.041669417169840184,,,,,0.014560474040223426,,,
