,2013-06-01,2014-02-01,2014-05-01
0,-0.0042911333812448715,0.017872468338516967,-0.006919352246963051
1,-0.038100181529489574,0.0492551757747961,-0.011616829375564741
2,,,0.02667720834406584
3,,,0.011108509445570292
4,,,0.01683108241018738
5,,,0.013543639372945115
6,,,0.011757489299205837
7,,,-0.015748037385226787
8,,,-0.025035670298206636
9,,,-0.03219331105949674
10,,,-0.035011697073455306
11,,,-0.005477245652592
12,,,0.013690606016739881
13,,,0.02921750137401702
14,,,0.03656593772903216
15,,,0.031219331634548375
16,,,0.0035570930648569643
17,,,0.006056873865893042
18,,,-0.04192364238484103
19,,,-0.030929848096196366
