,2022-11-01,2023-03-01,2023-05-01,2023-06-01
0,0.006506891861552511,0.007557624728551815,-0.030908236243757603,0.021934842877736394
1,-0.011024747262816437,0.01881640426146003,,0.022878285166314072
2,-0.0013916078491837958,0.011806135968397857,,0.028583490026949043
3,-0.02457871507494014,0.022357430758035868,,0.024784538587208083
4,-0.018064827444721487,,,0.01625891798086254
5,-0.02397329151079175,,,0.016470832567389238
6,-0.02249234264413147,,,-0.004350540025254368
7,-0.023026890426804503,,,-0.0029927026085534436
8,-0.018977253720002807,,,-0.005459250004687277
9,-0.03087468702969076,,,0.0036539316237194086
10,-0.015578688654220407,,,0.016550904143724843
11,-0.010895506470371963,,,0.002018931565066495
12,-0.009750272958807926,,,0.01697730311548984
13,0.0032682474261007677,,,0.019414801566147943
14,-0.0033825363734685254,,,0.02258297947568355
15,0.01141792680393472,,,0.02122800842621153
16,0.003932676499509569,,,0.026747656064300074
17,-0.0013538918681192946,,,0.028859215757337076
18,0.0003077630100642992,,,0.02995895361986456
19,0.012841012900373538,,,0.024013662991846374
20,,,,0.015936135632062864
