,2012-04-01,2012-06-01,2012-11-01,2012-12-01,2013-02-01,2014-02-01,2014-08-01
0,0.01682952703985574,-0.03192228580877865,0.052346641338518296,0.06278287916080894,0.014934073904163903,-0.003768711159778171,-0.00508030123180836
1,0.04920057845878256,-0.008424868667151753,0.0032706726233837635,,0.012298662167999908,-0.008091330757182602,-0.0167895368725115
2,,-0.022932459267569705,-0.011000920551318405,,-0.009133306806748731,-0.0052743423367438425,-0.015605514526665587
3,,-0.020780637822695347,0.03632037214267059,,0.0013612058522012305,-0.026247691112021743,0.018894629118626938
4,,0.006183833907951186,0.05008183889811724,,-0.02138128150182128,-0.029641710655899933,0.024152547921048928
5,,-0.01503975517238798,0.057498761336807425,,-0.009988738675627218,-0.02875765566945665,0.02472676646385441
6,,-0.033818180469099346,,,-0.004020127843005206,-0.011741860766319112,0.021621809929998292
7,,-0.030477955178742633,,,-0.03742913544398618,-0.042167232765239815,0.0034605354427004187
8,,-0.03704807399316046,,,-0.02809117645946424,-0.05097893793725916,-0.011244319923252366
9,,-0.03940704716889831,,,-0.07595604461188676,-0.06525644990690305,-0.03842597378291135
10,,-0.02000742102195785,,,,,
11,,-0.08015680987486551,,,,,
