,2013-02-01,2013-05-01,2013-08-01,2013-11-01
0,-0.007316530715497427,-0.008785774867608342,-0.012716040862450567,-0.010230948503587523
1,0.009601258242342148,-0.025426574608995445,-0.013764155292967123,-0.011879868303099506
2,0.014956661594159648,-0.02654107108226389,-0.04541406808340262,-0.030648678431553056
3,0.01024444550780923,-0.03247546171426918,-0.002555682089211281,-0.021221654536827894
4,-0.026672103476180098,-0.017169411919285116,0.0037478924407649272,-0.02725959429451541
5,-0.02723833994286129,-0.0669814171401355,-0.014531075085732231,-0.02289629176604413
6,-0.061629086044744374,,-0.010250526317136716,-0.015525666040686281
7,,,0.01934987275178171,0.004145132292857957
8,,,0.006394250405771823,0.02208271496858416
9,,,0.012231328286732263,0.018627344421486947
10,,,-0.005352892335935916,0.03961988301255992
11,,,-0.014196603119885992,
12,,,-0.014918641458770615,
13,,,-0.023585950944516293,
14,,,-0.0009599329424180014,
15,,,0.014482722245206997,
16,,,0.03348131337433671,
17,,,0.04227743197961634,
18,,,0.034493794302226904,
19,,,0.005398408855565112,
20,,,0.012021959058875181,
21,,,0.01745213323856079,
22,,,0.03077009446638615,
23,,,0.026004861746261515,
24,,,0.024557503758028038,
25,,,0.05673627437354248,
