,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,601211.SH,-0.0261282083353009,2.0047595789687537e-05,-0.007848694814814814,5.011851851852606e-06,-0.09418433777777777,6.0142222222231266e-05,-0.023546084444444445,1.5035555555557816e-05,0.0,0.0,99.34444444444443,2736.32,2835.6644444444446,-2457.7972648246623,-2953.257344368418
1,601828.SH,0.003989589076857858,8.898707680971007e-06,0.0006939940000000002,2.2246666666666124e-06,0.008327928000000002,2.669599999999935e-05,0.0020819820000000005,6.673999999999837e-06,0.0,0.0,232.04299999999998,1432.682,1664.725,688.8907856419721,479.3374404314455
2,600958.SH,-0.012531296205648348,1.0614019430022465e-05,-0.003943405555555556,2.653492063492117e-06,-0.04732086666666667,3.1841904761905406e-05,-0.011830216666666667,7.960476190476352e-06,0.0,0.0,222.32095238095238,1527.4609523809522,1749.7819047619046,-2506.0660376584974,-3154.5074485008745
3,601811.SH,0.01909710565830662,1.587495003243081e-05,0.0038364306451612908,3.968709677419523e-06,0.04603716774193549,4.762451612903428e-05,0.011509291935483872,1.1906129032258567e-05,0.0,0.0,109.64903225806452,2635.837741935484,2745.486774193548,2805.2001101923956,2254.1881306289215
4,601881.SH,-0.010243637462457324,9.103263184760276e-06,-0.00357165182795699,2.275806451612566e-06,-0.042859821935483884,2.730967741935079e-05,-0.010714955483870971,6.8274193548376975e-06,0.0,0.0,172.1093548387097,2021.0216129032256,2193.1309677419354,-2458.0535127664507,-3428.225035678079
5,601818.SH,0.01016150242827438,5.822811253708785e-06,0.0019613848387096773,1.4556989247313418e-06,0.023536618064516127,1.74683870967761e-05,0.005884154516129032,4.367096774194025e-06,0.0,0.0,175.1190322580645,1992.602258064516,2167.72129032258,3632.099767638611,2804.2999109273087
6,600999.SH,0.10733472562154592,2.9295157916031654e-05,0.024584379666666666,7.323666666666136e-06,0.295012556,8.788399999999363e-05,0.073753139,2.1970999999998408e-05,0.0,0.0,229.23200000000003,1459.1650000000002,1688.3969999999997,4790.424383568299,4388.970165341144
7,600600.SH,0.014407808888367055,0.0001281549330453517,0.000330160701754385,3.203684210525797e-05,0.00396192842105262,0.0003844421052630957,0.000990482105263155,9.611052631577391e-05,0.0,0.0,190.74315789473684,1836.1500000000003,2026.893157894737,228.9808726588964,20.990847559597473
8,600585.SH,-0.00890868862219266,0.0002477545868269893,-0.0037169294666666674,6.193199999997868e-05,-0.04460315360000001,0.0007431839999997442,-0.011150788400000002,0.00018579599999993604,0.0,0.0,169.68560000000002,2046.2691999999997,2215.9548,-89.41661514777273,-149.25981916424684
9,600362.SH,0.09809113695732483,2.491695285463669e-05,0.019085196333333335,6.229166666667497e-06,0.22902235600000004,7.475000000000996e-05,0.05725558900000001,1.868750000000249e-05,0.0,0.0,206.334,1685.5275000000001,1891.8615000000002,8013.917371023487,6237.067104791205
10,600012.SH,0.06324375339619276,2.0938008901781756e-05,0.013438346666666665,5.234444444444005e-06,0.16126015999999999,6.281333333332806e-05,0.040315039999999996,1.5703333333332015e-05,0.0,0.0,138.4077777777778,2351.56,2489.967777777778,4469.939819630773,3799.243493571681
11,600548.SH,-0.020011395519478663,2.8940347200325155e-05,-0.0056735840476190465,7.2349999999999875e-06,-0.06808300857142856,8.681999999999985e-05,-0.01702075214285714,2.1704999999999962e-05,0.0,0.0,152.32642857142858,2215.7614285714285,2368.087857142857,-2051.637120077457,-2326.7514208656667
