,2022-07-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01
0,-0.0044872753516114194,-0.0025450254789345372,-0.013377405498199213,-0.019840105368792216,-0.0742390905692707,0.011429896375883875
1,-0.027952718886229633,0.012075249286702228,-0.013809657423508925,-0.008559651167870275,,0.013953727567846297
2,-0.006760396078278497,0.025612737656152795,0.02545514630927115,-0.020159457430572125,,0.03443125161783556
3,-0.03468674097098656,0.012376097029564548,0.00629411519392864,-0.024848860007427476,,
4,-0.04179452696367569,-0.0033009697308648,0.001576043916300618,-0.013161563962777567,,
5,,0.0019938097885283668,-0.012549415254122342,-0.0319590273032615,,
6,,0.004731708168701498,-0.006321560597275067,,,
7,,-0.01427842387612488,-0.03148832694623804,,,
8,,0.0030020741322158706,,,,
9,,0.02752765886305264,,,,
10,,0.02740878809382119,,,,
11,,0.02813126026000745,,,,
12,,0.01149046761155903,,,,
13,,0.01721211051532867,,,,
14,,0.04931723180335679,,,,
