,2022-02-01,2022-03-01,2022-05-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-03-01,2023-04-01
0,-0.017062246971187134,0.09963019428650788,0.04836724857051311,-0.03630502362399124,0.02308745130655021,-0.012836161744417873,-0.09126195902612133,0.008764190192809274,0.06396748936907581,-0.012015872937779726,0.004220957161720662,-0.05581247262667843
1,0.010576882689192824,0.11162557952105923,0.06098938949744359,-0.005553608333007887,-0.007318101810731115,0.0007282933862025609,,-0.03274671991681477,,-0.034853021539230866,0.001986792991975239,
2,-0.01680334853610871,,,0.02414385166626687,-0.005003700686300405,-0.03012793731811797,,-0.0352678058765763,,-0.04112138994247472,-0.008560430983891365,
3,-0.028255336706979717,,,0.012258224399211315,-0.02042186915960187,-0.017437873988459474,,-0.07186463926957165,,0.009552939620549594,-0.05812842077802172,
4,-0.0681694473520888,,,0.020536044502959427,0.004883124942521633,-0.015544176699920642,,,,0.022152169011251832,,
5,,,,0.02401319449482653,-0.017785279607057447,-0.07940248357187979,,,,0.023263096620821155,,
6,,,,-0.02269164196417872,0.04443494100850831,,,,,0.05999442613733885,,
7,,,,-0.01609644997967985,0.030844894307546333,,,,,,,
8,,,,-0.021800354497228724,-0.005323053991923565,,,,,,,
9,,,,-0.0402805934968864,-0.01133530994393217,,,,,,,
10,,,,-0.019676680805582603,-0.010710038723889426,,,,,,,
11,,,,-0.02492835348942446,0.02447333704308985,,,,,,,
12,,,,-0.01609472521123001,0.05433628174190641,,,,,,,
13,,,,-0.08861632294475319,,,,,,,,
14,,,,-0.03875295175685389,,,,,,,,
15,,,,-0.2559697375606187,,,,,,,,
