,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-05-01,2012-06-01,2012-08-01,2012-10-01,2012-11-01,2012-12-01,2013-02-01,2013-04-01,2013-06-01,2013-07-01,2013-08-01,2013-11-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01
0,-0.028744079936779077,-0.035093836730173855,0.021833052493311467,-0.009860665953270065,0.028287170766851943,-0.0005325817204049343,0.06007231323821394,0.008178463760601495,-0.023068281541307578,0.018954988456119648,0.008821760643177079,-0.0098165288301022,-0.02742064725576565,0.02724044683454019,-0.007581787222992853,-0.015581928547771629,-0.008880452784525872,0.013999060161002441,-0.0010343572461426476,-0.29450194235184,-0.07521170627544116,0.04468569661812616,0.054153563008272565,-2.3878211498296054e-05,-0.005814785061564631,0.02416765885425609,0.00026411543705817664,0.031109504402478283,-0.009217137078302962,-0.0020170301658755108,0.024597961456723327,-0.039005863720157574,-0.07603061452841464,-0.06735219006301252,0.02506770215631615,0.025435637808080003,0.041566169613881154,-0.0009415811977619981,0.015604599144812159,-0.031003956684932277,0.044453582897812094,0.06764663712078267,0.04440656581026836,-0.019654702195283758
1,-0.011815749231492756,-0.024154801023957617,0.014891890692015686,0.014364090784344308,-0.01721052767147513,0.0018649185231127685,0.027265309939686677,0.0042910784769065735,-0.015389062697485856,-0.00023441628118392455,0.0008172694217190024,-0.0016973446793968616,-0.029133423626376498,0.00450001063857286,-0.007868472146675742,-0.02445341702629955,-0.008004320091037798,0.00905176747420361,0.026225145799203986,,-0.10514511876418808,0.061343660531411714,0.0633369491903284,0.02455109736967831,-0.02334414679226393,0.05056763173360679,0.0453872193144349,0.04306792798282011,-0.013487053167148488,-0.0075715533964944015,0.03858754320340485,-0.05186133934130144,,-0.04417792901075357,0.014644679616896639,0.08383283264476749,0.036855172279805615,-0.024160151639332605,0.02203316998417426,-0.012881350096447974,0.04953087542030499,0.07526628504957866,0.05661381835330248,-0.0122459790842262
2,-0.018656748116807176,-0.010831089926294446,0.020504113032737248,0.03089316726631397,-0.01765853449715049,0.0034202370132048188,0.047931241198808205,0.0337801580242405,0.008872888792945566,-0.03141274804803629,0.0019479349793249945,-0.00021979495372348445,-0.03557783748616572,-0.015334655109668471,-0.01377018659101692,-0.040355504973603074,-0.0028933839352276447,0.0035844568257039078,-0.00881026547331265,,,0.033002524721654325,0.035160232525869306,0.02243525035675642,-0.02790042870475906,,0.046512129731159924,0.03225825894402856,-0.05445355196592061,0.007762292167427631,0.004237441553393451,-0.09838318331460627,,-0.0381173722167194,0.02280107064746595,,0.03029546690229079,-0.032333695920676364,-0.00794347011089025,-0.013300231167751697,0.04870989037851681,0.08163456209796394,0.03280318552164063,-0.0299048748140045
3,-0.017489385595443885,-0.009046310765997934,0.02412760377984835,0.044859603295059,-0.05673072992086814,0.011335457626016066,0.046682702480539184,0.030182985958654207,0.010952031116593708,-0.013852939738088987,0.021389319292508535,-0.006191207197569826,-0.0882778009255869,0.009125959359796765,-0.012418198536550573,,-0.0238651240745531,-0.019334715312533224,-0.010197699436048202,,,0.020512359472038,0.017360500156243353,0.03674975772832667,,,0.027258328520182395,0.05075957399509923,-0.028844557542849536,-0.03331250289294818,-0.004132286465646784,,,-0.06267107732820865,0.010928903634918719,,0.07959318633029344,-0.029874696531356548,0.020473133912220387,-0.01511966628994088,0.049784622780572274,0.08068800033955181,0.042572463548327555,0.0024768003245165815
4,-0.004920708751985359,-0.019172426081893512,0.047203348263009204,,,0.004019380876758127,0.0715171887584769,0.05530520739411804,-0.012719312850889453,-0.024237441959215622,0.022961242646525104,-0.01890484103480161,,0.018801676794754973,-0.02999219412496723,,-0.007253230734211469,-0.0011549463722087538,-0.0260804593855144,,,0.020800153248965003,0.05276366519368669,0.03217823066914072,,,-0.009336443581390297,,-0.007113772777125327,-0.02667338079793069,0.014697420314224052,,,-0.06838068272660269,-0.0073038737098380935,,,-0.03673012763738903,0.020213542924314876,-0.00896437222469082,0.06336753899712555,0.08032320733268428,0.060069835162702034,-0.003033910526062389
5,-0.04007088472084597,-0.020300747631265992,,,,0.012811071552377262,0.07735669385787292,0.050074498150581626,-0.019745326916808748,-0.011555048444793381,,-0.01048030692619295,,0.012322405281800952,-0.02163442759842571,,0.0016424578244647048,-0.015869394252545466,-0.05966195597950508,,,0.0009003653123880184,0.06000183186131358,0.04521528671991515,,,0.010102198088163483,,-0.006572129548701788,-0.07944900551024237,0.028023308122210322,,,-0.07898897610777444,-0.022108507414691392,,,-0.03432205902458496,0.041932246818483954,-0.01393060159219317,,0.07455722720033187,0.05411569247640813,-0.010599129386402062
6,,-0.029624557021155073,,,,0.00674962492151665,0.10614964452049502,0.06439842087216441,-0.0040820805188378495,-0.04723971682093964,,-0.005589449636815846,,0.025188175923127165,0.001841638725153416,,0.015326303833504529,-0.018369647291723024,,,,0.023996612827247077,0.0671936886204445,0.0048172548272908955,,,-0.0063325750404714665,,-0.00499392261725351,,0.01449011644548448,,,,-0.03668848645980605,,,-0.04973885328549699,0.03918785917325929,-0.009821935638431256,,0.06411940739438471,0.04568494202784468,-0.00878223065304562
7,,-0.03945278268970487,,,,-0.003119732926318175,,0.061476364350166346,-0.0025344466347371197,,,-0.017677797491553182,,0.028644272582095454,-0.022900446391356244,,0.010948786896208151,-0.040029927523344055,,,,0.06272637034099837,0.05655206410500968,0.034669869550568055,,,-0.007698029266084427,,-0.00805593252666803,,0.020603349359116896,,,,-0.020387146009280155,,,-0.03430850631471216,0.08553443423950613,0.015148638900604361,,0.05510813202595255,0.05703857638798704,-0.021930134774285737
8,,-0.05438086319348434,,,,0.024353762292044445,,0.03332404300519087,-0.010135962895368444,,,-0.011223293580861826,,-0.008354144205779734,-0.008689518111062444,,-0.010052802203181388,,,,,0.056691022221102116,0.07168307165819865,0.022582227705900237,,,-0.033377700290818435,,0.006079679271318028,,0.01554863103594184,,,,0.06232863975761305,,,-0.05654051248568415,,0.0030649380114198266,,0.05112258972995232,0.061134544775568234,-0.033932918566146775
9,,-0.05839761116454767,,,,0.03951481570607873,,0.0323221737616084,-0.006500065678946343,,,-0.018937602162528266,,-0.02446862159112473,-0.009162012007023712,,-0.008014480389097578,,,,,0.1104974357704478,0.0566277129352879,0.015006476376164812,,,-0.029455801813722315,,-0.0011542734488170225,,0.030733597540214097,,,,0.10045932213386699,,,-0.03776713596109227,,0.012779800647937378,,0.06043758437339264,0.07095215873377292,-0.04666536190900761
