,2011-07-01,2011-10-01,2011-12-01,2012-01-01,2012-05-01,2012-11-01,2012-12-01,2013-09-01,2013-12-01,2014-01-01,2014-04-01
0,-0.0512044538932539,-0.004242028740240045,0.0031153431485400063,-0.013372712793458863,0.01562797341972555,0.032027282368257026,-0.025567871753799487,0.01790578075754956,-0.013762226496446317,0.023897113258112945,-0.02275945013614189
1,-0.049060007867108624,-0.024034160053654663,-0.013085374845417608,-0.05195264655414,0.048060237229672786,,-0.03351922053550416,0.03531404216718159,-0.002625793556975786,0.01375429094644609,-0.007469118548233844
2,-0.013002064732367202,-0.02650992947464781,-0.012776231902635882,-0.07274673774991491,0.0774475253757636,,,0.02322937666549496,-0.012296065084975716,0.007546545996303333,0.027632168504118315
3,0.03623740360858818,-0.02486662680148921,0.05926257766115972,-0.06056733390913749,,,,0.04179659711707018,-0.012824907746441738,0.014126679218273708,0.001333639927082686
4,0.058495038806510635,-0.027572431356388982,0.1080861843123131,-0.03448011587092159,,,,0.07504385678453973,-0.0075103224841619465,-0.015747675138767292,0.02005336329372387
5,0.02308544852444605,-0.03484936481604439,,-0.046130024401596526,,,,,0.017162023385499214,-0.025326067031669286,0.0347892008162205
6,0.01895459301845115,-0.06187369304706669,,-0.06110871474495383,,,,,0.0031738243115246867,-0.01357913107624098,0.03160339250665922
7,0.03693979326392771,-0.06177486909587593,,-0.0003784468054304213,,,,,-0.012749625330800374,0.006906129180223264,0.03381294831239323
8,0.006985863521332902,-0.05531566725214354,,-0.026751134102267038,,,,,0.001614230691031615,-0.010156736801539168,0.027555423641743904
9,0.06357715593759217,-0.07623886805142588,,-0.035510598604713284,,,,,-0.03910933413547335,-0.03501452319116849,0.03229325360858448
10,0.13287704823249458,,,0.010177624326685564,,,,,0.01001852669170944,-0.02771243355527009,0.06272391201015104
11,,,,0.0044681331898406285,,,,,0.0012708864888457683,-0.043384794693389406,0.06676432026943546
12,,,,-0.043419429099185614,,,,,0.00857820479946314,-0.026442801464015897,0.07127150684391204
13,,,,-0.09600493158966827,,,,,-0.0048739862707485315,-0.03771822252313717,0.1045278100994742
14,,,,,,,,,0.013024872698795154,-0.033663325830817215,
15,,,,,,,,,0.014457126476397075,-0.05299835000898989,
16,,,,,,,,,,-0.08628269439404912,
