,2022-11-01,2023-02-01,2023-03-01
0,-0.05504004735406953,0.0024128479290693727,0.033626704280176556
1,-0.04064573262656879,-0.01278595120140591,0.03195971302455902
2,-0.040413468208074566,-0.02307126408848914,0.03383445057643697
3,-0.04561294177347475,-0.0004521616683986762,0.049972943360121924
4,-0.03909404649007353,0.0154963804069852,
5,-0.021381349362975977,0.012920166015212065,
6,-0.013109511004809393,0.008871775504453172,
7,-0.037184657287264944,0.04103493968728611,
8,-0.007934722830368557,0.06377314336966744,
9,0.043521297172964823,,
10,0.12127637912564415,,
