,2015-06-01,2015-08-01,2016-03-01
0,0.030343496434711792,0.04271198779740448,0.0357412573158884
1,0.07276049657322847,-0.000997528930300362,-0.009614677876064626
2,0.007213436017475594,-0.01717915616221055,-0.018245819951435926
3,-0.1394286847597832,0.058744455409820207,-0.005578427369839378
4,,0.1342394614135971,0.010280305695247183
5,,,-0.02434940390130036
6,,,0.03149190993105888
7,,,0.02782342978323138
8,,,0.025716417748586462
9,,,-0.0004497368760372211
10,,,0.0044355814036247665
11,,,0.011618576356568155
12,,,0.013391355287079687
13,,,0.032114777958669016
14,,,0.030841827719925163
15,,,0.011913964577455971
16,,,0.018223623828193425
17,,,-0.005222787912511073
18,,,0.018837124194908128
19,,,0.0022045088537012703
20,,,0.008737513520580276
21,,,-0.02965103433805849
22,,,-0.03262959163138568
23,,,-0.031975177239357055
24,,,-0.017318756450066086
25,,,-0.020829730961890114
26,,,-0.015180724138750268
27,,,0.0047397329341767325
28,,,-0.03440158430406637
29,,,-0.028312352114660655
30,,,-0.012467012345927841
31,,,0.00763978462359205
32,,,0.004087581694710796
33,,,-0.017554595402956785
34,,,0.0008712056131843227
35,,,0.004685246029434431
36,,,0.02416867063871697
37,,,0.025642496484646227
38,,,0.01892449447790412
39,,,0.03480737892153263
40,,,0.01758858848496736
41,,,0.001185287700705473
