,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,600600.SH,0.6108033312938465,0.45897879266297215,0.004428082028985508,0.007831035362318831,0.0531369843478261,0.09397242434782598,0.004428082028985508,0.007831035362318831,0.8985507246376812,0.028985507246376812,318.5421739130435,2338.245072463768,2656.787246376812,0.2303838302735681,0.08752192590253768
1,600585.SH,1.2546629383052732,0.20915638007726578,0.011218077777777778,0.006438356111111116,0.13461693333333333,0.07726027333333339,0.011218077777777778,0.006438356111111116,0.8333333333333334,0.0,297.75203703703704,2505.5585185185187,2803.3105555555553,1.6959299589814874,0.28277612569815813
2,600362.SH,0.986251757250792,0.3223587622768584,0.004796272222222219,0.0019212133333333312,0.057555266666666625,0.023054559999999974,0.004796272222222219,0.0019212133333333312,0.7777777777777778,0.0,288.78,2037.4866666666665,2326.266666666667,0.8885115998039482,0.0690408275188349
3,600012.SH,0.31958413938953883,-0.014345663618362564,-0.004660748214285715,-0.003931115000000011,-0.05592897857142858,-0.04717338000000013,-0.004660748214285715,-0.003931115000000011,0.6785714285714286,0.0,228.91464285714284,2468.949642857143,2697.8642857142854,1.2295683217198716,-0.20157716587563015
4,600548.SH,0.8281788285165562,0.381747082434988,0.0017307577777777772,0.0068840097222222126,0.020769093333333325,0.08260811666666655,0.0017307577777777772,0.0068840097222222126,0.6944444444444444,0.0,278.44111111111107,2215.3866666666663,2493.827777777778,0.5822684886916631,0.031106030220968115
5,601398.SH,-0.1750885177557315,0.12103024193613915,-0.03106965222222222,0.002696072222222254,-0.37283582666666665,0.03235286666666705,-0.03106965222222222,0.002696072222222254,1.0,0.0,285.38,2477.213333333333,2762.5933333333332,-0.3321433967193686,-0.8299948515915655
6,601939.SH,-0.06450240114089498,0.007354740426373105,-0.020682998181818183,-0.0018250990909090996,-0.2481959781818182,-0.021901189090909195,-0.020682998181818183,-0.0018250990909090996,0.6363636363636364,0.0,299.9436363636364,2009.4627272727273,2309.4063636363635,-0.22833441376227723,-0.9555343791062376
7,600808.SH,0.14396734845858336,-0.02128550088844645,-0.011862847000000003,-0.008392089000000009,-0.14235416400000003,-0.1007050680000001,-0.011862847000000003,-0.008392089000000009,0.8,0.0,210.512,3064.976,3275.4880000000003,0.31790437924221876,-0.32523409870293196
8,600029.SH,1.0452022766446603,0.08035780635776359,0.002634036363636366,-0.0038391904545454717,0.03160843636363639,-0.04607028545454566,0.002634036363636366,-0.0038391904545454717,0.8181818181818182,0.045454545454545456,304.3840909090909,2297.200000000001,2601.5840909090907,1.5730211501493796,0.06151533631137907
9,601288.SH,0.058396748296312743,0.05758792363590378,-2.9554166666666835e-05,0.0023710350000000087,-0.00035465000000000203,0.028452420000000103,-2.9554166666666835e-05,0.0023710350000000087,0.75,0.0,292.25,2115.311666666667,2407.5616666666665,0.20971933785976166,-0.0013934636892864942
10,600026.SH,0.36156225786716,-0.04009493244292544,-0.026288689655172413,-0.00962559275862068,-0.31546427586206893,-0.11550711310344816,-0.026288689655172413,-0.00962559275862068,0.6206896551724138,0.034482758620689655,256.9768965517241,2105.3955172413794,2362.3724137931035,0.9362041263856222,-0.73584262768225
11,600028.SH,0.6261209805453015,0.11460043436711725,-0.007559164516129029,-0.0030556535483870838,-0.09070997419354836,-0.036667842580645,-0.007559164516129029,-0.0030556535483870838,0.6774193548387096,0.0,228.1935483870968,2726.7022580645166,2954.8958064516137,0.7675728367977103,-0.17340136360317723
12,600377.SH,0.4239562831692956,0.13859273903316352,-0.001977964999999998,0.004863088125000003,-0.02373557999999998,0.05835705750000004,-0.001977964999999998,0.004863088125000003,0.9375,0.03125,256.35906250000005,2985.2159375,3241.575,0.8477864174256083,-0.060182911050085525
13,600115.SH,0.786034420662816,0.418843837163556,-0.010258206176470587,-0.0041982555882353004,-0.12309847411764704,-0.050379067058823605,-0.010258206176470587,-0.0041982555882353004,0.7941176470588235,0.0,326.23823529411766,1646.3935294117646,1972.6317647058822,0.3129807109396262,-0.14655451368137817
14,600036.SH,3.1587386213550124,0.41902552069755616,0.014891935121951215,0.008330756585365858,0.17870322146341458,0.0999690790243903,0.014891935121951215,0.008330756585365858,0.8292682926829268,0.0,291.7521951219512,2327.221219512195,2618.973414634146,1.4251477789645002,0.31341285882107756
15,601991.SH,0.15125752806618506,0.1370336165450652,-0.014445707428571423,0.003477908857142866,-0.17334848914285708,0.04173490628571439,-0.014445707428571423,0.003477908857142866,0.6571428571428571,0.02857142857142857,255.63400000000001,2426.408571428572,2682.0425714285716,0.22257465154953993,-0.43929431093508076
16,600030.SH,0.22663921402628273,0.13385511825736918,0.010724125,0.0104205449999999,0.12868949999999998,0.1250465399999988,0.010724125,0.0104205449999999,1.0,0.0,370.855,1062.29,1433.145,2.7368810065932982,1.7423505241094346
