,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01
0,-0.006277174821925691,0.06724155654519848,-0.018358907621154774,0.0661071993095268,0.010016433366338659,-0.04779026181211954,-0.01831438873910818,-0.015512972103042921,0.011843036969596099,-0.003394073050253521,-0.01761731458754423,-0.011819974842954495,-0.03591411996782434,0.014715862425422,0.018085826985449138,-0.0027933382883791325
1,-0.03769494245638283,,-0.007511948639934651,0.13035263914439632,-0.018138016387701364,-0.044299757804410866,-0.008368058721595073,-0.004516274621744865,0.0029336804638173675,-0.009944585583609555,0.02578381900684179,-0.00569169954025972,,-0.006199527060362531,0.021526327550136948,-0.008692723296769955
2,-0.13278179184378125,,-0.01907154936262101,0.10541586626870991,-0.09914690390233356,-0.09634237974155635,-0.010305028126243787,0.010774987558622717,-0.00028609442855120903,-0.03375827543687793,0.018475101948024042,-0.039029130430150105,,0.00015595198035267543,0.017748140172454185,0.018264186333806443
3,,,-0.12137771772674144,0.09943992809818702,,,0.00410474931988114,0.005634863214146746,-0.0075150138900204055,,0.035558490403732934,,,-0.034568321495097365,0.025975545378936538,0.01217627615916772
4,,,,0.11471193627721643,,,-0.004308549609828294,0.03871825155457986,-0.018754098293918275,,0.061043935394433424,,,,0.03112260558218871,0.043498880044436916
5,,,,0.07464000369916768,,,0.0420319007423271,0.022615333628095646,0.0037904179071635014,,0.06509568185819314,,,,0.014585172060648688,
6,,,,0.058081000222699686,,,0.03604938842239713,0.016382665888935,-0.002793628631956757,,0.05032869992907529,,,,0.033085469722705874,
7,,,,0.08017310060504101,,,0.04294864406787857,0.01181602997840403,0.003942488732490368,,0.028679508089222372,,,,0.0124392513319318,
8,,,,0.031808025576724575,,,0.04252098621830269,-0.0006475952431810317,-0.01495040088250299,,0.07177095787569221,,,,-0.001846601287500249,
9,,,,0.047324953072590326,,,0.046263953498300925,0.012354474191875076,-0.039346703171388775,,,,,,0.010830667388527004,
10,,,,0.054873465653144216,,,0.01613813564998834,0.01886268077778719,,,,,,,0.019218586712950625,
11,,,,0.061639175810812574,,,0.000750508573468256,0.027650964116984644,,,,,,,0.0028630313673989605,
12,,,,0.06791099503403597,,,0.010865084045252882,0.014902332682650288,,,,,,,0.00462076325260341,
13,,,,0.11672112114340916,,,-0.004954770017335353,-0.0017493242491337657,,,,,,,0.012737705421178802,
14,,,,0.11792792988155121,,,0.01653501209301078,-0.004869859089744688,,,,,,,0.032963351120350204,
15,,,,0.08719440000453194,,,0.013713402482153914,-0.002225729235529217,,,,,,,0.025969955401885514,
16,,,,0.12081306343096987,,,0.04292752879900741,0.0006226984133836933,,,,,,,0.01289021682003888,
17,,,,,,,0.09249090064713128,0.0020970208866948337,,,,,,,0.01909651592445183,
18,,,,,,,,0.03971992926118584,,,,,,,0.009732589873477693,
19,,,,,,,,0.05709126133654219,,,,,,,0.009158232622398899,
