,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-02-01,2019-03-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-12-01,2021-01-01,2021-03-01,2021-04-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-05-01
0,-0.07594799312430833,-0.0618456805264499,-0.047316782193437046,0.056231238780193316,-0.009431525988760736,0.09324232738687455,-0.15864633714819742,0.10153404607097594,-0.00041778481558640834,-0.025845202088619956,-0.01609289219312826,-0.04757891209293419,-0.0021778687930695817,-0.03648280292841655,0.0541418876016202,0.14110757539318186,-0.02992622520717214,-0.05626088836355425,-0.029378266927162056,0.004565767919067071,0.03198340308053793,-0.03945380326869952,-0.004104597907255592,-0.014200522663375459,-0.013384949062919649,-0.035431366846466084,0.02066504572672634,-0.03517484711856933,-0.044593001781977115,0.11163840900695376,0.013087338974125728,-0.005718213518140169,-0.036395678156115,-0.013735738100143724,0.04463379252216715,-0.031412402284894614,-0.03864258292689726,0.07200111168508583,0.027248854780034915,0.08773825781876132,-0.008295523151451434,0.05513943187109094,0.053996043879390054,-0.039323103451170294,0.04404634588865397,-0.005619758063393654,0.023095487159420114,-0.019960437815093268,-0.05447761743095114,-0.05984212871334371
1,-0.07472203192997018,-0.08019309698823973,-0.004090528375011893,,-0.0376377380402948,,-0.1528914749600565,0.20110812462598515,0.012661820107618738,-0.021585386323567768,-0.05882179005251009,-0.025025770134583514,0.12958656186631412,-0.03537184660417392,0.0677274917830033,,-0.0006021575264305579,-0.05805579486464563,-0.020994390628227944,0.004380431672630053,0.041769326233013215,-0.0627801130124861,-0.048830677799279076,0.003820714082639398,-0.03563171706834378,0.011920388948979621,0.04224367631246828,-0.03796941917411334,-0.028616045594118233,,-0.02143946200155389,0.029790246999339187,-0.02513925121767402,-0.013367326226371379,0.024168736923428025,-0.00195398454106932,-0.058354050549408676,0.11591695779989752,0.017702423884727647,,-0.004013661250968248,0.07445761578226051,-0.0013692846600079633,-0.043770714531421895,0.025627856058074272,0.015027306639476379,0.014024500524248418,0.011792502415115536,,-0.0355725160921061
2,-0.04466609247766051,,-0.04699482339090455,,-0.07934903843465335,,-0.17949892194126793,,-0.008591063366967688,-0.01781771956637135,-0.0858786820974422,-0.002801791129270814,,-0.047153243978978576,,,0.005033172422423737,-0.027697682915286848,-0.010834183895222171,0.00552153227660282,,-0.07721753810895438,-0.06252193757647095,0.02057677147272674,-0.06718323633239098,0.004084156186405119,0.01897778376099568,-0.06534691732784359,-0.01697027646034499,,-7.069794158232057e-05,0.06448979256731291,-0.05181139856590544,-0.03066165185757619,0.033062062273122805,0.014576595299474637,,,0.01875980696620827,,-0.040025862781084776,,0.000982297218573791,-0.04325423637425274,0.0022458219679775127,0.015186798028220316,0.02949418614960042,0.004940860627268062,,-0.02911560712650063
3,-0.07922103500210032,,-0.02678813631901278,,,,-0.16193275162620857,,-0.01825396376491284,-0.039158499288654,,0.006484906257413048,,-0.03249673794994301,,,0.016775664476218033,0.03502183086417299,0.0022431120345589584,0.015486425340464877,,,-0.08891461758222752,0.026851767852702046,,0.006017819245087708,0.016513828212941117,,0.015027243168851623,,-0.02461671037940194,-0.058009441561446495,-0.04647576212375437,-0.046189135505356305,0.016927301371379322,0.019023756820336524,,,0.002434917247452262,,-0.05199832427994,,-0.012559574586683553,-0.05706175622880405,0.03450589126544479,0.014125542617009934,0.024709595147177077,0.029388897420859372,,-0.05217145356261099
4,-0.08439794958728886,,-0.0016594690764266673,,,,-0.13487401311425629,,-0.012119589959141308,-0.0457767666439457,,0.0056164348672123054,,-0.017622950344986954,,,0.00022247222082305562,0.021922019503020085,-0.008456931218296493,0.006730173139027379,,,-0.08293458921348895,-0.012356633421132912,,-0.01118844713716527,-0.023336888128806077,,-0.00773889309219844,,-0.003912147748010408,-0.0856270540306181,-0.04932638166901704,-0.04081773869886396,0.014393737797708805,0.01864093492977903,,,-0.005491820976617934,,-0.01993972605421268,,-0.04835189500682935,-0.09744158289428162,0.04070348415805736,-0.02393613910929071,0.03272983837822674,0.02719366692199099,,-0.06951121336702304
5,-0.07436896897446665,,0.003984816213708164,,,,-0.14792972774349478,,-0.0641146439470095,-0.0541576693534398,,-0.02886111233444666,,0.033872026416274625,,,-8.033480354274758e-05,0.04606203443731549,-0.018888691123726264,0.01588912316400229,,,-0.09883311599213762,-0.027715073189052752,,-0.011488572475812031,-0.010432679389693611,,-0.0002331956775940558,,0.00213197570812218,,-0.02512608639256797,-0.058260659493978295,-0.0047657486533014826,0.013817690627556112,,,-0.0005726802748737825,,-0.036801027313592805,,-0.05134453818896345,,0.015569251353533264,-0.012387439732723493,0.033962268322634714,0.018049266602869984,,-0.06403346065656335
6,-0.1172656646085466,,-0.007216083071380552,,,,-0.13341946954676587,,,,,-0.034542156534290935,,0.02704558338527585,,,-0.03315281762484634,0.05541827128724863,-0.02822273427227895,0.0034544381007874103,,,-0.0811850279803763,-0.029653217271830457,,-0.011220038437479873,-0.030846177364589167,,0.01186675546966165,,-0.05411167490509827,,-0.0698232899128497,-0.05853349519308404,-0.009813948274153717,0.013463497087001675,,,-0.014935729403297238,,-0.03994274172028911,,0.010864112153921468,,0.02203171262628212,-0.012099355360927877,0.04074001602156241,0.03405355170995916,,-0.05366088605974273
7,-0.13068249977107227,,-0.0391074501440376,,,,-0.11708626949651268,,,,,-0.03377222191131768,,0.02954905606066882,,,-0.008726661669044233,0.05098172058030581,-0.021363031796141296,0.004995013516698649,,,-0.08173938277192949,-0.009672551939757135,,-0.005204122451454296,-0.03308793419413325,,0.04161753747325059,,,,-0.05528575477337805,-0.07218564735206856,-0.008531169494013557,0.02190995631245285,,,-0.015719265361918477,,-0.04145535919221022,,-0.03985294103473702,,0.035030297547056666,-0.0029094365284443313,,0.02282851473317704,,-0.03878070360340313
8,-0.13692099169757999,,-0.03227914512521046,,,,-0.16117708974843126,,,,,0.0014583417183802183,,0.03602387290946929,,,-0.05231027231275531,0.04092214572671149,-0.03345596068939782,-0.003504281954793992,,,-0.08354595729815006,0.006621732361255184,,0.05139421930570176,-0.03419798841068444,,0.048571348949757676,,,,-0.059413878172647205,,-0.012940175731803283,0.011173150872772486,,,-0.021757945804465884,,-0.04120853647177114,,-0.006967227937476839,,0.03221742687423479,-0.01728722515633052,,0.03281028103421102,,-0.053432421666931074
9,-0.12201330888946194,,-0.010759239522745823,,,,-0.15864892817511445,,,,,0.01854928644979248,,0.07552171472751512,,,-0.08503208597320233,0.03855163629172198,0.00881710338171926,0.00012293662654064286,,,-0.08102073791093511,0.02044092367323902,,0.030748831517223074,-0.029351599490932134,,0.03031193018871048,,,,-0.053246493642067794,,-0.00032148925168318243,0.01311450121863944,,,-0.012081689683523855,,-0.04901623077026773,,-0.018632951280288523,,0.05118503887527126,-0.016909036183712534,,0.03433281997769644,,-0.04833589832320673
