,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-07-01,2022-09-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01
0,0.009325072403126966,0.0009636131337318332,0.034978510303983024,-0.0024458644140208374,-0.033888697823104996,-0.03192302142448167,0.0370831400945677,0.023762409414938124,0.05039379114147685,-0.08208074660206122,-0.08528262151137267,0.026006422977263854,0.03562072520250048,-0.039800179689511994,0.007812973047707006,0.02645229262473414,0.028445609905053515
1,-0.009497786771335504,0.025018881870918497,0.013134305737326768,0.014342344381100602,-0.013256063316858357,-0.03797319359044948,0.014969398485582985,0.03957409924623334,,,,0.02970079022738492,0.022296332679583752,,0.01653682181813676,0.04135412295498808,0.03480403429139112
2,-0.018867313999659463,0.032310140842396584,-0.028198501201939674,0.022773028105667947,-0.049875853324287345,-0.03035391959399303,-0.0016589257072466834,0.05498164390129334,,,,0.0523704557425535,0.013564502639058285,,0.013501860498406293,0.048805183889167436,0.0400858808185931
3,-0.060195691041856014,-0.04786809131380598,-0.026742540477453725,0.029004505939165814,-0.045813671572546344,-0.022572573777438043,0.029220547596489732,,,,,,0.020219743989432826,,0.016365806904826474,,0.022072268191214273
4,-0.0738830494717777,-0.08788936486030019,-0.07793178943706702,0.02124569365005613,-0.04258820390670226,0.007306516271561314,0.004619145333162877,,,,,,-0.0010694595899983783,,0.025549269302849176,,0.02869050472257212
5,-0.09627690759772606,-0.08254050124256429,-0.029615296138174374,0.03263416919094497,-0.08068642265930404,-0.02027361649104864,0.023137331419562646,,,,,,-0.0019351779953024062,,0.026303059376471927,,0.0032117421672285262
6,,-0.026402514590400883,-0.023103727788023498,0.04347717384515193,,-0.02655765706681157,0.028398592209786466,,,,,,-0.00850631336299712,,-0.0074263626162043295,,0.007573993290602932
7,,0.006433444214442696,-0.0561263355457291,0.018678475577008746,,-0.027831731953959826,0.039740284293020345,,,,,,-0.01303854258364534,,-0.023567566084127023,,0.028278310891757252
8,,-0.05478396117777662,-0.029101103895797342,0.04470820923942809,,0.023857822182228983,0.027772117552169018,,,,,,-0.0026318317480429343,,0.009945363169612698,,0.008559719585810643
9,,0.04398642788258267,-0.007337463556259749,0.0649146480762891,,0.005090079279207904,0.021888156807937542,,,,,,-0.010910178431029816,,-0.013599732160628264,,0.002718917729957804
10,,0.060273724118113936,-0.04950321887172571,0.050289900303942425,,0.0024656373710423285,0.03632675141622377,,,,,,-0.005651927187891759,,-0.00844265184435189,,0.0048570725270075665
