,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,000921.SZ,-1.0324248261261993e-05,-0.002588730759567692,-1.886179999999953e-05,-0.002159602,-0.00022634159999999434,-0.025915224,-0.00018861799999999527,-0.02159602,2.0,1.0,558.331,3276.062,3834.393,-0.001897924837744412,-0.004156456446488735
1,002490.SZ,-0.006964993214495063,-0.002039944543445027,-0.005807539,-0.001700243,-0.06969046799999999,-0.020402916,-0.05807539,-0.01700243,1.0,0.0,368.75,369.93,738.68,,
2,002594.SZ,0.006035334593883216,0.0017322101736707404,0.004935179714285714,0.001433733142857141,0.05922215657142857,0.017204797714285694,0.049351797142857146,0.01433733142857141,5.428571428571429,4.428571428571429,1218.3128571428572,11211.511428571428,12429.824285714287,0.475197542270275,0.46658543419943693
3,000063.SZ,0.0004491660633267336,-0.0029911632159764223,0.00037115924999999995,-0.002494401999999997,0.004453911,-0.029932823999999966,0.0037115924999999994,-0.024944019999999973,0.75,0.25,353.41749999999996,1872.3875,2225.805,0.09608591445775645,0.09519832690524356
4,000039.SZ,0.008916075488736483,-0.008811461842723004,0.007413979666666666,-0.00734914366666666,0.08896775599999998,-0.08818972399999991,0.07413979666666666,-0.0734914366666666,4.333333333333333,3.3333333333333335,894.6466666666666,9410.993333333334,10305.640000000001,2.0940191496937692,2.086197985587673
5,000756.SZ,0.0018157497437832533,-0.004335680361107615,0.001512189,-0.003615047333333333,0.018146268,-0.043380567999999994,0.015121889999999999,-0.03615047333333333,1.0,0.0,334.57,2065.653333333333,2400.2233333333334,0.4777338177055183,0.47700907799578307
6,000157.SZ,-0.016805482550537952,-0.0007020537648941185,-0.014055112529411764,-0.0005944520588235289,-0.16866135035294116,-0.007133424705882347,-0.14055112529411765,-0.0059445205882352895,6.705882352941177,5.705882352941177,1257.4723529411767,11140.491764705881,12397.96411764706,-1.4022813539223873,-1.407888294980224
7,002202.SZ,0.014229543248715573,-0.006381238264269104,0.011822485125,-0.005324238124999997,0.1418698215,-0.06389085749999995,0.11822485125,-0.05324238124999997,2.0,1.125,517.4425,3546.9537499999997,4064.39625,1.8335733530182574,1.8242658224065442
8,000898.SZ,0.00785934244643057,-0.0012311300703174396,0.0064978706666666665,-0.0010284997333333318,0.077974448,-0.01234199679999998,0.06497870666666666,-0.010284997333333318,3.466666666666667,2.6,642.2886666666667,7602.662666666667,8244.951333333334,1.277755591791641,1.2677654832986243
9,000488.SZ,0.0116507323720766,0.004307015630209865,0.0096867549,0.0035850586000000005,0.1162410588,0.04302070320000001,0.096867549,0.035850586000000004,7.3,6.3,1476.569,12264.118,13740.687,1.7250334835216976,1.7225448975971458
10,000338.SZ,-0.0074330272181424495,0.003478434562198823,-0.006260569727272727,0.0028819575454545466,-0.07512683672727272,0.03458349054545456,-0.06260569727272727,0.028819575454545467,3.4545454545454546,2.5454545454545454,676.4090909090909,8806.136363636364,9482.545454545454,-0.4642565294545881,-0.47088269498695334
