,2022-10-01,2023-03-01,2023-04-01
0,0.008140144714106741,-0.026859204766100486,-0.013689114091508747
1,0.024277656135496935,0.012513276745553359,-0.04605660510414933
2,0.053352685784104244,0.021494358273037584,-0.05796874299804311
3,0.039212024544945885,-0.026069655376472323,-0.04868968715133559
4,0.01647701461512808,0.007444872963527693,-0.04753193059200256
5,0.03694253165905193,-0.018939802389565497,-0.044709336009681744
6,-0.03725025091854505,0.062133821108889986,-0.04713634501292785
7,-0.05739825593181246,,-0.06553252684516164
8,-0.007505569662178628,,
9,0.008565134554641814,,
10,0.04209596296372831,,
11,0.024584039988087232,,
12,0.07239309598122357,,
