,2007-10-01,2008-01-01,2008-05-01,2008-07-01,2008-08-01,2009-11-01,2010-01-01,2010-04-01,2010-06-01,2010-11-01,2010-12-01,2011-02-01,2011-10-01,2012-01-01,2012-02-01,2012-06-01,2012-08-01,2012-09-01,2012-10-01,2013-02-01,2013-03-01,2013-11-01,2014-07-01
0,0.10608593876634353,0.03266238109307107,-0.023462742992923946,0.020635402279868043,-0.3451293799993742,0.010239979855434012,0.03482751964714703,0.02874922317213402,-0.03734566595298894,0.02302325418006035,-0.03673242770761154,0.04030218256948448,0.003188739998625234,0.022493888645048976,-0.02062037117354798,0.03108901807863429,-0.02476090396851971,0.032167528677188084,0.014526040680207686,-0.013500562809953376,0.08615300809110993,0.02939206259324778,-0.01704268535435549
1,,0.051581675538828975,-0.024863732768485303,0.07971318852407627,,0.029181830637516892,0.04452084648021204,0.042308233417724495,-0.03974584840074069,0.05971124389227267,-0.03710288016013141,0.04674179149120894,0.0223797088156239,0.0031691365281512063,-0.02718100259919609,0.0358225064154194,-0.0016270751750195878,0.037306966978363665,-0.011316881584225058,-0.006352567562194711,,0.00437686727449349,-0.03728584419607195
2,,0.003163002689126504,-0.0429216101717349,0.07572383733016608,,0.04918901972108847,0.06830816280142615,0.040715055793548505,-0.01447028195644151,,-0.06345705761293763,,0.039007786803315625,0.006288161449423235,-0.033774531140974506,0.006122005401333119,-0.010253349109492937,0.04100519241756606,-0.020066085390484156,-0.042087013349840774,,-0.009159048453188268,
3,,0.019450872275169395,-0.014287189348602292,0.06974203732115081,,0.07957900068201651,,0.059017433928649776,-0.04122936095856922,,-0.09124012847635354,,0.05233672435085923,0.005469840144278315,-0.038563770896220095,0.07699963176400892,-0.003319916557499525,0.04643902162105151,0.021521676407204815,-0.04874563555104716,,0.04148520307453141,
4,,-0.0278399628149244,-0.01727931669615268,0.04161782856418794,,,,,-0.01577396067473824,,,,0.06358341440060311,-0.027292779022349833,-0.035064462153945986,,0.021530474405549782,0.022345967804852762,0.009049566158896072,,,0.006309097073496028,
5,,-0.030339174280482162,-0.0012491138560011272,0.1253585959888781,,,,,-0.04612305243102588,,,,,-0.01757474336173992,-0.04997288971974578,,0.03074584630668964,0.020428899386208066,0.00582786880866526,,,0.03283470191837323,
6,,-0.03041461347452179,-0.014140121154121665,,,,,,-0.03967214709201983,,,,,-0.026754718519467424,,,0.027141601420168637,0.007652399767438478,-0.00960614500554402,,,0.03298717829755682,
7,,-0.016273098989982415,0.005717873279225794,,,,,,-0.020276370853410608,,,,,-0.010542499619792256,,,0.03846070718532646,0.002147511246049838,-0.00031493763015699727,,,0.06351005686198286,
8,,-0.03805761270975383,0.07854834213900164,,,,,,-0.06314730445704653,,,,,0.018860210940002453,,,0.06072701405542347,-0.01021508140004146,-0.002830117333906035,,,,
9,,-0.062078030682878094,,,,,,,,,,,,0.031655974816113375,,,,0.009010977542083243,-0.009564941021238615,,,,
10,,-0.15317744600591565,,,,,,,,,,,,,,,,-0.004734481143236824,-0.00686011234765882,,,,
11,,,,,,,,,,,,,,,,,,0.012884806476997301,0.009687966400684811,,,,
12,,,,,,,,,,,,,,,,,,0.05660035599909685,0.008139217751818695,,,,
13,,,,,,,,,,,,,,,,,,0.05924612916260452,0.02364688346754562,,,,
14,,,,,,,,,,,,,,,,,,0.0761851806709446,0.037322589861895406,,,,
15,,,,,,,,,,,,,,,,,,,0.031469925768776275,,,,
16,,,,,,,,,,,,,,,,,,,0.010716267847953542,,,,
17,,,,,,,,,,,,,,,,,,,0.006804938514472614,,,,
18,,,,,,,,,,,,,,,,,,,-0.011373666846643982,,,,
19,,,,,,,,,,,,,,,,,,,0.019298255939872444,,,,
20,,,,,,,,,,,,,,,,,,,0.008540241690293549,,,,
21,,,,,,,,,,,,,,,,,,,0.011827350044621543,,,,
22,,,,,,,,,,,,,,,,,,,0.012261750780449443,,,,
23,,,,,,,,,,,,,,,,,,,-0.011309831753704813,,,,
24,,,,,,,,,,,,,,,,,,,0.013286248987589122,,,,
25,,,,,,,,,,,,,,,,,,,-0.03125607382936746,,,,
26,,,,,,,,,,,,,,,,,,,-0.022807071385090527,,,,
27,,,,,,,,,,,,,,,,,,,-0.0450417443646165,,,,
28,,,,,,,,,,,,,,,,,,,-0.025971030690847385,,,,
29,,,,,,,,,,,,,,,,,,,-0.027986913204090413,,,,
30,,,,,,,,,,,,,,,,,,,-0.03849620087024297,,,,
31,,,,,,,,,,,,,,,,,,,-0.024289134362529996,,,,
32,,,,,,,,,,,,,,,,,,,-0.009553565264825092,,,,
33,,,,,,,,,,,,,,,,,,,-0.024106005991803237,,,,
34,,,,,,,,,,,,,,,,,,,-0.019685666759009735,,,,
35,,,,,,,,,,,,,,,,,,,-0.02863968400911654,,,,
36,,,,,,,,,,,,,,,,,,,-0.016715147693439736,,,,
37,,,,,,,,,,,,,,,,,,,-0.004961282177758708,,,,
38,,,,,,,,,,,,,,,,,,,-0.005624266361607955,,,,
39,,,,,,,,,,,,,,,,,,,-0.007824935942577493,,,,
