,2017-01-01,2017-05-01,2017-06-01,2017-07-01,2017-09-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-09-01,2019-10-01,2019-11-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-06-01,2020-07-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-03-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-11-01,2021-12-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-10-01,2022-11-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-06-01
0,-0.03141698336936338,-0.020766378833806165,-0.06799779056852584,0.0111204928766937,-0.004029635814456034,0.05508070952209554,0.008147991367556617,0.03881210890019493,-0.13407551154631753,-0.008413532353294145,-0.0005526115938976339,-0.005334090830751759,-0.04154833006995373,-0.0007580093972183732,-0.010786849545100452,0.016339823246408924,-0.08938830257485098,0.05752110360346052,-0.01899117002968609,-0.021164345850732236,-0.04987260977066876,-0.034238372375106296,0.023098789933593267,-0.034809951297789965,0.0007956039495844447,0.0027439838527228977,-0.04602582220230633,-0.024040108227851964,0.02573469767808234,0.0013592567138248635,-0.0029042821291793697,-0.10405913337552342,-0.02780322848889727,-0.016083933129664274,0.0032139612530166506,-0.09000251421147532,-0.06331709261556384,-0.039195856719127065,-0.003953464015311825,-0.009210406415721906,-0.03747121096560635,-0.08279609025576029,-0.02078469473223743,0.06352348235159688,0.013399102173247315,-0.04452685731415906,0.003040539840659398,0.0441166484639981,-0.17663511156301825,-0.006258207458550991,-0.009180008258391492,-0.010429997455467646,0.01978364128524368,0.010422217280317225,-0.002799090214647637,-0.00747220199818921,0.01141145734023774,0.008963784476315295
1,,0.024321639831882624,,0.004074108752936345,-0.0002635455087720562,0.04999054776019829,0.07264730984236056,-0.014354661481353226,,-0.005450726576711223,-0.01154654924549825,-0.02742744837542066,,0.12697651484821826,0.005259677898674209,0.01619627594030848,-0.11634887560600804,,0.028759961065777384,-0.03614026545278115,,-0.05656552728400266,0.002277416994502901,0.01246746914966268,-0.002119796843502053,-0.03730867682328298,,-0.014621920253180765,0.024775037127853672,-0.009197301108773814,-0.006491886940809155,-0.13603722841102783,,0.009257466014072513,0.041101958067775834,-0.00784938799777013,-0.04828564100764743,-0.0005386431246687806,-0.061519687368697396,0.0021547264120691523,-0.027949530914683773,,-0.08655029223520572,0.02360983608628331,0.029697392184687657,0.037801978160223015,-0.012705053741215486,0.03250800914604901,,0.038571925193289114,-0.011557648570547085,0.007708139646346021,-0.015703251234873594,0.0403887880889906,0.001407941559734005,-0.023075378782666967,0.032008368024237344,0.1088241870200437
2,,-0.0021954708504385856,,-0.03791880043189533,-0.001204563480916132,0.038957190354248716,,-0.0045781009473591094,,-0.0038623788142822246,-0.017135367643279054,0.014886590404673106,,,-0.027444009338704944,-0.008338462554696058,,,-0.018483531817731658,-0.008137689211001886,,,0.001288994115807851,0.007182202900298584,-0.001454035729372638,,,-0.014746334324282295,-0.021406971642942807,-0.011197220736873237,-0.016859022491309106,,,0.006431375944531803,0.052682472247417955,0.3330162691802885,0.033946454439352514,-0.02877869876902217,-0.06860635496159717,0.00944845414550688,0.018022526592263555,,,0.018401251296005228,0.00012188837498068594,0.0027228874585369933,-0.05752038700822841,-0.010851058047520956,,0.000715745124135414,-0.06711637279747773,0.04045041635728068,-0.012251386403965281,,0.014971241188169171,-0.025886697117504243,0.03963269931602542,
3,,-0.006536948722544622,,-0.03838284005459203,0.011690936924886985,0.06321428395277451,,-0.034117951961923465,,-0.014888317274077495,-0.026781618064142032,-0.025001081552229465,,,-0.008704369259687095,-0.00977521666070924,,,-0.0501067101599757,-0.012234185442360435,,,-0.003388787127828974,0.007492732977631533,-0.0058881653781150955,,,0.0014509209614927965,-0.07866113946204356,-0.011541948427622462,0.07679253505990413,,,0.05368911247625041,,,-0.011951797055452462,-0.044602608801143084,-0.09357949351947337,-0.03824494044487903,0.003421320509133352,,,0.015567345444709169,-0.013434288774087741,0.01798867851045527,,0.024763800165531258,,-0.0060739727029522905,-0.07185876114998169,0.0368573658893349,0.002721972796186023,,0.019729434453230943,,,
4,,-0.04288036644224613,,-0.01233822973880594,-0.010053797577485701,0.02667414731261175,,0.0111961960665794,,-0.007782863969327619,,-0.047500920165003846,,,0.031246227850613373,-0.10311677270114283,,,,0.0007890001577623984,,,0.004902788698040728,0.008991280842039151,-0.01739616525950094,,,-0.017628694023663516,,-0.023313793355170143,,,,,,,-0.015133019241804546,-0.06653334253890542,,-0.066862464867806,0.04188924656701465,,,0.045275997185159955,-0.026467783182273094,0.028784000969944268,,0.028994751668893093,,-0.0008661088126687977,,0.057902538792351674,-0.012769345294442402,,0.021662164719512433,,,
5,,,,-0.029857520767216483,-0.012171221666150478,0.07834673925348579,,0.014083106095601039,,-0.03498324472101902,,-0.006041479516413872,,,0.05939252095203407,,,,,-0.03123309739350333,,,0.013730504384975695,0.01588836788360215,-0.018870542635737286,,,-0.019414991968076056,,0.003415963247333842,,,,,,,-0.00921507408911626,-0.06219267465909972,,,0.033065273337734125,,,0.036822349636179474,-0.0313482635885705,0.04892651044962859,,0.030076807260212002,,0.009202944597185625,,,-0.023031089141517302,,0.025364559176032864,,,
6,,,,-0.06410095898053858,0.0011969187807745474,,,-0.012565278481173392,,-0.03282546447488424,,-0.02907399852668191,,,0.06969762576946592,,,,,-0.06924321957841384,,,-0.005235099788364006,0.025788846624178907,-0.028975499219936696,,,-0.06251481212114696,,-0.022325855668395178,,,,,,,-0.049841210296797,0.03951894419118318,,,-0.0008243038376605227,,,0.0015120107416026762,-0.1072400396888971,0.03169880181566587,,0.04042738936118173,,-0.0034149231065080388,,,-0.012555375729704776,,0.021460510009385536,,,
7,,,,,-0.003784501475774471,,,-0.014340913133433109,,-0.03980448352215629,,-0.008071529791596532,,,,,,,,-0.009991755436703942,,,-0.02999571212015939,-0.009261741943352053,,,,,,-0.036036264836605936,,,,,,,-0.0019223894755787674,0.08468542666688172,,,-0.028073881391583955,,,-0.007531548048187009,,0.06671485190313042,,0.054069060955593384,,-0.0031146411308059507,,,-0.023436676633872944,,0.0004481487159516684,,,
8,,,,,0.02892323442263489,,,-0.03253998221634169,,9.124477932972996e-05,,-0.045043904784480615,,,,,,,,-0.05237304458978009,,,-0.03315391447384508,0.00014583237366672108,,,,,,-0.020702584814006553,,,,,,,0.06852778548739591,,,,-0.00643225306460149,,,-0.02538020573567934,,,,0.03507988465290235,,-0.005275008540752801,,,-0.03012762864808538,,0.0031212023047136883,,,
9,,,,,,,,-0.07127727839751352,,-0.019713901633398062,,-0.012982929584585579,,,,,,,,-0.056409183725537826,,,0.001795723370832225,-0.000438035025812189,,,,,,-0.008475353189812074,,,,,,,-0.014690948674836224,,,,-0.012487446889479337,,,0.0034865484752675258,,,,-0.07340582798881923,,-0.008619039887175162,,,-0.03757303225564379,,-0.006251219903635419,,,
