,name,yieldRate,excessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,slope,intercept,std
0,2018-10-01,0.03598958,0.0009684900000000024,1,0,368.80,288.05,656.85,1.122911349823736,-3.4592196140738203,0.049825201631793076
1,2018-11-01,-0.00169785,0.00018444999999999985,0,0,340.14,373.54,713.68,0.7342189277131759,-1.279944606120715,0.011440696694896424
2,2018-12-01,-0.03394258,0.0001831399999999983,0,0,349.07,284.95,634.02,1.0922100235279402,-3.2690140757064015,0.018733411768549202
3,2019-01-01,0.09251708,0.0002743399999999979,1,0,368.71,354.96,723.67,0.806552066781574,-1.670938413519309,0.014994639259643885
4,2019-03-01,-0.00218899,0.0001265699999999999,0,0,309.99,666.76,976.75,0.3052080918962936,1.1523907253067307,0.03170225268381919
5,2019-04-01,-0.00149956,0.00021035,0,0,352.38,250.80,603.18,1.1437118930884793,-3.6706911930597954,0.022034316878098117
6,2019-05-01,0.08173619,-0.011686100000000005,1,0,352.31,3661.13,4013.44,1.1776194508424747,-3.856347807474996,0.02358408280542426
7,2019-07-01,0.13785554,-0.00681886000000001,2,1,368.82,4067.72,4436.54,1.2432495794104443,-4.398574589639724,0.018499587225622064
8,2019-10-01,-0.08286306,-0.030724720000000004,1,0,342.15,3631.71,3973.86,0.7500967285887636,-1.3236209225702282,0.016536707052937995
9,2020-03-01,0.11677391,0.00035984000000000016,0,0,350.51,273.78,624.29,1.0747860325888952,-3.3379589182996234,0.02465954193162963
10,2020-05-01,-0.06919628,-0.0260026,1,0,350.46,3591.58,3942.04,1.2295763516385503,-4.1251066080884,0.02320671846775059
11,2020-07-01,0.05646966,-0.028614140000000003,1,0,354.69,3862.70,4217.39,2.0399189901783306,-9.05200722535617,0.03265883780070064
12,2020-08-01,-0.04961819,0.02404936,2,1,708.73,3661.34,4370.07,1.3299097216046858,-4.619249169173678,0.026383857626832746
13,2020-09-01,-0.05281201,0.005484290000000003,1,0,368.65,359.65,728.30,0.9761837751956772,-2.423363122469887,0.025975910603229506
14,2020-10-01,0.08544802,-0.0034701399999999966,1,0,368.70,262.47,631.17,1.4760115595094732,-5.489998709452436,0.026387307680535377
15,2020-11-01,0.01960318,-0.0068815399999999985,1,0,357.18,3663.29,4020.47,2.1320320117293043,-9.449572693931373,0.021551722964289942
16,2020-12-01,-0.04164473,-0.0004456799999999969,1,0,368.72,299.30,668.02,1.1558510540727625,-3.5867631154908253,0.018522152591983213
17,2021-01-01,0.00769704,-0.03535115,1,0,342.10,3656.12,3998.22,0.893599942436188,-1.9888722132702836,0.019213820905781276
18,2021-03-01,-0.00118766,0.06409312,1,0,349.75,3657.02,4006.77,1.1829313985116432,-3.782280630594613,0.022892600559026827
19,2021-04-01,0.08876958,0.00029788000000000037,0,0,315.68,607.46,923.14,0.4152533094714137,0.7737127954579108,0.021810320607261048
20,2021-05-01,-0.02754488,0.00015404999999999933,0,0,350.41,266.21,616.62,1.377827606894579,-4.8371122160701105,0.016264994573734627
21,2021-07-01,-0.00194805,3.156000000000014e-05,0,0,324.78,518.90,843.68,0.5419434177712285,-0.033393377893279154,0.020691625491947464
22,2021-09-01,-0.00074836,0.00314342,1,0,369.94,399.50,769.44,0.691927962607209,-0.9069587713064813,0.02203078087851274
23,2021-10-01,0.02849929,0.0002039199999999998,0,0,353.75,233.41,587.16,1.5314021870478456,-5.8144029518263665,0.012569229697401929
24,2021-11-01,-0.01695245,-0.01561203,1,0,341.59,3647.60,3989.19,0.8604607430476037,-1.8673783124619376,0.022785958369036654
25,2021-12-01,-0.02038013,-0.0016140800000000004,1,0,371.45,662.08,1033.53,0.34087624410729234,1.079206073265567,0.03387170732054926
26,2022-02-01,0.0310989,0.00014555999999999944,0,0,341.79,349.77,691.56,0.8305564855780841,-1.7111689122028582,0.013839765605877843
27,2022-03-01,0.00305418,-0.0002612999999999999,1,0,369.71,368.06,737.77,0.7752138170281118,-1.3706771598663323,0.017823655544269575
28,2022-04-01,-0.06810857,-0.023920159999999996,1,0,337.29,3658.70,3995.99,0.75191316782073,-1.1729310903295285,0.027416785064382502
29,2022-05-01,0.03385073,0.00022342000000000195,0,0,346.17,311.13,657.30,1.1080127455880007,-3.249353851643747,0.018652573318385192
30,2022-06-01,-0.02106746,0.004484760000000001,1,0,368.59,465.71,834.30,0.6292069142199201,-0.4841967401168598,0.012459926505491067
31,2022-07-01,0.00633549,0.03307263,1,0,353.20,3685.22,4038.42,1.6223554180860076,-6.223130872439912,0.012107846491955603
32,2022-08-01,-0.01338806,0.020758989999999998,2,1,696.06,3632.20,4328.26,0.48470787702296825,0.35600278945941,0.011357645385956476
33,2022-09-01,-0.00170249,0.00015958999999999982,0,0,339.92,377.94,717.86,0.9234130159310315,-2.1683839999609464,0.00978333297097487
34,2022-11-01,-0.06119446,0.0330369,2,1,368.60,3898.30,4266.90,0.9939498976790269,-2.5386843251401814,0.011392503431821131
35,2022-12-01,0.03846129,-0.0004646300000000006,1,0,369.22,351.75,720.97,0.9771271318300281,-2.435844695363265,0.010413016314355117
36,2023-01-01,-0.06234983,-0.021431030000000004,1,0,330.89,3517.96,3848.85,0.650727144336786,-0.526929603407046,0.012224647070493939
37,2023-03-01,0.07625681,-0.04114852000000001,1,0,342.30,3694.09,4036.39,0.915798430482412,-2.138242745408469,0.011692476836283546
38,2023-04-01,-0.1334481,-0.004362939999999982,2,1,369.57,3706.74,4076.31,0.5848639841900724,-0.1761385313811124,0.017358240720164526
