,2022-05-01,2022-06-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2023-02-01,2023-03-01,2023-04-01
0,-0.0033962520523207473,0.02736560399808452,0.023469431762028314,0.007942835673101722,-0.020382211578557907,-0.015242685286660063,-0.023550097312954543,0.019018483865175018,-0.02846064620859412
1,-0.0018218122863187247,0.01696716305890167,,0.0015349556560946276,0.005851030740337215,-0.024937193775824262,-0.019547867239047667,0.013173865628702597,
2,0.019347980023140643,0.0267011612960113,,-0.014528893858627878,0.01943561837519958,,-0.04229899356336264,0.006984704432703381,
3,0.010294689519341649,0.02908183632273076,,-0.030390696517238247,0.017640128393184185,,,0.03359719524848748,
4,-0.011807370395273686,0.020915126772199866,,-0.018186809411586236,0.03584462909531538,,,,
5,0.027664934315332346,0.03273061105247921,,-0.009310737265643798,,,,,
6,0.014426689128036685,,,-0.007287416358754406,,,,,
7,-0.012679743509561803,,,0.0019771133639188143,,,,,
8,0.0021887911884235223,,,0.002246119498173549,,,,,
9,-0.016492188086814963,,,0.014976366274821906,,,,,
10,-0.007177328962336915,,,0.0191748023686773,,,,,
11,-0.026701463549876348,,,0.00233832586517968,,,,,
12,-0.035655482822277484,,,0.014334830507758411,,,,,
13,-0.024251890223875083,,,0.030685963687787865,,,,,
14,-0.015045006286615425,,,0.02911981779130013,,,,,
15,-0.03111738000237274,,,0.03474566026186077,,,,,
16,-0.04196471038247296,,,,,,,,
17,-0.046545578708285795,,,,,,,,
