,AID,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,600600.SH,0.005179986123624276,0.005161019115164281,0.0038443178619528623,0.0038485611616161635,0.046131814343434344,0.04618273393939396,0.03459886075757576,0.03463705045454547,4.318181818181818,3.378787878787879,812.0984848484849,7111.100303030303,7923.198787878788,0.35234164814135466,0.349721502683471
1,600585.SH,0.023706014671951457,0.013659209246029607,0.017340533888888888,0.010107613806584365,0.20808640666666667,0.12129136567901239,0.156064805,0.09096852425925929,5.648148148148148,4.703703703703703,960.7879629629629,9389.339074074072,10350.127037037038,0.6323036113966932,0.6306561687774525
2,600362.SH,-0.009966105776126234,0.005502370296046759,-0.007569625061728393,0.004094902962962961,-0.09083550074074072,0.04913883555555554,-0.06812662555555554,0.03685412666666665,1.0,0.0,255.2733333333334,2407.2033333333334,2662.476666666667,-0.5299924307140719,-0.5387035907581359
3,600012.SH,-0.0009687928764759411,-0.006200375329829514,-0.0007708026086956526,-0.004660696714975845,-0.009249631304347831,-0.05592836057971014,-0.006937223478260873,-0.0419462704347826,1.7826086956521738,0.8260869565217391,307.36304347826086,3693.580434782609,4000.9434782608696,-0.1116145500355712,-0.11825830923913981
4,600548.SH,-0.00370538842139461,-0.0006862372762795797,-0.0028376039639639644,-0.0005294372972972966,-0.03405124756756757,-0.006353247567567559,-0.02553843567567568,-0.00476493567567567,1.6486486486486487,0.7567567567567568,426.72027027027025,3666.2429729729733,4092.9632432432445,-0.29101186422652836,-0.2976141251911142
5,601398.SH,-0.01269912085786415,-0.002232224013176063,-0.009547454615384617,-0.0016823409401709412,-0.11456945538461541,-0.020188091282051294,-0.08592709153846155,-0.01514106846153847,2.3076923076923075,1.3076923076923077,514.2623076923076,4635.319230769231,5149.581538461538,-1.345031104156014,-1.3491408703815428
6,601939.SH,0.0013711819557574538,-0.0009552866145444242,0.0009811552777777783,-0.0007239969444444434,0.011773863333333339,-0.008687963333333321,0.008830397500000003,-0.00651597249999999,2.5,1.5833333333333333,499.18499999999995,4118.560833333332,4617.745833333333,0.14732623642279005,0.14056421929500576
7,600808.SH,-0.012464401782505009,-0.0021619948847105904,-0.009399649185185183,-0.0016411388888888892,-0.11279579022222219,-0.019693666666666672,-0.08459684266666664,-0.014770250000000004,2.1333333333333333,1.1333333333333333,403.09866666666665,4095.6926666666664,4498.791333333333,-0.843833539784749,-0.8472061543021854
8,600029.SH,0.002579257964128635,-0.006968106959145363,0.0018757188888888889,-0.005247252807017543,0.022508626666666667,-0.06296703368421051,0.01688147,-0.04722527526315789,3.263157894736842,2.263157894736842,581.1268421052631,4413.593684210527,4994.720526315789,0.18894146271422735,0.18318004700597865
9,601288.SH,0.008529369283243734,0.005757648364208852,0.006371156666666667,0.0043056985185185165,0.07645388,0.0516683822222222,0.05734041000000001,0.03875128666666665,3.111111111111111,2.111111111111111,618.1066666666667,6637.295555555556,7255.402222222223,0.7974410196736018,0.7960679091594465
10,600026.SH,-0.01711304024441589,-0.00023977489441839097,-0.012893773065134097,-0.00019299168582375203,-0.15472527678160916,-0.0023159002298850243,-0.11604395758620688,-0.0017369251724137682,2.1379310344827585,1.3103448275862069,471.89034482758626,3877.3782758620696,4349.268620689654,-1.4167592618141356,-1.4249905814669828
11,600028.SH,-0.0028488775066018513,0.00311233602523794,-0.002204196746031747,0.002313130555555557,-0.026450360952380965,0.027757566666666685,-0.019837770714285722,0.02081817500000001,2.857142857142857,2.0357142857142856,559.9646428571427,6026.978214285714,6586.942857142857,-0.18992438208572088,-0.19621841648868896
12,600377.SH,-0.0008116969613549072,0.0016499548854357836,-0.0006623199999999997,0.0012215976245210742,-0.007947839999999996,0.01465917149425289,-0.0059608799999999965,0.010994378620689669,3.793103448275862,2.8275862068965516,664.9241379310346,6832.3186206896535,7497.242758620689,-0.06160636537552839,-0.06713995099247808
13,600115.SH,0.001315580761671718,0.0043553132289271615,0.0009042753015873017,0.0032039352698412706,0.010851303619047622,0.03844722323809525,0.008138477714285716,0.028835417428571437,1.9428571428571428,0.9714285714285714,491.6277142857143,3082.7694285714288,3574.397142857143,0.05051855349149333,0.04649961680974313
14,600036.SH,-0.0037146055281599756,4.73990826953985e-05,-0.0028388141944444443,2.6899138888888835e-05,-0.03406577033333333,0.000322789666666666,-0.02554932775,0.00024209224999999953,1.75,0.8,425.50474999999994,3132.73175,3558.2365,-0.3793933460239035,-0.3880917602258536
15,601991.SH,-0.011541324110629433,0.0012871502372073715,-0.00870825857142857,0.0009518163095238095,-0.10449910285714284,0.011421795714285714,-0.07837432714285712,0.008566346785714286,2.25,1.2857142857142858,422.7175000000001,4943.168571428571,5365.886071428571,-0.9437663178056194,-0.9520361069647544
16,600688.SH,0.03784388150991796,0.008653808831758395,0.027738402521367517,0.0064350624786324775,0.3328608302564102,0.07722074974358972,0.24964562269230767,0.0579155623076923,2.8461538461538463,1.8461538461538463,609.9303846153846,5384.84923076923,5994.779615384615,1.6184129768758548,1.5896400203498946
17,601328.SH,-0.010661023837045853,-0.0018450103039282125,-0.008014460980392157,-0.0013925432679738569,-0.09617353176470589,-0.01671051921568628,-0.07213014882352942,-0.012532889411764711,2.764705882352941,1.7647058823529411,488.2758823529412,4089.395294117647,4577.671176470589,-1.0852193788009266,-1.0899059026713178
18,600027.SH,-0.009709800294025357,-0.0023054943265531443,-0.007365597111111111,-0.001751951999999998,-0.08838716533333334,-0.021023423999999978,-0.066290374,-0.015767567999999982,1.2666666666666666,0.3333333333333333,377.32533333333333,2730.8833333333337,3108.2086666666664,-0.6091587010803643,-0.6154691707026286
19,601998.SH,-0.012162477428671709,0.0038620090240693485,-0.00917591567251462,0.0028862103508771925,-0.11011098807017544,0.03463452421052631,-0.08258324105263158,0.025975893157894732,2.6315789473684212,1.6842105263157894,588.1426315789473,4763.9394736842105,5352.082105263158,-1.2104238431039152,-1.2197498007951255
20,600685.SH,0.02326919548785661,0.014692443692197807,0.017166875256410256,0.010940979316239314,0.20600250307692308,0.13129175179487176,0.1545018773076923,0.09846881384615383,2.6538461538461537,1.7307692307692308,612.1853846153846,5253.846538461539,5866.031923076923,0.9045724136914275,0.8945970701686483
21,601988.SH,-0.011544132270011907,6.351404856886374e-05,-0.008678778771929825,4.4482982456143246e-05,-0.10414534526315791,0.0005337957894737189,-0.07810900894736843,0.0004003468421052892,1.7894736842105263,0.8421052631578947,408.69947368421055,3883.792631578948,4292.492105263157,-1.9351641748391668,-1.9413369210726399
22,601588.SH,-0.014096978467383534,-0.006481819590735892,-0.01060543913580247,-0.00486630320987654,-0.12726526962962964,-0.058395638518518485,-0.09544895222222223,-0.043796728888888865,1.0,0.0,309.22666666666663,2212.58,2521.8066666666664,-4.107058245966815,-4.1140104660778025
23,600011.SH,-0.004553189398304684,0.002832806224052383,-0.0034578225825825826,0.0021098657657657666,-0.04149387099099099,0.0253183891891892,-0.031120403243243243,0.0189887918918919,2.945945945945946,2.0,613.8643243243245,5926.287027027028,6540.151351351352,-0.36574766314053436,-0.3713952253956607
24,601866.SH,-0.01192857288701393,0.0010526274929986406,-0.008975234967320259,0.0007795744444444437,-0.10770281960784311,0.009354893333333324,-0.08077711470588234,0.0070161699999999935,1.7058823529411764,0.8235294117647058,414.84117647058827,3657.7311764705883,4072.572352941176,-1.1297977499643506,-1.1348025376450739
25,601899.SH,-0.012231839652977194,-0.0017751574868610847,-0.009233813271604939,-0.001343050370370366,-0.11080575925925926,-0.01611660444444439,-0.08310431944444445,-0.012087453333333295,1.3888888888888888,0.3888888888888889,290.8522222222222,4005.409444444445,4296.261666666666,-1.0759800038821006,-1.0848502427321636
26,600332.SH,0.02806888327185623,0.0065453917352619306,0.020618406904761907,0.004852495079365082,0.24742088285714287,0.05822994095238099,0.18556566214285716,0.04367245571428574,2.9285714285714284,2.107142857142857,658.025,6667.926785714286,7325.951785714286,1.1535252443481319,1.1351821326403988
27,601633.SH,0.013915003433457418,-0.004164734768503098,0.010418204444444445,-0.00312518,0.12501845333333333,-0.03750216,0.09376384,-0.02812662,1.0,0.0,70.65,3655.68,3726.33,,
28,600775.SH,-5.070487741947183e-05,0.008316195759334585,-0.0001001461481481481,0.006198934629629629,-0.0012017537777777771,0.07438721555555555,-0.0009013153333333329,0.055790411666666664,5.0,4.1,1010.7973333333333,7595.476,8606.273333333334,-0.0027004557326018603,-0.007117649637259719
