,2015-06-01,2015-07-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01
0,0.02941099452003959,0.07346478139234813,-0.0023793944359571384,0.03645562760809595,0.04121964846953041,0.004238676767999161,-0.003284805441281513,0.044941512053598975,0.0030243869905599574
1,-0.05140024877782645,0.02987605567292473,0.006956061892681387,0.012698391420687405,-0.003977879737681711,-0.03481444613506013,-0.010073775736436641,,0.005480517512456373
2,-0.06218247298410917,0.004872526481532802,-0.04578127836228285,0.018846082140157816,-0.013038596448394557,-0.03779300342838732,0.014014580454779768,,0.008364265909534208
3,-0.011304158955462551,0.08603049450542466,-0.04531228699571388,0.002364888350421368,-0.0006112102871660419,-0.03731085437828763,0.00783126301042536,,0.018691216045738646
4,0.0026844215832415586,0.1549240666650462,-0.036805151893189336,-0.009258149454105857,0.016164011985849935,-0.021497207261259588,0.027095229586455716,,0.03161166813976646
5,-0.023224841335776958,,-0.05698200247813778,0.022855240761512463,-0.019113779723862745,-0.02413537761169615,0.01794201234622772,,0.026568450711600633
6,-0.0012346032992938127,,,0.007892959500536478,0.0372736469952879,-0.01888979176216732,-0.0005735543634153295,,0.023637425213824503
7,-0.008253370307797159,,,0.0035517518571716034,0.03311595701233072,0.0016380033770053704,0.04146637416144827,,0.004618136385253102
8,-0.006980315914166368,,,0.005408148371626287,0.030196939350869645,-0.03805599545507765,,,0.042867001495955126
9,-2.8121516827184223e-05,,,0.03397583627026857,0.004058332251685393,,,,
10,0.008622426622547863,,,-0.015243689109858294,0.009360672231766287,,,,
11,0.020335572512372835,,,0.014288258038933077,0.01674082910621255,,,,
12,0.14208267702846955,,,0.018764142198701372,0.018598578790121056,,,,
13,,,,0.012118777147275606,0.0382922643062269,,,,
14,,,,0.009354150698456132,0.037212235534441085,,,,
15,,,,0.05548623426393651,0.01812103204618598,,,,
16,,,,,0.02460892259112324,,,,
17,,,,,0.0009694693305393187,,,,
18,,,,,0.025237353631411885,,,,
19,,,,,0.008950349001704438,,,,
20,,,,,0.0154379982298809,,,,
21,,,,,-0.02351786600446948,,,,
22,,,,,-0.026496423297796667,,,,
23,,,,,-0.02598906370456655,,,,
24,,,,,-0.010344773371209204,,,,
25,,,,,-0.0131106761297346,,,,
26,,,,,-0.00780605076743468,,,,
27,,,,,0.012632862172090586,,,,
28,,,,,-0.026980253279721644,,,,
29,,,,,-0.02054596007267495,,,,
30,,,,,-0.005076807136709327,,,,
31,,,,,0.015186026887596071,,,,
32,,,,,0.011727906730632842,,,,
33,,,,,-0.009819782665455357,,,,
34,,,,,0.008354910447835984,,,,
35,,,,,0.012168950864086092,,,,
36,,,,,0.031590001663061695,,,,
37,,,,,0.033110576655051904,,,,
38,,,,,0.026345825502248843,,,,
39,,,,,0.04230668681402827,,,,
40,,,,,0.024963261856282948,,,,
41,,,,,0.006967024764934493,,,,
