,tf,tt,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,1,1,0.9259684102141755,0.08356917162115023,0.0024670510422148753,0.0005439889158094187,0.0296046125065785,0.006527866989713027,0.0024670510422148753,0.0005439889158094187,2.0818433591920376,1.2127641567521317,520.5099294572675,4547.5213024743825,5068.03123193165,5.823948612343246,0.2532782784953207
1,1,2,0.044027158432679694,0.008320736688406896,0.0022714040690369626,0.0005369211162296342,0.027256848828443543,0.00644305339475561,0.004542808138073925,0.0010738422324592684,2.2361648357363464,1.3646758052665755,549.9294646431246,4830.325494456032,5380.2549590991575,1.275820479746531,0.4292467200200991
2,1,3,0.014019965674750612,0.0028421319153812317,0.0022162403358011004,0.0004760163790715484,0.026594884029613207,0.005712196548858582,0.006648721007403302,0.0014280491372146455,2.2866055685352027,1.4142553546970023,560.22497625364,4921.461689242502,5481.686665496143,0.9531937046470444,0.6210783909045335
3,1,4,0.006682682040907114,0.0015365602099423443,0.0017336650419140151,0.00041940608651463686,0.02080398050296818,0.0050328730381756425,0.0069346601676560605,0.0016776243460585474,2.320882134455933,1.442541801532648,565.0403157439209,4989.524185364483,5554.5645011084025,0.7993274494985958,0.632226209837995
4,1,5,0.003939914878359725,0.0009697606832601711,0.0014102044994615038,0.00036292779734885624,0.016922453993538047,0.004355133568186274,0.0070510224973075195,0.001814638986744281,2.3090048759120076,1.4342760302668764,563.0890696892349,4961.006017099414,5524.09508678865,0.766206279203995,0.664292761377763
5,1,6,0.003074262420552842,0.0005751762430452466,0.0014190072413624336,0.00026628064763491963,0.017028086896349208,0.003195367771619036,0.008514043448174602,0.001597683885809518,2.281846427577448,1.4157162096365217,556.4434899270556,4946.022438943885,5502.465928870942,0.7850355310208982,0.7286963600209624
6,1,7,0.002292989877746969,0.0003272970780643483,0.0012745162805282949,0.00017973843475548813,0.015294195366339542,0.002156861217065857,0.008921613963698064,0.0012581690432884166,2.282306557435276,1.4207389605902192,553.970257975676,4937.619762289339,5491.590020265016,0.7993044096754737,0.7642488170455904
7,1,8,0.0017714269091797102,0.00031043640117606327,0.0011337202541590304,0.00020069928865425982,0.013604643049908362,0.0024083914638511183,0.009069762033272243,0.0016055943092340786,2.2712878988754275,1.4141794159311323,551.3820536958063,4934.114395302006,5485.496448997815,0.7969228243184644,0.7666224580847034
8,1,9,0.0017245127839660157,0.0001369881195774221,0.0012701924351251048,9.96585268325e-05,0.015242309221501254,0.0011959023219900004,0.011431731916125941,0.0008969267414925007,2.1718422332180913,1.3333431103528024,538.9118926881482,4786.95797601275,5325.869868700897,0.8793559268579463,0.8642789863343024
9,1,10,0.0009472384829125512,1.9487735087666886e-05,0.0007771323310358764,1.4565687131726328e-05,0.009325587972430516,0.00017478824558071594,0.007771323310358764,0.00014565687131726316,2.2111058649588395,1.3803417401100468,544.1100887338984,4871.359445088182,5415.46953382208,0.66360946907929,0.653782133753394
10,1,11,0.0005596051661141248,0.0001098029316834329,0.0005085829954683355,9.989290133439709e-05,0.006102995945620027,0.001198714816012765,0.00559441295015169,0.0010988219146783678,2.3497139061478602,1.471811708921115,562.1818822700606,5170.152612315739,5732.3344945858,0.3320844281944651,0.3293250340661562
11,1,12,0.0007823941809536394,3.311300972679568e-05,0.0007823941809536367,3.311300972679659e-05,0.009388730171443642,0.00039735611672155936,0.009388730171443642,0.00039735611672155936,2.357148742919093,1.4647072806224848,565.6209746332429,5208.113922821756,5773.734897455,0.5049234875991062,0.5049234875991087
12,2,1,1.0992420405706411,0.084040054495558,0.0030294842096360184,-0.000629248718912094,0.03635381051563223,-0.0075509846269451305,0.0030294842096360184,-0.000629248718912094,2.1999656954439444,1.3482926589549435,553.4558248266228,4759.162024366486,5312.61784919311,6.851747451304557,0.28859063147321684
13,2,2,0.04549341030704372,0.0037433994392997213,0.0013779883183702832,-0.0003445890034868938,0.016535859820443397,-0.004135068041842725,0.0027559766367405663,-0.0006891780069737876,2.445738792568517,1.5963611741956003,595.9715487289344,5252.9392185852375,5848.910767314173,1.2907104332906112,0.2396651742166079
14,2,3,0.010537862365725932,0.000378737842100389,0.0010524374926123854,-0.00017520224487501123,0.012629249911348624,-0.002102426938500136,0.0031573124778371555,-0.000525606734625034,2.5652278292475374,1.7182940454651456,617.3754181712743,5448.502999314756,6065.878417486033,0.6576640735990804,0.26599080530791297
15,2,4,0.003238748151978394,-0.00035567409076273115,0.00048423970427480023,-0.0002234939470715414,0.0058108764512975995,-0.002681927364858496,0.001936958817099201,-0.0008939757882861656,2.659028201324307,1.809776417206089,631.8283478169908,5638.213817763577,6270.042165580569,0.3081425382735766,0.13884090225064816
16,2,5,0.0027756423074141194,-0.0002639098941721832,0.0008563675340372575,-0.0001593333991086353,0.01027641040844709,-0.001912000789303624,0.004281837670186287,-0.0007966669955431759,2.6482433271251566,1.8021732764582354,630.0900843997285,5641.492518552708,6271.582602952438,0.36077881538871315,0.2675413833869377
