证券代码,证券名称,同公司港股代码,同公司港股简称
688185.SH,康希诺,06185.HK,康希诺生物
301039.SZ,中集车辆,01839.HK,中集车辆
601995.SH,中金公司,03908.HK,中金公司
688981.SH,中芯国际,00981.HK,中芯国际
688385.SH,复旦微电,01385.HK,上海复旦
600188.SH,兖矿能源,01171.HK,兖矿能源
688235.SH,百济神州-U,06160.HK,百济神州
688236.SH,春立医疗,01858.HK,春立医疗
600941.SH,中国移动,00941.HK,中国移动
001289.SZ,龙源电力,00916.HK,龙源电力
688331.SH,荣昌生物,09995.HK,荣昌生物
600938.SH,中国海油,00883.HK,中国海洋石油
001236.SZ,弘业期货,03678.HK,弘业期货
605198.SH,安德利,02218.HK,安德利果汁
688428.SH,诺诚健华-U,09969.HK,诺诚健华
600876.SH,凯盛新能,01108.HK,凯盛新能
688347.SH,华虹公司,01347.HK,华虹半导体
