,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-07-01,2010-09-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-09-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2013-02-01,2013-03-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01
3,0.11501516707508563,-0.07615829008185449,,-0.019329749623032466,-0.008081139920530278,0.06286444244797318,0.03313930355033157,,-0.05572689820998722,0.031047346424408095,0.024572144414130026,-0.0403655570287762,,,0.04719674262782503,-0.015759467272522976,-0.005046560222900509,,-0.047709126587344386,,0.011165668285578523,-0.006968119144630691,0.00533377526655332,-0.028093048052820646,-0.02832570176258775,0.16162261691702695,0.06440256866482663,0.06269498215732416,-0.011368670469996456,0.05403124150458405,-0.08084509694108821,0.05343892276517592,0.051700723045703056,0.04584799841726084,,-0.024151354112175172,0.030784740261857402,,0.04963924597886882,0.008881815707317386,,0.00975116864262593,,-0.0009561662524687486,,0.0038334145547552906,,0.06032051637380165,0.007049770113582321,-0.014460255443513037,,0.027033791644055505,-0.08119157494815865,
4,0.1112702075669858,-0.1929694117201266,,-0.06179152875597027,-0.029028615504310018,0.0673055723323901,0.04620472630057382,,-0.04604326488338484,0.022775300729472425,-0.022810027696087642,-0.05204380899515426,,,0.033073647687616115,0.00466380748727202,0.009745471972255504,,-0.05589821170419107,,0.039484261491522954,-0.00973892891514161,0.010402632711168591,-0.10093150434901221,-0.022141984505989143,,0.09830682265135904,0.06290218185931162,0.006613595284276075,0.06350234176560643,,0.0637009625921745,0.0763619108893615,0.0515220383617746,,-0.006649193505059214,0.04401712011114689,,0.09579884905360836,-0.006882273529427163,,0.0204662444402276,,-0.011088129422861193,,-0.017839669180836334,,0.06348136423099726,-0.012743088292651139,-0.01994313964309824,,0.03548305493918358,,
5,0.08634286976760874,,,-0.04311415165083954,-0.01938277599370708,0.08671291019950333,0.03574380938260224,,-0.04824337024677927,0.07465794915955781,-0.027180969266370036,-0.00886415393705331,,,0.04077367763090134,-0.01574451802944621,-0.0069873255260684,,-0.02126223227090307,,0.05955075873364768,-0.020519768651959036,-0.004742291357208828,,-0.0018793523772568932,,0.11916242121787102,0.036773138290595364,-0.005568340997316623,0.060878887162790996,,0.059571813942240315,0.09315284993342299,0.0856471241884077,,-0.015128355353052347,0.04471288488810954,,,0.02774281231714526,,-0.004365801747337028,,-0.018450860105426403,,-0.008047880469539845,,0.1065706372368268,-0.029867936012318408,-0.020156162645488584,,0.03964963300603319,,
6,0.171595211898544,,,-0.022992086348531116,0.02625811185361937,0.15803681638205658,0.025759649716333044,,-0.05146478885415262,,0.004351289027543226,-0.0054318999191491635,,,0.008735727555223782,0.0007485359033765349,0.0062455716877865,,-0.0041251197916265525,,0.042300608299914,-0.01771270622879373,-0.025079598188247898,,-0.060296593749350924,,,0.05301972156113077,-0.005007301188849178,0.05396852231329263,,0.04416674424622147,,0.07374570578615491,,0.022273103017208307,0.08106911510768333,,,0.03174339622779376,,-0.013417419388717766,,-0.023357853950626173,,-0.022979785973444952,,,-0.02548466504905944,-0.0076382774330305825,,0.01891742105402905,,
7,0.13210601384291099,,,-0.004291022482023399,-3.2538075060761784e-05,,0.01827820005782199,,-0.03954983411507307,,-0.03005973819648533,-0.006690785842847324,,,-0.002171086454796134,-0.0042608440235767375,0.0392278356964918,,0.023388816588894024,,0.04643338121434715,-0.03361825850396527,-0.014547391434680201,,-0.08901475888304433,,,0.12080656463268791,-0.0008606743430266128,0.06907692464810977,,0.057378638218452016,,0.05781975465759259,,0.01876961737525007,0.09181963940135895,,,-0.011073012090577095,,-0.017579929633124602,,-0.020684394148684504,,-0.01844420352989183,,,0.09795169756691058,-0.012299947466455685,,0.01886877170180945,,
8,0.18495667331392696,,,-0.03874075570337654,0.1061972269985283,,0.053041513507273264,,-0.06655214998569448,,0.005811463748514711,0.005926985845681854,,,0.012077227744118346,-0.0052696617104537324,0.022888573845458393,,-0.07888586843526157,,0.031041441094232347,-0.007152422039551243,-0.03463725196046985,,,,,,0.04614427494840667,0.04183232001365922,,0.0368433727096279,,0.055060019162576634,,0.00016084705037333613,0.12006250589340972,,,-0.002786696197020544,,-0.00880092438167579,,-0.03386048583198076,,-0.04885451218833235,,,,0.014345273643779688,,0.030620226286639074,,
9,0.24278766500189275,,,-0.03298796710283636,,,0.03673324503999542,,,,0.013466644529497973,0.0032357537527705205,,,0.02413185345487645,-0.0074971654179514235,0.036337417399630034,,-0.12902949492699323,,0.058083821180034745,-0.0053945278457133705,-0.03622023630550053,,,,,,0.0003573900245428252,0.05202522006776622,,-0.03573934231355025,,0.07710209917963373,,0.01847473919794873,,,,0.03793145112905982,,-0.015775027410959153,,-0.04550923403033269,,,,,,0.039728709599692213,,0.0531869017619111,,
10,,,,0.004279816040371198,,,0.06512726149539316,,,,0.033238909853640974,0.017549933590505606,,,0.03885893945520258,-0.02251391574304873,0.030934142838713763,,,,0.06822491078720128,0.010712913178139494,-0.03823699180175166,,,,,,0.015589493035298885,0.04799931229479326,,-0.00294002266878568,,0.09159033320954568,,0.021018607238086684,,,,0.024171587021484697,,-0.048843958737647686,,,,,,,,0.0695766408192835,,0.050933620850663885,,
11,,,,-0.014661269360517037,,,0.04305665931533631,,,,0.0004727124498946633,0.02412259275994777,,,0.06334232180830246,-0.030703262341689852,0.04133137475704263,,,,0.0729871599176255,0.00038277943535047765,-0.03991552201127091,,,,,,0.0012805525075971769,0.008894681140910077,,-0.01807206612416945,,0.08402164694895642,,0.07258780510739449,,,,0.024852519881511492,,-0.03805841901717444,,,,,,,,0.05073557810327345,,0.027857758161058843,,
12,,,,-0.004531292785590724,,,0.06144333798056845,,,,0.02792661530525331,0.02524650814249485,,,,-0.0214654973555497,0.02554278268897492,,,,0.09292669825787514,0.008740841331252747,-0.04886595746939426,,,,,,-0.02619540332549608,0.00831530173270334,,-0.0024556587944503105,,0.07452408630424623,,0.09831476890847957,,,,0.049304644681243404,,-0.04904765930657817,,,,,,,,0.014882571050813365,,-0.03288245427691461,,
