,2023-02-01
0,-0.015953559815645946
1,-0.005450725530955047
2,-0.028070306342367957
3,-0.01430832055426734
4,-0.01602002477848652
5,-0.02040529720772799
6,-0.018798356175833142
7,-0.0009615943214855704
8,-0.009060052372181104
9,-0.0099258189306628
10,0.001421109412492072
11,-0.00902179136540493
12,-0.0037634284873746537
13,-0.08608529497671258
