,Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Ipodt,Crcd,Commnt
3976,601717,郑煤机,2010-08-03,10,郑州煤矿机械集团股份有限公司,"Zhengzhou Coal Mining Machinery Group Co., Ltd.",2010-07-20,,564.0
3978,601727,上海电气,2008-12-05,10,上海电气集团股份有限公司,"Shanghai Electric Group Co., Ltd.",2008-11-24,,2727.0
3979,601728,中国电信,2021-08-20,10,中国电信股份有限公司,China Telecom Corporation Limited,2021-08-09,,728.0
3980,601766,中国中车,2008-08-18,10,中国中车股份有限公司,CRRC Corporation Limited,2008-08-05,,1766.0
3983,601788,光大证券,2009-08-18,10,光大证券股份有限公司,"Everbright Securities Co., Ltd.",2009-08-04,,6178.0
3987,601800,中国交建,2012-03-09,10,中国交通建设股份有限公司,China Communications Construction Company Limited,2012-02-15,,1800.0
3989,601808,中海油服,2007-09-28,10,中海油田服务股份有限公司,China Oilfield Services Limited,2007-09-20,,2883.0
3990,601811,新华文轩,2016-08-08,10,新华文轩出版传媒股份有限公司,"Xinhua Winshare Publishing and Media Co., Ltd.",2016-07-27,,811.0
3992,601818,光大银行,2010-08-18,10,中国光大银行股份有限公司,"China Everbright Bank Co., Ltd.",2010-08-10,,6818.0
3995,601828,美凯龙,2018-01-17,10,红星美凯龙家居集团股份有限公司,Red Star Macalline Group Corporation Ltd.,2018-01-03,,1528.0
3997,601857,中国石油,2007-11-05,10,中国石油天然气股份有限公司,PetroChina Company Limited,2007-10-26,,857.0
4000,601865,福莱特,2019-02-15,10,福莱特玻璃集团股份有限公司,"Flat Glass Group Co., Ltd.",2019-01-29,,6865.0
4001,601866,中远海发,2007-12-12,10,中远海运发展股份有限公司,"COSCO Shipping Development Co., Ltd.",2007-12-05,,2866.0
4002,601868,中国能建,2021-09-28,10,中国能源建设股份有限公司,CHINA ENERGY ENGINEERING CORPORATION LIMITED,2021-09-10,,
4003,601869,长飞光纤,2018-07-20,10,长飞光纤光缆股份有限公司,"Yangtze Optical Fibre and Cable Co., Ltd.",2018-07-10,,6869.0
4007,601880,辽港股份,2010-12-06,10,辽宁港口股份有限公司,"Liaoning Port Co., Ltd.",2010-11-23,,2880.0
4008,601881,中国银河,2017-01-23,10,中国银河证券股份有限公司,"China Galaxy Securities Co., Ltd.",2017-01-11,,6881.0
4011,601888,中国中免,2009-10-15,10,中国旅游集团中免股份有限公司,China Tourism Group Duty Free Corporation Limited,2009-09-23,,1880.0
4013,601898,中煤能源,2008-02-01,10,中国中煤能源股份有限公司,China Coal Energy Company Limited,2008-01-25,,1898.0
4014,601899,紫金矿业,2008-04-25,10,紫金矿业集团股份有限公司,"Zijin Mining Group Co., Ltd.",2008-04-16,,2899.0
4018,601916,浙商银行,2019-11-26,10,浙商银行股份有限公司,"China Zheshang Bank Co., Ltd.",2019-11-14,,2016.0
4020,601919,中远海控,2007-06-26,10,中远海运控股股份有限公司,"COSCO SHIPPING Holdings Co., Ltd.",2007-06-18,,1919.0
4025,601939,建设银行,2007-09-25,10,中国建设银行股份有限公司,China Construction Bank Corporation,2007-09-17,,939.0
4030,601963,重庆银行,2021-02-05,10,重庆银行股份有限公司,"Bank of Chongqing Co., Ltd.",2021-01-21,,1963.0
4037,601988,中国银行,2006-07-05,10,中国银行股份有限公司,Bank of China Limited,2006-06-23,,3988.0
4040,601991,大唐发电,2006-12-20,10,大唐国际发电股份有限公司,"Datang International Power Generation Co., Ltd.",2006-12-07,,991.0
4041,601992,金隅集团,2011-03-01,10,北京金隅集团股份有限公司,BBMG Corporation,2011-02-10,,2009.0
4042,601995,中金公司,2020-11-02,10,中国国际金融股份有限公司,CHINA INTERNATIONAL CAPITAL CORPORATION LIMITED,2020-10-20,,
4045,601998,中信银行,2007-04-27,10,中信银行股份有限公司,China CITIC Bank Corporation Limited,2007-04-19,,998.0
4149,603127,昭衍新药,2017-08-25,10,北京昭衍新药研究中心股份有限公司,"Joinn Laboratories (China) Co., Ltd.",2017-08-15,,
4237,603259,药明康德,2018-05-08,10,无锡药明康德新药开发股份有限公司,"Wuxi AppTec Co., Ltd.",2018-04-24,,2359.0
4606,603993,洛阳钼业,2012-10-09,10,洛阳栾川钼业集团股份有限公司,"China Molybdenum Co., Ltd.",2012-09-24,,3993.0
4671,605198,安德利,2020-09-18,10,烟台北方安德利果汁股份有限公司,"Yantai North Andre Juice Co., Ltd.",2020-09-08,,2218.0
4733,688009,中国通号,2019-07-22,10,中国铁路通信信号股份有限公司,China Railway Signal and Communication Corporation Limited,2019-07-10,,3969.0
4882,688180,君实生物,2020-07-15,10,上海君实生物医药科技股份有限公司,"Shanghai Junshi Biosciences Co., Ltd.",2020-07-02,,1877.0
4887,688185,康希诺,2020-08-13,10,康希诺生物股份公司,CanSino Biologics Inc.,2020-07-31,,6185.0
4889,688187,时代电气,2021-09-07,10,株洲中车时代电气股份有限公司,"Zhuzhou CRRC Times Electric Co., Ltd.",2021-08-26,,3898.0
4933,688235,百济神州,2021-12-15,10,百济神州有限公司,"BeiGene, Ltd.",2021-12-02,,
4934,688236,春立医疗,2021-12-30,10,北京市春立正达医疗器械股份有限公司,"Beijing Chunlizhengda Medical Instruments Co., Ltd.",2021-12-21,,1858.0
5014,688331,荣昌生物,2022-03-31,10,荣昌生物制药(烟台)股份有限公司,"REMEGEN CO., LTD.",2022-03-22,,
5021,688339,亿华通,2020-08-10,10,北京亿华通科技股份有限公司,"Beijing SinoHytec Co., Ltd.",2020-07-29,,2402.0
5039,688366,昊海生科,2019-10-30,10,上海昊海生物科技股份有限公司,"Shanghai Haohai Biological Technology Co., Ltd.",2019-10-21,,6826.0
5056,688385,复旦微电,2021-08-04,10,上海复旦微电子集团股份有限公司,Shanghai Fudan Microelectronics Group Company Limited,2021-07-23,,1385.0
5106,688505,复旦张江,2020-06-19,10,上海复旦张江生物医药股份有限公司,"Shanghai Fudan-Zhangjiang Bio-Pharmaceutical Co., Ltd.",2020-06-08,,1349.0
5241,688981,中芯国际,2020-07-16,10,中芯国际集成电路制造有限公司,Semiconductor Manufacturing International Corporation,2020-07-07,,981.0
