date,601211.SH,02611.HK
2017-04-11,19.5196,14.057
2017-04-12,19.5619,14.0528
2017-04-13,19.5936,13.9929
2017-04-18,19.2556,14.0304
2017-04-19,19.0338,13.9732
2017-04-20,19.0338,13.9631
2017-04-21,19.1077,14.039
2017-04-24,19.2767,13.9893
2017-04-25,19.3823,13.9795
2017-04-26,19.2028,14.0325
2017-04-27,19.2028,14.0257
2017-04-28,19.2239,14.0317
2017-05-02,19.2239,14.0604
2017-05-04,18.8859,13.8958
2017-05-05,18.8331,13.8602
2017-05-08,18.6958,13.7302
2017-05-09,18.8225,13.4795
2017-05-10,18.8225,13.3621
2017-05-11,18.6429,13.5852
2017-05-12,18.8542,13.6478
2017-05-15,18.9387,13.6041
2017-05-16,19.0232,13.6027
2017-05-17,19.1499,13.5187
2017-05-18,19.0126,13.4839
2017-05-19,18.9387,13.5573
2017-05-22,19.0021,13.5336
2017-05-23,19.0654,13.546
2017-05-24,19.3401,13.5968
2017-05-25,19.4351,13.5833
2017-05-26,19.9421,13.596
2017-05-31,20.1956,13.7925
2017-06-01,20.2801,13.7728
2017-06-02,20.4597,13.6814
2017-06-05,20.2273,13.7091
2017-06-06,20.2168,13.7567
2017-06-07,20.2696,13.7727
2017-06-08,20.4491,13.8033
2017-06-09,20.4069,13.8429
2017-06-12,20.1745,13.6826
2017-06-13,20.3118,13.6618
2017-06-14,20.333,13.608
2017-06-15,20.333,13.6258
2017-06-16,20.4597,13.7524
2017-06-19,20.2062,13.7171
2017-06-20,21.0829,13.7958
2017-06-21,21.2836,13.97
2017-06-22,20.8611,14.0063
2017-06-23,20.9139,14.1044
2017-06-26,21.0407,14.083
2017-06-27,21.6322,14.2556
2017-06-28,21.5477,14.3429
2017-06-29,21.5688,14.2961
2017-06-30,21.3998,14.3207
2017-07-03,21.5899,14.1852
2017-07-04,21.3364,14.0768
2017-07-05,21.3364,14.1278
2017-07-06,21.2308,14.1011
2017-07-07,21.1357,14.0336
2017-07-10,21.3892,14.1299
2017-07-11,21.442,14.3573
2017-07-12,21.8857,14.4558
2017-07-13,21.8434,14.551
2017-07-14,22.0863,14.5281
2017-07-17,22.3927,14.3858
2017-07-18,21.7272,14.3827
2017-07-19,21.3892,14.3464
2017-07-20,22.6462,14.6026
2017-07-21,22.4455,14.8983
2017-07-24,22.2342,14.8653
2017-07-25,22.0441,14.8334
2017-07-26,21.9702,14.9955
2017-07-27,22.1075,14.8245
2017-07-28,22.118,14.7537
2017-07-31,21.8962,14.6813
2017-08-01,22.0441,14.7531
2017-08-02,22.3082,14.7077
2017-08-03,22.4138,14.6862
2017-08-04,22.0124,14.5977
2017-08-07,21.9702,14.7889
2017-08-08,21.2308,14.5343
2017-08-09,21.3047,14.5724
2017-08-10,20.8611,14.559
2017-08-11,20.9139,14.4731
2017-08-14,20.9984,14.1741
2017-08-15,21.2308,14.3078
2017-08-16,21.0829,14.3401
2017-08-17,20.9561,14.2608
2017-08-18,21.1568,14.2135
2017-08-21,20.8611,14.1898
2017-08-22,20.9984,14.1294
