date,601211.SH,02611.HK
2017-08-24,21.178,14.0953
2017-08-25,20.9245,14.1423
2017-08-28,21.9702,14.2333
2017-08-29,22.8257,14.4897
2017-08-30,22.7201,14.5295
2017-08-31,22.6145,14.3577
2017-09-01,22.8152,14.3353
2017-09-04,22.9525,14.3
2017-09-05,22.7095,14.4023
2017-09-06,22.6567,14.2384
2017-09-07,22.7307,14.2636
2017-09-08,22.3082,14.2506
2017-09-11,22.1497,14.1908
2017-09-12,22.2448,14.353
2017-09-13,22.3715,14.3607
2017-09-14,22.3082,14.4121
2017-09-15,22.3398,14.3532
2017-09-18,22.4877,14.4599
2017-09-19,22.7307,14.8393
2017-09-20,22.2976,14.6074
2017-09-21,22.5617,14.8426
2017-09-22,22.7307,15.0012
2017-09-25,22.8891,14.8968
2017-09-26,22.8891,14.3757
2017-09-27,22.8363,14.4544
2017-09-28,22.6145,14.3464
2017-09-29,22.6039,14.2233
2017-10-09,23.3433,14.7368
2017-10-10,22.7835,14.7915
2017-10-11,22.5722,14.8161
2017-10-12,22.5722,14.7374
2017-10-13,22.4349,14.9157
2017-10-16,22.4032,15.0299
2017-10-17,22.361,15.2044
2017-10-18,22.1814,15.2305
2017-10-19,22.3821,15.3537
2017-10-20,22.1814,15.081
2017-10-23,22.023,15.6133
2017-10-24,21.8012,15.4119
2017-10-25,22.0969,15.7097
2017-10-26,22.0863,15.4611
2017-10-27,21.9913,15.7772
2017-10-30,21.611,15.7618
2017-10-31,21.1463,15.4082
2017-11-01,21.1252,15.4843
2017-11-02,20.9245,15.5108
2017-11-03,20.9984,15.3283
2017-11-06,21.0407,15.2316
2017-11-07,21.1146,15.0904
2017-11-08,21.3153,15.2706
2017-11-09,21.4948,15.6381
2017-11-10,21.5265,15.3995
2017-11-13,21.442,15.3906
2017-11-14,21.4209,15.1678
2017-11-15,21.1357,14.7241
2017-11-16,21.0301,14.6711
2017-11-17,20.7977,14.8519
2017-11-20,21.2836,14.625
2017-11-21,21.3364,14.6114
2017-11-22,21.8645,14.9368
2017-11-23,22.0018,15.1289
2017-11-24,21.4632,14.9149
2017-11-27,21.4526,14.8504
2017-11-28,21.5477,14.6904
2017-11-29,21.4737,15.0079
2017-11-30,21.3258,14.7333
2017-12-01,21.4315,14.5999
2017-12-04,21.1357,14.3849
2017-12-05,21.0935,14.2248
2017-12-06,21.4526,14.444
2017-12-07,21.4526,14.4375
2017-12-08,21.2413,14.4838
2017-12-11,21.0723,14.5042
2017-12-12,21.0512,14.8791
2017-12-13,20.7026,14.8346
2017-12-14,20.4914,14.5695
2017-12-15,20.164,14.6441
2017-12-18,20.2485,14.8209
2017-12-19,20.1745,14.6118
2017-12-20,20.259,14.5342
2017-12-21,20.0372,14.6194
2017-12-22,20.0795,14.5916
2017-12-27,19.7943,14.7204
2017-12-28,19.6464,14.5695
2017-12-29,19.7098,14.5114
2018-01-02,19.5725,14.4156
2018-01-03,19.7837,14.6847
2018-01-04,20.2168,14.8096
2018-01-05,20.1745,14.9456
2018-01-08,20.259,15.0736
2018-01-09,20.502,15.2819
2018-01-10,20.428,15.2582
2018-01-11,20.1956,15.489
2018-01-12,20.2379,15.5038
2018-01-15,20.1851,15.5181
2018-01-16,19.8682,14.9077
2018-01-17,20.4808,14.8171
2018-01-18,20.9139,15.3757
2018-01-19,21.178,15.5435
2018-01-22,21.516,16.7717
2018-01-23,21.611,17.1499
2018-01-24,21.9279,17.0855
2018-01-25,22.3504,16.9142
2018-01-26,22.0335,16.5536
2018-01-29,21.9702,16.7915
2018-01-30,21.5265,16.2377
2018-01-31,21.178,15.8746
2018-02-01,21.2836,15.991
2018-02-02,21.2625,15.8735
2018-02-05,20.9667,15.1475
2018-02-06,20.9667,15.888
2018-02-07,20.9033,15.4565
2018-02-08,20.2485,14.6575
2018-02-09,19.6992,15.274
2018-02-12,18.4951,13.9547
2018-02-13,18.2944,14.1533
2018-02-14,18.5056,14.2401
2018-02-22,18.7697,14.3544
2018-02-23,18.6641,14.7673
2018-02-26,18.9598,15.0029
2018-02-27,19.3823,14.8837
2018-02-28,18.907,14.6515
2018-03-01,18.7591,14.7309
2018-03-02,18.7063,14.6453
2018-03-05,18.7169,14.0602
2018-03-06,18.8119,14.2444
2018-03-07,18.9915,14.302
2018-03-08,18.907,14.4485
2018-03-09,18.9387,14.2101
2018-03-12,19.3295,14.6562
2018-03-13,19.5091,14.5304
2018-03-14,19.0232,14.4616
2018-03-15,18.9704,14.2864
2018-03-16,19.0232,14.232
2018-03-19,18.6641,14.0149
2018-03-20,18.6007,13.8855
2018-03-21,18.7803,13.7699
2018-03-22,18.7697,13.7992
2018-03-23,18.2204,13.5282
2018-03-26,17.5233,13.6079
2018-03-27,18.0092,13.64
2018-03-28,17.7979,13.6032
2018-03-29,17.8191,13.7397
2018-04-03,18.0092,13.6739
2018-04-04,18.1676,14.271
2018-04-09,18.0514,14.6353
2018-04-10,18.2521,14.383
2018-04-11,18.5162,14.4261
2018-04-12,18.5479,14.4086
2018-04-13,18.4739,14.647
2018-04-16,18.2944,14.6275
2018-04-17,18.062,14.3937
2018-04-18,18.5901,14.4041
2018-04-19,18.6429,14.5686
2018-04-20,18.5373,14.4256
2018-04-23,17.9669,14.4628
2018-04-24,18.3366,14.0431
2018-04-25,18.6535,14.0651
2018-04-26,18.8014,14.2747
2018-04-27,18.5796,14.2989
2018-05-02,18.8014,15.4441
2018-05-03,18.5901,15.3302
2018-05-04,18.8225,15.2137
2018-05-07,18.8859,15.3585
2018-05-08,18.8859,15.3796
2018-05-09,19.0126,15.8
2018-05-10,18.9598,15.8252
2018-05-11,18.9915,15.7966
2018-05-14,18.8014,15.6548
2018-05-15,18.7803,16.418
2018-05-16,18.6218,15.5753
2018-05-17,18.5162,15.5434
2018-05-18,18.3261,15.7582
2018-05-21,18.6958,15.8454
2018-05-23,18.4528,15.6472
2018-05-24,18.3049,15.4013
2018-05-25,18.1676,15.4959
2018-05-28,17.9881,16.306
2018-05-29,18.0409,15.6029
2018-05-30,17.6395,14.9929
2018-05-31,17.5233,15.1081
2018-06-01,17.6923,14.724
2018-06-04,17.6078,14.8549
2018-06-05,17.6818,15.6145
2018-06-06,17.6818,14.8631
2018-06-07,17.7029,15.3722
2018-06-08,17.6606,15.227
2018-06-11,17.3226,15.5254
2018-06-12,17.4282,14.9843
2018-06-13,17.4494,15.4116
2018-06-14,17.3226,16.5711
2018-06-15,17.4494,15.1744
2018-06-19,17.217,15.0226
2018-06-20,16.1502,14.2758
2018-06-21,16.0551,14.4133
2018-06-22,15.6115,15.2335
2018-06-25,15.8967,14.5024
2018-06-26,15.4002,14.0176
2018-06-27,15.527,13.6353
2018-06-28,15.4319,13.4413
2018-06-29,15.8045,13.6398
2018-07-03,15.6634,14.1645
2018-07-04,15.7611,14.4159
2018-07-05,15.5006,13.615
2018-07-06,15.4246,13.7267
2018-07-09,15.3595,13.6225
2018-07-10,15.6417,13.7617
2018-07-11,15.5006,13.8783
2018-07-12,15.4029,13.4398
2018-07-13,15.8697,13.9646
2018-07-16,15.7937,13.8482
2018-07-17,15.5983,13.6691
2018-07-18,15.5983,14.1255
2018-07-19,15.4029,14.0519
2018-07-20,15.4029,14.0717
2018-07-23,15.772,14.0202
2018-07-24,16.1193,14.1918
2018-07-25,16.445,14.4939
2018-07-26,16.445,14.3613
2018-07-27,16.2604,14.0067
2018-07-30,16.1736,14.1517
2018-07-31,16.1193,14.4617
2018-08-01,16.3364,14.5594
2018-08-02,15.9348,14.3607
2018-08-03,15.6417,14.0281
2018-08-06,15.468,14.0102
2018-08-07,15.3703,14.2478
2018-08-08,15.6851,14.7239
2018-08-09,15.4029,14.7609
2018-08-10,15.9348,14.9559
2018-08-13,15.7394,14.6295
2018-08-14,15.7828,14.4277
2018-08-15,15.8045,14.8941
2018-08-16,15.3921,14.9146
2018-08-17,15.7286,14.3434
2018-08-20,15.5874,14.6487
2018-08-21,15.9456,15.235
2018-08-22,16.0868,15.5369
2018-08-23,16.0325,15.3796
2018-08-24,16.065,14.6646
2018-08-27,16.1302,14.8188
2018-08-28,16.2604,15.1479
2018-08-29,16.0759,14.5119
2018-08-30,16.0108,15.4137
2018-08-31,15.7068,14.2097
2018-09-03,15.7828,14.8575
2018-09-04,15.8805,14.3389
2018-09-05,15.9782,15.1078
2018-09-06,15.6851,13.4354
2018-09-07,15.6851,13.9513
2018-09-10,15.6634,14.0055
2018-09-11,15.4029,13.3439
2018-09-12,15.4355,13.0327
2018-09-13,15.7503,13.8131
2018-09-14,16.0108,14.665
2018-09-17,15.7394,14.787
2018-09-18,15.6417,13.8324
2018-09-19,15.9999,14.6065
2018-09-20,16.0868,14.8174
2018-09-21,16.1193,14.7822
2018-09-26,16.2604,14.504
2018-09-27,16.3039,14.8556
2018-09-28,16.2387,14.7786
2018-10-08,15.9456,14.4175
2018-10-09,15.6526,14.4813
2018-10-10,15.6091,14.4821
2018-10-11,15.2401,14.228
2018-10-12,14.9579,13.9097
2018-10-15,14.7625,14.2596
2018-10-16,14.6539,14.5047
2018-10-18,14.8168,14.3159
2018-10-19,14.5454,14.5381
2018-10-22,15.4246,14.8478
2018-10-23,16.8249,15.4726
2018-10-24,15.8154,15.4416
2018-10-25,15.8697,14.8865
2018-10-26,16.5861,15.054
2018-10-29,16.2821,15.1523
2018-10-30,16.1627,14.8796
2018-10-31,16.5318,15.0915
2018-11-01,16.738,15.2834
2018-11-02,17.1505,15.3238
2018-11-05,17.042,15.3293
2018-11-06,16.9226,15.3901
2018-11-07,16.7706,15.2268
2018-11-08,16.7163,15.4348
2018-11-09,16.2279,15.2354
2018-11-12,16.2604,14.5337
2018-11-13,16.4015,14.6338
2018-11-14,16.8683,15.3743
2018-11-15,16.6186,14.6305
2018-11-16,17.0963,14.9133
2018-11-19,17.5087,15.1777
2018-11-20,17.791,15.3822
2018-11-21,17.2374,14.8555
2018-11-22,17.5739,14.7544
2018-11-23,17.2699,14.887
2018-11-26,17.1505,14.4656
2018-11-27,17.0203,14.7691
2018-11-28,16.8357,14.8961
2018-11-29,17.3676,14.8829
2018-11-30,17.0637,14.7846
2018-12-03,18.236,15.1268
2018-12-04,18.0081,15.3567
2018-12-05,17.9646,14.9832
2018-12-06,17.8018,15.4664
2018-12-07,17.7475,15.22
2018-12-10,17.5847,14.274
2018-12-11,17.6498,14.2121
2018-12-12,18.0081,14.2028
2018-12-13,17.8018,14.7247
2018-12-14,17.8886,14.4942
2018-12-17,17.563,15.1021
2018-12-18,17.639,14.2547
2018-12-19,17.3351,14.3903
2018-12-20,17.0528,14.3745
2018-12-21,16.9768,14.2077
2018-12-24,16.8032,13.9087
2018-12-27,16.5318,14.1647
2018-12-28,16.3473,14.3014
2019-01-02,16.6078,14.5554
2019-01-03,16.6946,14.3163
2019-01-04,16.9877,14.2628
2019-01-07,18.0949,14.2218
2019-01-08,18.1492,14.2823
2019-01-09,18.388,14.0529
2019-01-10,18.236,14.6583
2019-01-11,18.2034,14.5501
2019-01-14,18.236,14.2592
2019-01-15,18.0732,14.0913
2019-01-16,18.236,14.3541
2019-01-17,18.312,15.0591
2019-01-18,18.0732,14.4531
2019-01-21,18.0081,14.7601
2019-01-22,17.8344,14.5963
2019-01-23,17.5413,14.3164
2019-01-24,17.5847,14.9774
2019-01-25,17.6933,15.1475
2019-01-28,17.8995,15.2736
2019-01-29,17.9646,15.2297
2019-01-30,17.8018,14.2784
2019-01-31,17.8018,14.4754
2019-02-01,18.4748,15.8206
2019-02-11,18.4531,15.1189
2019-02-12,18.7245,15.3729
2019-02-13,18.9416,15.2448
2019-02-14,19.2455,15.5265
2019-02-15,19.2021,15.1458
2019-02-18,19.0284,15.3297
2019-02-19,19.6037,15.9287
2019-02-20,19.5169,15.7477
2019-02-21,19.3323,16.1979
2019-02-22,19.5386,15.7438
2019-02-25,21.7638,16.5286
2019-02-26,23.3377,16.7287
2019-02-27,22.0352,16.459
2019-02-28,21.7855,15.4708
2019-03-01,21.4056,15.325
2019-03-04,21.8289,15.4359
2019-03-05,21.5793,15.3528
2019-03-06,21.8723,15.3824
2019-03-07,23.0772,15.624
2019-03-08,22.643,15.2303
2019-03-11,21.6878,14.9939
2019-03-12,22.122,15.3292
2019-03-13,22.2523,15.3787
2019-03-14,21.5684,15.2321
2019-03-15,21.004,15.215
2019-03-18,20.9931,15.2677
2019-03-19,21.4382,15.244
2019-03-20,21.2645,15.2174
2019-03-21,21.4707,14.8818
2019-03-22,21.6878,15.3463
2019-03-25,21.2536,15.0126
2019-03-26,21.0257,15.3293
2019-03-27,20.5698,15.1404
2019-03-28,20.3201,15.0607
2019-03-29,20.4612,15.2
2019-04-01,21.8832,15.5378
2019-04-02,22.2957,15.8299
2019-04-03,21.8941,15.7147
2019-04-04,23.0121,15.928
2019-04-08,23.0989,16.1033
2019-04-09,22.4259,16.028
2019-04-10,22.4151,14.9951
2019-04-11,22.0569,14.5686
2019-04-12,21.8832,14.4262
2019-04-15,22.4694,14.406
2019-04-16,21.601,14.3598
2019-04-17,22.0243,14.4566
2019-04-18,21.8723,14.3576
2019-04-23,21.3839,14.4311
2019-04-24,21.5358,14.8701
2019-04-25,21.5033,14.876
2019-04-26,20.8846,14.5692
2019-04-29,20.6892,14.6415
2019-04-30,20.5481,14.6189
2019-05-06,19.5603,14.5592
2019-05-07,18.7245,13.9771
2019-05-08,18.3011,13.6325
2019-05-09,18.1275,13.6836
2019-05-10,18.4097,13.5195
2019-05-14,18.1817,13.4109
2019-05-15,18.3228,12.9269
2019-05-16,18.3445,13.2038
2019-05-17,18.4314,14.0839
2019-05-20,17.6824,13.0448
2019-05-21,17.8235,12.9368
2019-05-22,17.9972,13.172
2019-05-23,17.6173,12.8291
2019-05-24,17.6933,12.433
2019-05-27,17.6824,12.7272
2019-05-28,18.0081,12.5552
2019-05-29,17.8344,12.7737
2019-05-30,17.8235,12.1781
2019-05-31,17.6281,12.0179
2019-06-03,17.5087,12.0491
2019-06-04,17.3893,11.9647
2019-06-05,17.4327,11.9042
2019-06-06,17.2482,11.9297
2019-06-10,17.3676,11.7973
2019-06-11,17.4327,12.0698
2019-06-12,18.0189,12.4859
2019-06-13,17.8886,12.0701
2019-06-14,17.9863,11.9957
2019-06-17,17.5304,11.8551
2019-06-18,17.8235,12.0114
2019-06-19,18.7245,12.0976
2019-06-20,18.1057,12.2831
2019-06-21,19.1804,12.4554
2019-06-24,19.7122,12.6714
2019-06-25,19.7231,12.7825
2019-06-26,19.43,12.3892
2019-06-27,19.6146,12.6548
2019-06-28,19.7665,12.6581
2019-07-02,20.2441,12.9611
2019-07-03,19.9945,12.9574
2019-07-04,19.8425,12.6305
2019-07-05,19.7882,12.7663
2019-07-08,19.5386,12.689
2019-07-09,19.2563,12.416
2019-07-10,19.3975,12.2371
2019-07-11,19.7014,12.1552
2019-07-12,19.582,12.3507
2019-07-15,19.4083,12.2325
2019-07-16,19.7231,12.2775
2019-07-17,19.6037,12.299
2019-07-18,19.4517,12.1445
2019-07-19,19.4626,12.0273
2019-07-22,19.7014,12.2705
2019-07-23,19.3975,11.9527
2019-07-24,19.3866,12.0147
2019-07-25,19.4843,11.9693
2019-07-26,19.5494,11.8484
2019-07-29,19.6037,11.7936
2019-07-30,19.3758,11.7408
2019-07-31,19.6254,11.7504
2019-08-01,19.5603,11.9095
2019-08-02,18.9741,11.7632
2019-08-05,18.681,11.142
2019-08-06,17.9646,10.2762
2019-08-07,18.2794,10.3119
2019-08-08,18.4857,10.4451
2019-08-09,18.3337,10.458
2019-08-12,18.2065,10.5269
2019-08-13,18.2175,10.4441
2019-08-14,18.5375,10.2532
2019-08-15,17.9417,9.975
2019-08-16,18.1292,10.0343
2019-08-19,18.4823,10.3585
2019-08-20,19.2216,10.6722
2019-08-21,19.3761,10.4453
2019-08-22,19.332,10.549
2019-08-23,19.3209,10.4347
2019-08-26,18.7692,10.2195
2019-08-27,18.9458,10.3457
2019-08-28,19.1334,10.69
2019-08-29,19.001,10.7347
2019-08-30,19.1444,10.4871
2019-09-02,18.8906,10.6856
2019-09-03,19.2216,10.8532
2019-09-04,19.2989,10.7361
2019-09-05,20.0271,11.2911
2019-09-06,20.8547,11.9784
2019-09-09,21.1857,12.2382
2019-09-10,21.0092,11.766
2019-09-11,21.3292,12.0087
2019-09-12,21.274,12.4173
2019-09-16,21.2961,12.5323
2019-09-17,20.9981,12.3879
2019-09-18,20.5788,12.2215
2019-09-19,20.5788,11.9877
2019-09-20,20.5016,12.0244
2019-09-23,20.2368,12.168
2019-09-24,20.0823,11.8449
2019-09-25,19.9058,11.5927
2019-09-26,20.0271,11.5591
2019-09-27,19.8506,11.4977
2019-09-30,19.9168,11.5343
2019-10-08,19.3982,11.3989
2019-10-09,19.0782,11.2267
2019-10-10,19.2216,11.2446
2019-10-11,19.3761,11.7221
2019-10-14,19.972,11.9852
2019-10-15,19.9499,12.1322
2019-10-16,19.9058,11.9669
2019-10-17,19.7733,11.9578
2019-10-18,19.7071,11.9999
2019-10-21,19.2106,11.6207
2019-10-22,19.1775,11.826
2019-10-23,19.1885,11.9919
2019-10-24,19.1554,11.7463
2019-10-25,19.1334,11.5246
2019-10-28,19.3099,11.6199
2019-10-29,19.5527,11.7071
2019-10-30,19.0341,11.6834
2019-10-31,18.7251,11.7169
2019-11-01,18.7361,11.1529
2019-11-04,19.0672,11.5369
2019-11-05,19.0782,11.8219
2019-11-06,19.2878,12.0245
2019-11-07,19.012,11.8172
2019-11-08,19.4092,11.9398
2019-11-11,18.8906,11.6291
2019-11-12,18.7472,11.5634
2019-11-13,18.7803,11.7582
2019-11-14,18.6037,11.2384
2019-11-15,18.5706,11.4268
2019-11-18,18.4603,11.2323
2019-11-19,18.5485,11.2138
2019-11-20,18.6368,11.473
2019-11-21,18.2837,11.3781
2019-11-22,18.3168,11.4534
2019-11-25,18.2506,11.3111
2019-11-26,18.4492,11.3988
2019-11-27,18.4161,11.3195
2019-11-28,18.2837,11.3461
2019-11-29,18.3499,11.2755
2019-12-02,18.7913,11.5157
2019-12-03,18.5154,11.2988
2019-12-04,18.5927,11.571
2019-12-05,18.7141,11.4043
2019-12-06,19.0782,11.4197
2019-12-09,19.4534,11.8944
2019-12-10,19.3982,11.8016
2019-12-11,19.5085,11.6139
2019-12-12,19.3209,11.8821
2019-12-13,19.5306,12.002
2019-12-16,19.8396,12.2582
2019-12-17,19.9609,12.4097
2019-12-18,20.2589,12.7944
2019-12-19,20.1485,12.7442
2019-12-20,20.1154,12.7846
2019-12-23,20.0713,12.7835
2019-12-24,19.5527,12.5021
2019-12-27,19.7844,12.5475
2019-12-30,19.6078,12.5881
2019-12-31,20.4685,12.9994
2020-01-02,20.7444,12.963
2020-01-03,20.5899,13.264
2020-01-06,20.5899,13.1528
2020-01-07,21.0644,13.1968
2020-01-08,20.7444,13.2274
2020-01-09,20.8437,13.1556
2020-01-10,21.0533,13.674
2020-01-13,20.7995,13.6741
2020-01-14,21.0754,13.5794
2020-01-15,20.8106,13.3834
2020-01-16,20.7444,13.5407
2020-01-17,20.6671,13.6056
2020-01-20,20.5568,13.2732
2020-01-21,20.8326,13.4425
2020-01-22,20.3582,12.8984
2020-01-23,20.0382,12.8751
2020-02-03,17.4451,11.7391
2020-02-04,17.412,11.6376
2020-02-05,17.8203,12.3452
2020-02-06,18.1182,12.5308
2020-02-07,18.3941,13.0213
2020-02-10,18.3168,12.5823
2020-02-11,18.6148,13.0817
2020-02-12,18.4823,12.972
2020-02-13,18.6589,13.1851
2020-02-14,18.383,13.0692
2020-02-17,19.5196,13.2274
2020-02-18,19.4644,13.5364
2020-02-19,19.4203,13.4754
2020-02-20,19.4754,13.1876
2020-02-21,20.303,13.6795
2020-02-24,20.3802,13.952
2020-02-25,19.8837,13.2693
2020-02-26,19.9389,12.8895
2020-02-27,20.2037,12.999
2020-02-28,19.652,12.6254
2020-03-02,19.001,12.6191
2020-03-03,20.3913,12.6821
2020-03-04,19.972,12.4761
2020-03-05,20.7554,13.1273
2020-03-06,20.6451,13.4534
2020-03-09,20.0271,12.4337
2020-03-10,19.6409,12.0915
2020-03-11,20.2368,12.0973
2020-03-12,19.4313,11.5533
2020-03-13,18.5154,11.4358
2020-03-16,19.2106,10.8911
2020-03-17,18.5375,11.0989
2020-03-18,18.2396,11.2409
2020-03-19,17.7762,10.753
2020-03-20,17.9306,10.3785
2020-03-23,17.4672,9.7687
2020-03-24,17.8203,9.9167
2020-03-25,18.361,10.6312
2020-03-26,18.2617,10.6991
2020-03-27,18.2175,11.3866
2020-03-30,17.8755,10.8157
2020-03-31,18.1513,11.7798
2020-04-01,17.9527,10.7888
2020-04-02,17.9196,11.3255
2020-04-03,18.1513,11.189
2020-04-07,18.372,11.3541
2020-04-08,18.3389,11.2619
2020-04-09,18.4823,11.5204
2020-04-14,18.0299,11.2499
2020-04-15,18.2837,11.3459
2020-04-16,18.1624,11.0131
2020-04-17,18.7361,10.8989
2020-04-20,18.5265,11.0816
2020-04-21,18.5044,10.6174
2020-04-22,18.3499,10.294
2020-04-23,18.5596,10.5408
2020-04-24,18.4492,10.4702
2020-04-27,18.2506,10.3797
2020-04-28,18.3499,10.4951
2020-04-29,18.2727,10.6863
2020-05-06,18.2065,9.6457
2020-05-07,18.3168,10.0265
2020-05-08,18.2396,10.0073
2020-05-11,18.4161,10.2349
2020-05-12,18.2506,10.3917
2020-05-13,17.8865,10.0969
2020-05-14,17.9196,9.9527
2020-05-15,17.8755,9.8152
2020-05-18,17.7651,9.6359
2020-05-19,17.8755,9.7936
2020-05-20,17.7872,9.8004
2020-05-21,17.8203,9.9425
2020-05-22,17.5665,9.6584
2020-05-25,17.3679,9.3938
2020-05-26,17.412,9.3124
2020-05-27,17.4451,9.6431
2020-05-28,17.401,9.6394
2020-05-29,17.3348,9.5767
2020-06-01,17.5996,9.8679
2020-06-02,17.721,10.3317
2020-06-03,17.7872,10.2797
2020-06-04,17.6658,10.329
2020-06-05,17.5665,10.303
2020-06-08,17.9527,11.1758
2020-06-09,17.8644,10.5539
2020-06-10,17.9968,10.7639
2020-06-11,17.9527,10.7679
2020-06-12,17.7099,10.4992
2020-06-15,17.9417,10.4284
2020-06-16,17.9637,10.5795
2020-06-17,17.9858,10.8666
2020-06-18,17.9968,10.6402
2020-06-19,18.1182,10.8339
2020-06-22,18.4823,10.9805
2020-06-23,18.692,11.0847
2020-06-24,18.9347,10.9902
2020-06-29,18.8685,10.7558
2020-06-30,18.8023,10.414
2020-07-02,19.3099,10.4398
2020-07-03,20.623,11.8669
2020-07-06,22.1788,12.6494
2020-07-07,23.8119,14.5915
2020-07-08,22.9512,13.559
2020-07-09,23.7677,14.8813
2020-07-10,23.0947,14.4363
2020-07-13,22.6754,13.8847
2020-07-14,22.9402,14.3265
2020-07-15,23.2381,14.4421
2020-07-16,22.3885,14.1094
2020-07-17,21.5499,13.4028
2020-07-20,21.274,13.8144
2020-07-21,21.5719,14.0022
2020-07-22,21.4726,14.1327
2020-07-23,21.1857,13.8561
2020-07-24,20.965,13.8403
2020-07-27,20.4133,12.9689
2020-07-28,20.5237,12.7279
2020-07-29,20.1595,12.7619
2020-07-30,20.7554,12.8687
2020-07-31,20.2699,12.7994
2020-08-03,20.7333,12.9222
2020-08-04,20.954,12.7515
2020-08-05,20.943,12.8015
2020-08-06,20.7775,12.881
2020-08-07,20.8878,13.0519
2020-08-10,20.3582,12.5462
2020-08-11,20.965,12.5184
2020-08-12,20.5007,12.3603
2020-08-13,20.5683,12.4858
2020-08-14,20.8162,12.6591
2020-08-17,21.8531,12.7288
2020-08-18,22.4617,13.2905
2020-08-19,22.1461,12.7333
2020-08-20,21.7967,12.8117
2020-08-21,21.9095,12.8
2020-08-24,22.1461,12.9528
2020-08-25,21.932,12.8142
2020-08-26,21.9207,12.7556
2020-08-27,21.8756,12.5484
2020-08-28,21.7291,12.1962
2020-08-31,22.3152,12.2422
2020-09-01,21.7967,11.7011
2020-09-02,21.932,11.7769
2020-09-03,21.7517,11.5353
2020-09-04,21.2445,11.407
2020-09-07,21.1318,11.2375
2020-09-08,20.9515,11.0408
2020-09-09,21.1543,10.9345
2020-09-10,21.1882,11.016
2020-09-11,20.7261,10.8325
2020-09-14,20.7712,10.8666
2020-09-15,20.681,10.8643
2020-09-16,20.7373,10.8202
2020-09-17,20.6697,10.7389
2020-09-18,20.5457,10.5919
2020-09-21,21.5375,10.9553
2020-09-22,20.85,10.8085
2020-09-23,20.9177,10.6537
2020-09-24,20.557,10.5451
2020-09-25,20.557,10.3864
2020-09-28,20.7148,10.3293
2020-09-29,20.8951,10.7984
2020-09-30,20.805,10.3643
2020-10-09,20.7937,9.9158
2020-10-12,20.9627,9.9316
2020-10-14,21.1543,10.3639
2020-10-15,20.9627,9.9873
