,Symbol,Name,ListedDate,InstitutionID,SecurityID,FullName,ShareType,BoardID,ShareType2
821,883,中國海洋石油,2001-02-28,103740,201000001987,中國海洋石油有限公司,H,P3401,1
877,941,中國移動,1997-10-23,103573,201000002038,中國移動有限公司,H,P3401,1
889,956,新天綠色能源,2010-10-13,103509,201000002049,新天綠色能源股份有限公司,H,P3401,2
2296,3958,東方證券,2016-07-08,106071,201004167534,東方證券股份有限公司,H,P3401,2
2339,6099,招商證券,2016-10-07,10974,201004170064,招商證券股份有限公司,H,P3401,2
972,1053,重慶鋼鐵股份,1997-10-17,103276,201000002122,重慶鋼鐵股份有限公司,H,P3401,2
39,38,第一拖拉機股份,1997-06-23,102320,201000000116,第一拖拉機股份有限公司,H,P3401,2
2329,6066,中信建投證券,2016-12-09,107973,201004171308,中信建投證券股份有限公司,H,P3401,2
1801,2068,中鋁國際,2012-07-06,10111080,201000002429,中鋁國際工程股份有限公司,H,P3401,2
2207,3618,重慶農村商業銀行,2010-12-16,103242,201000002626,重慶農村商業銀行股份有限公司,H,P3401,2
1000,1088,中國神華,2005-06-15,103367,201000002149,中國神華能源股份有限公司,H,P3401,2
111,107,四川成渝高速公路,1997-10-07,101541,201000000611,四川成渝高速公路股份有限公司,H,P3401,2
709,753,中國國航,2004-12-15,102045,201000001891,中國國際航空股份有限公司,H,P3401,2
1098,1186,中國鐵建,2008-03-13,10940,201000002236,中國鐵建股份有限公司,H,P3401,2
2088,2611,國泰君安,2017-04-11,106064,201004173764,國泰君安證券股份有限公司,H,P3401,2
1924,2238,廣汽集團,2010-08-30,103477,201000002452,廣州汽車集團股份有限公司,H,P3401,2
1189,1288,農業銀行,2010-07-16,10842,201000002300,中國農業銀行股份有限公司,H,P3401,2
2376,6198,青島港,2014-06-06,10133169,201000069900,青島港國際股份有限公司,H,P3401,2
1979,2318,中國平安,2004-06-24,103379,201000002468,中國平安保險(集團)股份有限公司,H,P3401,2
1229,1339,中國人民保險集團,2012-12-07,10814,201000002323,中國人民保險集團股份有限公司,H,P3401,2
2184,3369,秦港股份,2013-12-12,10113823,201000069802,秦皇島港股份有限公司,H,P3401,2
2165,3328,交通銀行,2005-06-23,103405,201000002604,交通銀行股份有限公司,H,P3401,2
1221,1330,綠色動力環保,2014-06-19,10133437,201000069911,綠色動力環保集團股份有限公司,H,P3401,2
499,525,廣深鐵路股份,1996-05-14,102236,201000001688,廣深鐵路股份有限公司,H,P3401,2
1225,1336,新華保險,2011-12-15,107601,201000002321,新華人壽保險股份有限公司,H,P3401,2
1259,1375,中州證券,2014-06-25,104229,201000069915,中原證券股份有限公司,H,P3401,2
395,390,中國中鐵,2007-12-07,105046,201000001590,中國中鐵股份有限公司,H,P3401,2
