,Symbol,ShortName,MarketLinkCode,ExchangeCode,ListedDate,SecurityID,InstitutionID,PYShortName,ENShortName,DelistedDate,AbsorbedDate,WhetherAandH,FirstAbsorbedDate,RemovedDate
1,2,万科A,HKEXtoSZSE,SZSE,1991-01-29,201000000002,101775,WKA,,,2016-12-05,Y,2016-12-05,
30,39,中集集团,HKEXtoSZSE,SZSE,1994-04-08,201000000042,10985,ZJJT,,,2016-12-05,Y,2016-12-05,
51,63,中兴通讯,HKEXtoSZSE,SZSE,1997-11-18,201000000062,101553,ZXTX,,,2016-12-05,Y,2016-12-05,
81,157,中联重科,HKEXtoSZSE,SZSE,2000-10-12,201000000089,103592,ZLZK,,,2016-12-05,Y,2016-12-05,
85,166,申万宏源,HKEXtoSZSE,SZSE,2015-01-26,201004156936,104100,SWHY,SWHY,,2016-12-05,Y,2016-12-05,
100,338,潍柴动力,HKEXtoSZSE,SZSE,2007-04-30,201000000111,102980,WCDL,,,2016-12-05,Y,2016-12-05,
130,488,晨鸣纸业,HKEXtoSZSE,SZSE,2000-11-20,201000000155,10854,CMZY,,,2016-12-05,Y,2016-12-05,
138,513,丽珠集团,HKEXtoSZSE,SZSE,1993-10-28,201000000171,101183,LZJT,,,2016-12-05,Y,2016-12-05,
276,756,新华制药,HKEXtoSZSE,SZSE,1997-08-06,201000000398,102203,XHZY,,,2016-12-05,Y,2016-12-05,
284,776,广发证券,HKEXtoSZSE,SZSE,1997-06-11,201000000413,101506,GFZQ,,,2016-12-05,Y,2016-12-05,
358,898,鞍钢股份,HKEXtoSZSE,SZSE,1997-12-25,201000000513,101969,AGGF,,,2016-12-05,Y,2016-12-05,
375,921,海信家电,HKEXtoSZSE,SZSE,1999-07-13,201000000536,103297,HXJD,,,2016-12-05,Y,2016-12-05,
448,1236,弘业期货,HKEXtoSZSE,SZSE,2022-08-05,201004214745,10100708,HYQH,,,2022-08-19,Y,2022-08-19,
455,1289,龙源电力,HKEXtoSZSE,SZSE,2022-01-24,201004210943,103889,LYDL,,,2022-02-14,Y,2022-02-14,
683,2202,金风科技,HKEXtoSZSE,SZSE,2007-12-26,201000000925,101290,JFKJ,,,2016-12-05,Y,2016-12-05,
838,2399,海普瑞,HKEXtoSZSE,SZSE,2010-05-06,201000001141,102114,HPR,,,2016-12-05,Y,2016-12-05,
892,2460,赣锋锂业,HKEXtoSZSE,SZSE,2010-08-10,201000001209,102105,GFLY,,,2016-12-05,Y,2016-12-05,
898,2466,天齐锂业,HKEXtoSZSE,SZSE,2010-08-31,201000001215,101938,TQLY,,,2022-06-13,Y,2016-12-05,
918,2490,山东墨龙,HKEXtoSZSE,SZSE,2010-10-21,201000001241,103014,SDML,,,2018-04-16,Y,2016-12-05,
996,2594,比亚迪,HKEXtoSZSE,SZSE,2011-06-30,201000001355,103723,BYD,,,2016-12-05,Y,2016-12-05,
1060,2672,东江环保,HKEXtoSZSE,SZSE,2012-04-26,201000001441,103874,DJHB,,,2016-12-05,Y,2016-12-05,
1080,2703,浙江世宝,HKEXtoSZSE,SZSE,2012-11-02,201000001475,102788,ZJSB,,,2016-12-05,Y,2016-12-05,
1139,2821,凯莱英,HKEXtoSZSE,SZSE,2016-11-18,201004170557,10121460,KLY,,,2017-07-03,Y,2017-07-03,
1198,2936,郑州银行,HKEXtoSZSE,SZSE,2018-09-19,201004181457,105364,ZZYH,,,2018-10-11,Y,2018-10-11,
1207,2948,青岛银行,HKEXtoSZSE,SZSE,2019-01-16,201004182621,10117891,QDYH,,,2019-01-30,Y,2019-01-30,
1302,3816,中国广核,HKEXtoSZSE,SZSE,2019-08-26,201004186024,10138616,ZGGH,,,2019-09-09,Y,2019-09-09,
2850,300347,泰格医药,HKEXtoSZSE,SZSE,2012-08-17,201000003358,10100160,TGYY,,,2016-12-05,Y,2016-12-05,
3053,300748,金力永磁,HKEXtoSZSE,SZSE,2018-09-21,201004181437,10289112,JLYC,,,2019-06-17,Y,2019-06-17,
3059,300759,康龙化成,HKEXtoSZSE,SZSE,2019-01-28,201004183061,10379671,KLHC,,,2019-12-16,Y,2019-12-16,
3150,301039,中集车辆,HKEXtoSZSE,SZSE,2021-07-08,201004204307,10242741,ZJCL,,,2021-07-22,Y,2021-07-22,
