,Symbol,ShortName,MarketLinkCode,ExchangeCode,ListedDate,SecurityID,InstitutionID,PYShortName,ENShortName,DelistedDate,AbsorbedDate,WhetherAandH,FirstAbsorbedDate,RemovedDate
3301,600011,华能国际,HKEXtoSSE,SSE,2001-12-06,201000003379,10675,HNGJ,,,2014-11-17,Y,2014-11-17,
3302,600012,皖通高速,HKEXtoSSE,SSE,2003-01-07,201000003380,102017,WTGS,,,2014-11-17,Y,2014-11-17,
3304,600016,民生银行,HKEXtoSSE,SSE,2000-12-19,201000003382,104860,MSYH,,,2014-11-17,Y,2014-11-17,
3313,600026,中远海能,HKEXtoSSE,SSE,2002-05-23,201000003389,103533,ZYHN,,,2014-11-17,Y,2014-11-17,
3314,600027,华电国际,HKEXtoSSE,SSE,2005-02-03,201000003390,103474,HDGJ,,,2014-11-17,Y,2014-11-17,
3315,600028,中国石化,HKEXtoSSE,SSE,2001-08-08,201000003391,102088,ZGSH,,,2014-11-17,Y,2014-11-17,
3316,600029,南方航空,HKEXtoSSE,SSE,2003-07-25,201000003392,103277,NFHK,,,2014-11-17,Y,2014-11-17,
3317,600030,中信证券,HKEXtoSSE,SSE,2003-01-06,201000003393,104776,ZXZQ,,,2014-11-17,Y,2014-11-17,
3322,600036,招商银行,HKEXtoSSE,SSE,2002-04-09,201000003397,105030,ZSYH,,,2014-11-17,Y,2014-11-17,
3379,600115,中国东航,HKEXtoSSE,SSE,1997-11-05,201000003467,103612,ZGDH,,,2014-11-17,Y,2014-11-17,
3427,600188,兖矿能源,HKEXtoSSE,SSE,1998-07-01,201000003531,103901,YKNY,,,2014-11-17,Y,2014-11-17,
3431,600196,复星医药,HKEXtoSSE,SSE,1998-08-07,201000003538,105860,FXYY,,,2014-11-17,Y,2014-11-17,
3517,600332,白云山,HKEXtoSSE,SSE,2001-02-06,201000003662,103288,BYS,,,2014-11-17,Y,2014-11-17,
3534,600362,江西铜业,HKEXtoSSE,SSE,2002-01-11,201000003687,102700,JXTY,,,2014-11-17,Y,2014-11-17,
3545,600377,宁沪高速,HKEXtoSSE,SSE,2001-01-16,201000003700,101399,NHGS,,,2014-11-17,Y,2014-11-17,
3647,600547,山东黄金,HKEXtoSSE,SSE,2003-08-28,201000003828,106310,SDHJ,,,2014-11-17,Y,2014-11-17,
3648,600548,深高速,HKEXtoSSE,SSE,2001-12-25,201000003829,103847,SGS,,,2014-11-17,Y,2014-11-17,
3676,600585,海螺水泥,HKEXtoSSE,SSE,2002-02-07,201000003863,103887,HLSN,,,2014-11-17,Y,2014-11-17,
3687,600600,青岛啤酒,HKEXtoSSE,SSE,1993-08-27,201000003878,101194,QDPJ,,,2014-11-17,Y,2014-11-17,
3712,600635,大众公用,HKEXtoSSE,SSE,1993-03-04,201000003913,106323,DZGY,,,2014-11-17,Y,2014-11-17,
3730,600660,福耀玻璃,HKEXtoSSE,SSE,1993-06-10,201000003938,107545,FYBL,,,2014-11-17,Y,2014-11-17,
3746,600685,中船防务,HKEXtoSSE,SSE,1993-10-28,201000003963,102664,ZCFW,,,2014-11-17,Y,2014-11-17,
3749,600688,上海石化,HKEXtoSSE,SSE,1993-11-08,201000003966,102252,SHSH,,,2014-11-17,Y,2014-11-17,
3750,600690,海尔智家,HKEXtoSSE,SSE,1993-11-19,201000003968,106392,HEZJ,,,2014-11-17,Y,2014-11-17,
3807,600775,南京熊猫,HKEXtoSSE,SSE,1996-11-18,201000004053,103359,NJXM,,,2014-11-17,Y,2014-11-17,
3824,600801,华新水泥,HKEXtoSSE,SSE,1994-01-03,201000004079,106398,HXSN,,,2018-06-11,Y,2014-11-17,
3831,600808,马钢股份,HKEXtoSSE,SSE,1994-01-06,201000004086,102132,MGGF,,,2014-11-17,Y,2014-11-17,
3854,600837,海通证券,HKEXtoSSE,SSE,1994-02-24,201000004115,10416,HTZQ,,,2014-11-17,Y,2014-11-17,
3867,600860,京城股份,HKEXtoSSE,SSE,1994-05-06,201000004138,101366,JCGF,,,2021-04-07,Y,2015-03-24,
3876,600871,石化油服,HKEXtoSSE,SSE,1995-04-11,201000004149,104666,SHYF,,,2019-04-02,Y,2015-03-31,
3879,600874,创业环保,HKEXtoSSE,SSE,1995-06-30,201000004152,103698,CYHB,,,2014-11-17,Y,2014-11-17,
3880,600875,东方电气,HKEXtoSSE,SSE,1995-10-10,201000004153,103475,DFDQ,,,2014-11-17,Y,2014-11-17,
3881,600876,凯盛新能,HKEXtoSSE,SSE,1995-10-31,201000004154,103843,KSXN,,,2014-11-17,Y,2014-11-17,
3914,600938,中国海油,HKEXtoSSE,SSE,2022-04-21,201004212665,103740,ZGHY,,,2022-12-12,Y,2022-12-12,
3915,600941,中国移动,HKEXtoSSE,SSE,2022-01-05,201004210109,103573,ZGYD,,,2022-06-13,Y,2022-06-13,
3917,600956,新天绿能,HKEXtoSSE,SSE,2020-06-29,201004189323,103509,XTLN,,,2020-07-13,Y,2020-07-13,
3918,600958,东方证券,HKEXtoSSE,SSE,2015-03-23,201004157236,106071,DFZQ,,,2015-06-15,Y,2015-06-15,
3949,600999,招商证券,HKEXtoSSE,SSE,2009-11-17,201000004210,10974,ZSZQ,,,2014-11-17,Y,2014-11-17,
3954,601005,重庆钢铁,HKEXtoSSE,SSE,2007-02-28,201000004215,103276,CQGT,,,2018-03-09,Y,2014-11-17,
3968,601038,一拖股份,HKEXtoSSE,SSE,2012-08-08,201000004225,102320,YTGF,,,2014-11-17,Y,2014-11-17,
3970,601066,中信建投,HKEXtoSSE,SSE,2018-06-20,201004180177,107973,ZXJT,,,2018-07-04,Y,2018-07-04,
3971,601068,中铝国际,HKEXtoSSE,SSE,2018-08-31,201004180898,10111080,ZLGJ,,,2018-09-14,Y,2018-09-14,
3973,601077,渝农商行,HKEXtoSSE,SSE,2019-10-29,201004186365,103242,YNSH,,,2019-11-12,Y,2019-11-12,
3974,601088,中国神华,HKEXtoSSE,SSE,2007-10-09,201000004227,103367,ZGSH,,,2014-11-17,Y,2014-11-17,
3980,601107,四川成渝,HKEXtoSSE,SSE,2009-07-27,201000004233,101541,SCCY,,,2014-11-17,Y,2014-11-17,
3982,601111,中国国航,HKEXtoSSE,SSE,2006-08-18,201000004234,102045,ZGGH,,,2014-11-17,Y,2014-11-17,
4001,601186,中国铁建,HKEXtoSSE,SSE,2008-03-10,201000004248,10940,ZGTJ,,,2014-11-17,Y,2014-11-17,
4007,601211,国泰君安,HKEXtoSSE,SSE,2015-06-26,201004158769,106064,GTJA,,,2015-12-14,Y,2015-12-14,
4019,601238,广汽集团,HKEXtoSSE,SSE,2012-03-29,201000004257,103477,GQJT,,,2014-11-17,Y,2014-11-17,
4021,601288,农业银行,HKEXtoSSE,SSE,2010-07-15,201000004260,10842,NYYH,,,2014-11-17,Y,2014-11-17,
4022,601298,青岛港,HKEXtoSSE,SSE,2019-01-21,201004182963,10133169,QDG,,,2019-02-11,Y,2019-02-11,
4026,601318,中国平安,HKEXtoSSE,SSE,2007-03-01,201000004264,103379,ZGPA,,,2014-11-17,Y,2014-11-17,
4027,601319,中国人保,HKEXtoSSE,SSE,2018-11-16,201004182142,10814,ZGRB,,,2018-11-30,Y,2018-11-30,
4028,601326,秦港股份,HKEXtoSSE,SSE,2017-08-16,201004175227,10113823,QGGF,,,2017-08-30,Y,2017-08-30,
4029,601328,交通银行,HKEXtoSSE,SSE,2007-05-15,201000004265,103405,JTYH,,,2014-11-17,Y,2014-11-17,
4030,601330,绿色动力,HKEXtoSSE,SSE,2018-06-11,201004180038,10133437,LSDL,,,2018-06-26,Y,2018-06-26,
4031,601333,广深铁路,HKEXtoSSE,SSE,2006-12-22,201000004266,102236,GSTL,,,2014-11-17,Y,2014-11-17,
4032,601336,新华保险,HKEXtoSSE,SSE,2011-12-16,201000004267,107601,XHBX,,,2014-11-17,Y,2014-11-17,
4037,601375,中原证券,HKEXtoSSE,SSE,2017-01-03,201004171456,104229,ZYZQ,,,2017-01-17,Y,2017-01-17,
4040,601390,中国中铁,HKEXtoSSE,SSE,2007-12-03,201000004272,105046,ZGZT,,,2014-11-17,Y,2014-11-17,
4041,601398,工商银行,HKEXtoSSE,SSE,2006-10-27,201000004273,105047,GSYH,,,2014-11-17,Y,2014-11-17,
4043,601456,国联证券,HKEXtoSSE,SSE,2020-07-31,201004190024,104493,GLZQ,,,2020-08-14,Y,2020-08-14,
4055,601588,北辰实业,HKEXtoSSE,SSE,2006-10-16,201000004281,103683,BCSY,,,2014-11-17,Y,2014-11-17,
4057,601598,中国外运,HKEXtoSSE,SSE,2019-01-18,201004183164,103865,ZGWY,,,2019-01-18,Y,2019-01-18,
4058,601600,中国铝业,HKEXtoSSE,SSE,2007-04-30,201000004283,103002,ZGLY,,,2014-11-17,Y,2014-11-17,
4059,601601,中国太保,HKEXtoSSE,SSE,2007-12-25,201000004284,104363,ZGTB,,,2014-11-17,Y,2014-11-17,
4061,601607,上海医药,HKEXtoSSE,SSE,2010-03-05,201000004285,10188,SHYY,,,2014-11-17,Y,2014-11-17,
4066,601618,中国中冶,HKEXtoSSE,SSE,2009-09-21,201000004288,104152,ZGZY,,,2014-11-17,Y,2014-11-17,
4068,601628,中国人寿,HKEXtoSSE,SSE,2007-01-09,201000004289,103024,ZGRS,,,2014-11-17,Y,2014-11-17,
4069,601633,长城汽车,HKEXtoSSE,SSE,2011-09-28,201000004290,103105,CCQC,,,2014-11-17,Y,2014-11-17,
4071,601658,邮储银行,HKEXtoSSE,SSE,2019-12-10,201004186844,10550,YCYH,,,2019-12-27,Y,2019-12-27,
4079,601688,华泰证券,HKEXtoSSE,SSE,2010-02-26,201000004297,105523,HTZQ,,,2014-11-17,Y,2014-11-17,
4086,601717,郑煤机,HKEXtoSSE,SSE,2010-08-03,201000004300,105736,ZMJ,,,2014-11-17,Y,2014-11-17,
4088,601727,上海电气,HKEXtoSSE,SSE,2008-12-05,201000004302,103830,SHDQ,,,2014-11-17,Y,2014-11-17,
4089,601728,中国电信,HKEXtoSSE,SSE,2021-08-20,201004205687,102144,ZGDX,,,2021-09-03,Y,2021-09-03,
4090,601766,中国中车,HKEXtoSSE,SSE,2008-08-18,201000004303,106058,ZGZC,,,2014-11-17,Y,2014-11-17,
4093,601788,光大证券,HKEXtoSSE,SSE,2009-08-18,201000004305,104059,GDZQ,,,2015-06-15,Y,2015-06-15,
4097,601800,中国交建,HKEXtoSSE,SSE,2012-03-09,201000004309,104851,ZGJJ,,,2014-11-17,Y,2014-11-17,
4099,601808,中海油服,HKEXtoSSE,SSE,2007-09-28,201000004311,104242,ZHYF,,,2014-11-17,Y,2014-11-17,
4100,601811,新华文轩,HKEXtoSSE,SSE,2016-08-08,201004168012,103522,XHWX,,,2016-08-22,Y,2016-08-22,
4102,601818,光大银行,HKEXtoSSE,SSE,2010-08-18,201000004312,104453,GDYH,,,2014-11-17,Y,2014-11-17,
4105,601828,美凯龙,HKEXtoSSE,SSE,2018-01-17,201004178177,10102651,MKL,,,2018-01-31,Y,2018-01-31,
4107,601857,中国石油,HKEXtoSSE,SSE,2007-11-05,201000004313,104710,ZGSY,,,2014-11-17,Y,2014-11-17,
4110,601865,福莱特,HKEXtoSSE,SSE,2019-02-15,201004183241,10232774,FLT,,,2019-03-01,Y,2019-03-01,
4111,601866,中远海发,HKEXtoSSE,SSE,2007-12-12,201000004314,102802,ZYHF,,,2014-11-17,Y,2014-11-17,
4112,601868,中国能建,HKEXtoSSE,SSE,2021-09-28,201004207684,10261205,ZGNJ,,,2021-09-28,Y,2021-09-28,
4113,601869,长飞光纤,HKEXtoSSE,SSE,2018-07-20,201004180617,10138597,CFGX,,,2018-08-03,Y,2018-08-03,
4117,601880,辽港股份,HKEXtoSSE,SSE,2010-12-06,201000004317,102806,LGGF,,,2014-11-17,Y,2014-11-17,
4118,601881,中国银河,HKEXtoSSE,SSE,2017-01-23,201004171937,104096,ZGYH,,,2017-02-13,Y,2017-02-13,
4121,601888,中国中免,HKEXtoSSE,SSE,2009-10-15,201000004319,104159,ZGZM,,,2015-12-14,Y,2014-11-17,
4123,601898,中煤能源,HKEXtoSSE,SSE,2008-02-01,201000004321,103413,ZMNY,,,2014-11-17,Y,2014-11-17,
4124,601899,紫金矿业,HKEXtoSSE,SSE,2008-04-25,201000004322,103464,ZJKY,,,2014-11-17,Y,2014-11-17,
4127,601916,浙商银行,HKEXtoSSE,SSE,2019-11-26,201004186685,10245,ZSYH,,,2019-12-10,Y,2019-12-10,
4129,601919,中远海控,HKEXtoSSE,SSE,2007-06-26,201000004326,103703,ZYHK,,,2014-11-17,Y,2014-11-17,
4133,601939,建设银行,HKEXtoSSE,SSE,2007-09-25,201000004330,103400,JSYH,,,2014-11-17,Y,2014-11-17,
4137,601963,重庆银行,HKEXtoSSE,SSE,2021-02-05,201004192684,10350,CQYH,,,2021-02-26,Y,2021-02-26,
4144,601988,中国银行,HKEXtoSSE,SSE,2006-07-05,201000004333,103009,ZGYH,,,2014-11-17,Y,2014-11-17,
4147,601991,大唐发电,HKEXtoSSE,SSE,2006-12-20,201000004335,102012,DTFD,,,2014-11-17,Y,2014-11-17,
4148,601992,金隅集团,HKEXtoSSE,SSE,2011-03-01,201000004336,103319,JYJT,,,2014-11-17,Y,2014-11-17,
4149,601995,中金公司,HKEXtoSSE,SSE,2020-11-02,201004191545,104393,ZJGS,,,2020-11-16,Y,2020-11-16,
4152,601998,中信银行,HKEXtoSSE,SSE,2007-04-27,201000004338,104133,ZXYH,,,2014-11-17,Y,2014-11-17,
4204,603127,昭衍新药,HKEXtoSSE,SSE,2017-08-25,201004175780,10147074,ZYXY,,,2019-06-17,Y,2019-06-17,
4246,603259,药明康德,HKEXtoSSE,SSE,2018-05-08,201004179598,105002,YMKD,,,2018-12-17,Y,2018-12-17,
4449,603993,洛阳钼业,HKEXtoSSE,SSE,2012-10-09,201000004353,103011,LYMY,,,2014-11-17,Y,2014-11-17,
4473,605198,安德利,HKEXtoSSE,SSE,2020-09-18,201004191043,103012,ADL,,,2020-10-12,Y,2020-10-12,
4503,688009,中国通号,HKEXtoSSE,SSE,2019-07-22,201004185703,10147724,ZGTH,,,2021-02-01,Y,2021-02-01,
