,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-06-01,2007-07-01,2007-08-01,2007-11-01,2008-01-01,2008-02-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-03-01,2010-04-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-10-01,2012-11-01,2012-12-01,2013-07-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-04-01,2014-06-01,2014-07-01,2014-08-01
0,0.03466980170934164,0.005136039467829034,-0.03362636419877063,0.004737912734139815,-0.0064486399141241435,-0.0482923618936375,-0.02399966804476872,0.00776747026700475,0.06704100478808517,-0.03819194775976209,-0.0050539000707079396,0.09297643283860202,0.021024687216984805,-0.001169511208015006,-0.025427524839609195,-0.00792511850044253,0.04241292976044386,-0.011810154228792724,-0.1934190740950572,0.12631036070530488,0.005443760622625637,0.10361750204682263,0.014830699403865388,-0.011263690741150079,-0.035215165458724274,0.1276426841612417,0.08886069482859238,0.00790456187801336,0.03275623547727946,0.003404792636706677,0.013397041750886629,-0.019531508507203643,0.027149032853602928,0.030089831317216653,0.021696612994200226,0.028621817156211815,0.03436064271785122,0.027999496508449795,0.01592084328135468,0.012265028190841187,-0.012707933366070456,-0.028126100733731896,0.012059913031834957,0.024722120526765368,0.027941852398028377,0.010717455070080817,-0.11165576339780614,0.02747900823794147,0.05807399769435673,0.0027163878585301227,-0.0007923213533072015,-0.0012057687208328893,0.014766316917522726,0.01035361614078667,0.020404029837862048,0.004927975596598078,0.01966166736357211,0.04959091167947416,0.0005485255037180892,-0.0041338230430625345,0.03183356408321725,0.021502999060148298,0.017914469126059096,-0.02700864935788072,-0.027138281788178453,-0.023469696107198956,0.026150461756517807,-0.0079303160806532,-0.027559177619610686
1,,0.03410965198852467,-0.04188451770737833,-0.06178168056237365,-0.028648477099766367,-0.04333389714201452,-0.036834576802761365,0.005652642738106284,,-0.04036672645603456,0.03800621532263593,,0.08282082153196546,-0.03840079381866701,-0.016364819696816024,0.022041520385310154,0.00033928161546592506,0.06444712654783369,,,0.027460834576337634,0.21476139087859858,-0.0048334575644215505,-0.00834272578176698,0.022055188011997462,0.13636166363718072,,0.049137261353659145,0.03520007384519852,-0.03293143464339998,0.005148136861907737,-0.03216002502153703,0.04569690629990564,0.055644484755576595,-0.02355401373635324,-0.026419358666605053,0.02919038716676814,0.038737441357565405,0.03665986552370337,0.017570064094916793,0.012355312196181245,,0.0192096657575892,-0.016615956162100654,0.0014288781938307515,-0.036486297681372015,,-0.02545553446244675,0.09995031183978487,0.004884612909782593,0.042841738076903724,-0.019890951012931257,0.05224826442732988,0.001981823750098144,0.030657171948283768,0.03945217790385591,0.02285597530682537,,-0.002744063010979403,0.012718597197012738,0.035533011012761406,-0.018271648986053712,-0.01894897552725361,-0.028924641663619077,-0.025857066959190877,-0.03471427904175606,0.03806597971780956,-0.006480884280288812,
2,,,,,-0.016964241750630826,-0.07386901755580388,0.0030556105594601313,-0.05404639369756925,,-0.05467912329084168,0.06510100564341137,,,-0.0500774433198834,-0.021258690950345382,-0.030611588504009024,-0.014349457578581859,,,,0.057757967204389526,,0.029625415225813967,0.008134757350081845,0.03253224645001507,0.08052477315263706,,0.05475793332546486,0.004739672807003936,-0.023095179902310914,0.02676840585836393,0.010082827277351214,0.04391328498220959,,-0.039580107872660086,-0.05068314978300403,0.02973972339731945,0.022070277393314797,,0.033468473053857695,0.026553854782146225,,0.015194072153441707,-0.010481129074735973,-0.02934478394422335,-0.04989831875377071,,-0.10827298501875227,,-0.023098324766538614,,-0.037589713044642536,,-0.03136564976866252,0.05942734669313143,,0.001474384347435187,,0.010847849567629853,-0.0007647871311249332,0.020246719000513558,-0.03413480110916822,-0.038520953057041396,-0.04727447928967976,-0.015710213416531227,-0.03242210653488886,,-0.01621680802718073,
3,,,,,0.0020626010064781486,,0.034541329994520975,-0.01866577436669825,,,,,,-0.0705917564987888,0.0061733243606978405,-0.0061572991371301455,0.014257041414406313,,,,0.05379672956517623,,0.0910958560938937,0.041040047900072096,0.04964260343471971,-0.010469761047214643,,0.040749574641581354,0.007954863216513841,-0.012056283686630032,0.02754700608897309,0.03523950840776102,0.05369018648691648,,-0.016880741957173928,-0.042241739211835494,0.02379591852532259,0.04157707188281767,,,0.009983741023278814,,-0.012430612621049941,-0.035501478815883614,-0.03204574860592313,-0.026858713266653567,,,,-0.040734705811573235,,,,-0.03727580787103024,,,0.007220608868345746,,-0.018237347505302814,-0.01362473222502425,0.008266980102226817,-0.04686508536605505,-0.052507127859526825,-0.04125970662141398,-0.04110856055561363,-0.024493284287830708,,-0.0333408217547535,
4,,,,,-0.018977018763027154,,0.024290632678265922,-0.025182386986496663,,,,,,,-0.010074389193823752,0.00029109968584384305,-0.00957829979479552,,,,0.037746019033646716,,0.16705545382904852,0.049238086844229034,0.05329499459079634,-0.04310698823149828,,0.03351377679855405,0.04223460267975443,0.03641530451507702,-0.009888633238071431,0.01918990987282676,-0.006447980071139114,,-0.006881310475380431,-0.038547644657277225,0.043651743418331335,,,,-0.017507265880220668,,-0.0017552827173695773,-0.012752638655293635,-0.08616730706935538,-0.0013719799426983315,,,,-0.022050208703590535,,,,,,,0.0014834750415042564,,-0.01666407494503197,-0.009443291853498792,-0.004961051814338369,-0.027991333430702703,,-0.01393907529709626,-0.04849073085985656,-0.03895032574201851,,,
5,,,,,0.0007719961611707404,,0.023839057511628958,-0.09065396344973653,,,,,,,0.011562624356206364,0.022248176008357934,0.01602612525917735,,,,0.04494598570477315,,0.21464722649374846,0.08283072038815531,0.09488989442770612,-0.02045714865744852,,0.054177971158328564,0.06303738058794539,,-0.02013923299268372,0.013130731424698228,-0.016647987365245087,,-0.02453263214268686,-0.04063580944796952,,,,,-0.005677530672520081,,-0.00636173662128614,-0.012789779964121673,,-0.04049665161594973,,,,-0.010459711861041221,,,,,,,-0.0057610214980430285,,0.0003376272631798738,-0.024129420267903434,-0.03968674491848967,-0.0012553731215128039,,-0.004869377764938676,-0.055161331232079114,,,,
6,,,,,0.038442043033438456,,0.04503045141569961,,,,,,,,0.044341491933331145,0.014265952867960507,0.0372082447178248,,,,0.10581219517099627,,0.18783748854327165,0.057075840973434655,,-0.07647324554092005,,0.04327585123525601,,,-0.03441457859457975,0.02408840711651905,-0.00535299472940054,,-0.003984262732280808,-0.036222994668912545,,,,,-0.0008220340521236658,,-0.02272991529598467,-0.029368731108909474,,-0.03298534367215922,,,,-0.012802424521407119,,,,,,,-0.018585296979319654,,-0.02916405700355651,-0.02712880764803227,-0.014335005757966535,-0.04925035806121958,,-0.007560904730172346,-0.05199549525632352,,,,
7,,,,,0.04402096649272225,,,,,,,,,,,0.054809535525652375,0.01165659023045773,,,,0.18442918033574673,,0.13678634032095882,0.0849029786815767,,-0.0868862906547121,,0.027065587713705153,,,-0.024907381597506273,-0.006364181496486321,0.015172069273360012,,-0.012694513184491107,-0.045112395415195294,,,,,0.020303953776590777,,,-0.036911240332822226,,-0.04747253987363642,,,,0.004442332410140359,,,,,,,-0.01319432357324457,,0.00671303203676521,-0.01943454338202555,0.012745485146103519,-0.04521593940850632,,0.01468408948833222,-0.06874998821022738,,,,
8,,,,,0.006181955920741666,,,,,,,,,,,,-0.007175412714368168,,,,,,0.14288119325548454,0.16204394488569918,,-0.06566943062065089,,0.07122646868452032,,,-0.021616221898292487,-0.02107466006106673,0.041275944851269286,,-0.024771020395988774,-0.032020872756248764,,,,,-0.0009589690327955758,,,,,-0.03628388054272058,,,,0.013606587787527769,,,,,,,-0.01751424619485009,,0.012717394892149736,0.08732485072301754,-0.00602720978037441,-0.053815322621487915,,0.03682379301710981,,,,,
9,,,,,-0.0020509721605943554,,,,,,,,,,,,-0.019244305935832262,,,,,,0.10110123758859224,,,-0.032309807388305245,,0.0764013643171082,,,-0.0288611295920429,-0.03874851382275413,0.026715289627417316,,-0.042216033006363674,-0.03881009447217876,,,,,-0.012716597520824102,,,,,-0.05110242521492481,,,,0.037857167478139164,,,,,,,-0.027166707822062985,,0.03215870808801147,,-0.020337211507446717,-0.014852251360092161,,0.040463267750507015,,,,,
