,K,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,0.0,0.12195188172560067,0.03860259989976373,0.0023976836939928244,0.0010527705564150663,0.028772204327913893,0.012633246676980795,0.01088032192595638,0.003805534082179891,3.344510702566078,2.431049078733333,793.8959566399201,7070.494050597995,7864.390007237915,1.0615297524735292,0.8884910838786325
1,0.01,0.12004635295645702,0.03777825747456425,0.00227188222042337,0.0009269690828456125,0.027262586645080442,0.011123628994147351,0.010263031306639522,0.003188243462863033,3.252970810766974,2.3395457316973367,766.026184730892,6783.246714411759,7549.272899142651,1.0571194722610178,0.8667481445958288
2,0.02,0.12098451665796607,0.03800090165302914,0.0022911131453019935,0.0009462000077242357,0.027493357743623922,0.011354400092690828,0.0102462165228481,0.003171428679071611,3.1722980253541784,2.2588729462845407,738.707474948174,6515.219357677696,7253.926832625871,1.0681641981904795,0.8793229639885338
3,0.03,0.11749771908534584,0.03654680558916859,0.0022184152243956068,0.000873502086817849,0.02662098269274728,0.010482025041814188,0.01002908336773554,0.0029542955239590524,3.0909892247033763,2.1777204098709766,711.4283838504268,6240.952109407579,6952.380493258006,1.0786612478103106,0.8610482074545471
4,0.04,0.11614294350779009,0.03449270316589961,0.0021488097584045052,0.0008038966208267471,0.02578571710085406,0.009646759449920963,0.009881936357407608,0.002807148513631119,3.011002460472114,2.097997725454575,687.4170942105466,5998.93799226483,6686.355086475376,1.1320279824565673,0.8638776740235413
5,0.05,0.11566748718839445,0.03359370420076022,0.0020979557119042208,0.0007530425743264627,0.025175468542850646,0.009036510891917555,0.00961168085192527,0.0025368930081487817,2.9392737648270844,2.0262947499741544,666.3468101259394,5786.327426346962,6452.674236472902,1.1696509794907244,0.8631065975200485
6,0.1,0.11070507598961252,0.0319196461382413,0.0018612160607842728,0.0005163029232065149,0.022334592729411275,0.006195635078478179,0.008424286914678355,0.0013494990709018654,2.5672132487148676,1.6543256009888947,573.3064034653263,4836.83262621175,5410.139029677076,1.1371437902920865,0.8290941709866676
7,0.15,0.10606548476669765,0.03101434853535491,0.001819159722269456,0.00047424658469169816,0.02182991666723347,0.0056909590163003775,0.008487162689898995,0.0014123748461225057,2.256264793937458,1.3442698763246987,507.77239799280164,4224.094590540185,4731.8669885329855,1.1179699996773782,0.9797813253257925
8,0.2,0.10583255959321118,0.02931662923979616,0.0017147969804946926,0.00036988384291693465,0.02057756376593631,0.004438606115003215,0.007860027330580908,0.0007852394868044193,2.009624914086789,1.0995807300660565,464.8065261941573,3796.328498741568,4261.135024935725,1.1566109901893264,0.9222340250115791
9,0.25,0.10366276602220888,0.02698448748883862,0.0015497605444662488,0.00020484740688849084,0.018597126533594983,0.0024581688826618895,0.007271080594358669,0.00019629275058218187,1.8092747578698838,0.900112546847275,432.9144894358651,3475.3552016773547,3908.2696911132193,1.1831617552767912,0.8449899990054599
10,0.5,0.10274343018728069,0.030166981029163716,0.002084450297370217,0.0007395371597924587,0.025013403568442602,0.008874445917509506,0.010360265753976073,0.003285477910199586,1.2549979830626112,0.3544335158666019,359.0723853646416,2707.039092529402,3066.1114778940437,1.0586575422013305,1.2646331734932594
11,0.75,0.10748915052485129,0.028123775671965376,0.00220950458476882,0.0008645914471910623,0.02651405501722584,0.01037509736629275,0.011171060292525447,0.004096272448748959,1.0427315660030207,0.15755324745251723,334.67937296632465,2441.264369651192,2775.943742617517,1.2022783103452201,1.3159468354876267
12,1.0,0.11263259854407644,0.02611586584119617,0.002475071147653916,0.0011301580100761587,0.029700853771846995,0.0135618961209139,0.012402825031247003,0.005328037187470515,0.9178813841289895,0.06702448620882917,319.0520925391804,2354.9468793328792,2673.99897187206,1.4363299082178138,1.5126050512773834
13,1.05,0.11165498053503392,0.0255854638422308,0.00253728169356081,0.0011923685559830513,0.030447380322729714,0.014308422671796618,0.012725620598278654,0.005650832754502168,0.9038917647890715,0.058922933609445546,317.4826682086211,2338.1571259779707,2655.639794186592,1.4622443168272634,1.5268742306065015
14,1.1,0.11104938901855131,0.024921475240019687,0.002565252528359627,0.001220339390781869,0.030783030340315525,0.014644072689382429,0.012961677162614864,0.005886889318838376,0.8877611631282255,0.051127714494894984,316.3918302990646,2313.453471682328,2629.845301981393,1.4760106998669167,1.5612414163378054
15,1.15,0.10716538644480121,0.023117805451320406,0.002607847959940901,0.0012629348223631431,0.03129417551929081,0.015155217868357718,0.013323403436207174,0.0062486155924306895,0.8679666615281305,0.0433839925872762,315.55533598423756,2291.9992322758626,2607.554568260101,1.5209822238406738,1.5380458884244055
16,1.2,0.1031271568866568,0.02055183315608868,0.002555443988380363,0.001210530850802605,0.030665327860564355,0.01452637020963126,0.013140892292776084,0.006066104448999595,0.8486788576375772,0.03741614638597765,314.5927189903792,2278.3788458467247,2592.971564837104,1.6519339053312265,1.5047674343279178
17,1.25,0.10091453508242193,0.01796396879699649,0.0025339032881854383,0.0011889901506076806,0.03040683945822526,0.014267881807292167,0.013163627191768933,0.006088839347992447,0.8248595907887807,0.03006716385819366,313.10574388892763,2254.088018992287,2567.1937628812148,1.9214859253237655,1.513845114627503
18,1.3,0.10196235783348737,0.016902480850568648,0.0025644561455430304,0.0012195430079652732,0.03077347374651636,0.014634516095583274,0.01339258290299666,0.006317795059220175,0.8010684960065687,0.02637143043892115,311.9698040172099,2225.613910626882,2537.5837146440917,2.119392429937274,1.6096715335647693
19,1.35,0.10123043796332255,0.014868342534844044,0.002515509859638218,0.0011705967220604603,0.03018611831565861,0.01404716066472552,0.013244623368334235,0.006169835524557748,0.7670585808000718,0.021828793601629943,309.53657140107134,2169.705991208208,2479.242562609279,2.560961329666629,1.6010009530578766
20,1.4,0.09911731956271505,0.013176970897474445,0.002376208135191188,0.0010312949976134303,0.02851449762229426,0.012375539971361163,0.012586328260922078,0.005511540417145593,0.7364859580482348,0.01905350978509434,307.2670420561524,2110.707317155484,2417.9743592116365,2.713980224745212,1.58977296582884
21,1.45,0.09541971989154015,0.011657861425489562,0.002273694546876946,0.0009287814092991878,0.02728433456252335,0.011145376911590251,0.012159504200651369,0.0050847163568748825,0.6974708909845359,0.01649104769826059,305.23088009363687,2038.7348465538162,2343.9657266474533,2.784057777576451,1.7185810015555618
22,1.5,0.09414213271161666,0.01008510406821429,0.002102677812697845,0.0007577646751200868,0.025232133752374136,0.00909317610144104,0.01122038790988735,0.004145600066110862,0.6639351177764274,0.013922121285383289,302.82730775360875,1989.4984224315112,2292.32573018512,2.980490131977537,1.8047715434133937
