,K,annualYieldRate,annualExcessYieldRate,MonthlyYieldRate,MonthlyExcessYieldRate,annualYieldRate(non-compounding),annualExcessYieldRate(non-compounding),originalYieldRate,originalYieldExcessYieldRate,openingTimes,closingTimes,ATF,HTF,TF,SharpeRate(annual),SharpeRate(original)
0,0.0,0.20133112237270387,0.02213101915131462,0.004389249650855025,0.0009920583294904617,0.05267099581026031,0.011904699953885538,0.024141160329544085,0.005067433139403957,4.336753441738852,3.433956738788036,989.0104731356704,9291.085573640637,10280.096046776307,3.1662828154110425,4.419699351242386
1,0.01,0.20008265935531033,0.021983040622767933,0.004351861013665837,0.0009546696923012732,0.05222233216399005,0.011456036307615278,0.023917232056319973,0.004843504866179844,4.2335540151612605,3.3310951527094113,954.1800118233714,8942.245165329387,9896.425177152756,3.169411411485768,4.53945832794619
2,0.02,0.2099062320978598,0.02251305030803274,0.004408753540751806,0.0010115622193872425,0.05290504248902168,0.012138746632646906,0.02399042029598317,0.004916693105843041,4.121627492119738,3.2192327172241284,915.4273469908743,8554.025762034402,9469.453109025277,3.267820073858778,4.7213015357049235
3,0.03,0.20719291244553656,0.022011735270744254,0.00438913601859846,0.000991944697233896,0.05266963222318152,0.011903336366806757,0.023805190927100237,0.004731463736960111,4.016913075622281,3.1145183007266706,881.0858618710699,8215.40678503803,9096.4926469091,3.317742000117823,4.598394054474835
4,0.04,0.20153148752130218,0.021224658963037,0.004322352011099064,0.0009251606897345012,0.051868224133188784,0.011101928276814015,0.0234282950733551,0.004354567883214977,3.909471122616859,3.0071863414685387,846.364679303558,7867.83449848765,8714.19917779121,3.349169188424001,4.62714602905933
5,0.05,0.19790054107943347,0.021352132361835516,0.004305442323019808,0.0009082510016552442,0.051665307876237694,0.010899012019862929,0.023284118609342878,0.004210391419202752,3.803858212494392,2.9015734313460717,815.0903133280813,7549.002330038404,8364.092643366484,3.2651696471358,4.681819835152627
6,0.1,0.1865973558200727,0.018842405668808026,0.00404605046194466,0.0006488591405800959,0.048552605543335924,0.00778630968696115,0.02200845245481002,0.0029347252646698945,3.343453658344453,2.4414942663482813,690.3336899224955,6286.226423404344,6976.56011332684,3.3856714441467033,4.9733556264938805
7,0.15,0.17857426759783834,0.01837257707254457,0.004005233338548301,0.0006080420171837369,0.04806280006257961,0.007296504206204842,0.021745758271902182,0.0026720310817620503,2.934473551356748,2.0330411578834937,603.362273059098,5379.912907738831,5983.275180797928,3.296976016773129,4.860225088976386
8,0.2,0.17736128293119813,0.018095321049466546,0.003801306455544274,0.00040411513417970985,0.045615677466531286,0.004849381610156518,0.02041410228603423,0.0013403750958941045,2.5825476482007454,1.6816301445411361,538.0253767199956,4708.293227952923,5246.31860467292,3.170215702595339,4.578550295555355
9,0.25,0.17084374026758906,0.01627414358079995,0.003471881786232441,7.469046486787723e-05,0.0416625814347893,0.0008962855784145267,0.018498849938030207,-0.0005748772521099192,2.2924408810852466,1.3926277626458627,489.6632888113945,4216.789486397359,4706.452775208753,3.2796740905989217,3.630609073156234
10,0.5,0.17565824186835116,0.013065522643259888,0.0030727230044038153,-0.0003244683169607484,0.03687267605284578,-0.003893619803528982,0.016664419461734324,-0.0024093077284058012,1.4283337403827787,0.5355133759466496,376.23894138143925,2991.970548698637,3368.2094900800753,3.9110006865049085,3.1760685135964986
11,0.75,0.15182266149693427,0.010129019461394035,0.0029224831050560975,-0.00047470821630846643,0.03506979726067317,-0.005696498595701597,0.0158502864085483,-0.0032234407815918244,1.1033260549345798,0.2226481888988199,332.3724622498749,2638.599552399689,2970.972014649564,4.096376075325986,3.891767226979598
12,1.0,0.1562880265571338,0.008291423399959202,0.0029439502340524925,-0.00045324108731207094,0.03532740280862992,-0.005438893047744851,0.01606790636366121,-0.0030058208264789176,0.9301557699443498,0.08892289625305404,313.6571541119784,2476.1789906669696,2789.836144778948,4.762576150102814,4.081817259549502
13,1.05,0.153004029104173,0.0068414028531897115,0.002818677484149452,-0.0005785138372151115,0.03382412980979342,-0.006942166046581337,0.0155914984428022,-0.0034822287473379246,0.9077167848527817,0.07573127395546606,311.2307020854197,2447.448617086007,2758.6793191714264,5.047201635425161,3.9115303125313226
14,1.1,0.1505750319884329,0.005602673238009483,0.0027254934226667673,-0.0006716978986977958,0.032705921072001216,-0.008060374784373549,0.015171543061850019,-0.0039021841282901055,0.8844441926437387,0.06307959649699783,308.6713042574317,2422.972129655493,2731.6434339129246,5.521069588902631,3.8121148486177336
15,1.15,0.14474564909997095,0.005223902318882697,0.0027110439068172083,-0.0006861474145473559,0.032532526881806495,-0.00823376897456827,0.015100260570858904,-0.003973466619281221,0.857924806803897,0.05017847419232158,305.5950289301485,2394.472562941187,2700.0675918713355,5.564680578307216,3.564176178624929
16,1.2,0.14520923091682222,0.004528387122250917,0.0026958315560344135,-0.0007013597653301502,0.03234997867241296,-0.008416317183961804,0.014946927465217343,-0.004126799724922784,0.8324783183403268,0.040564722531492486,303.55562872277966,2375.46794984527,2679.02357856805,6.106155874171323,3.1072488363420936
17,1.25,0.14503358762322593,0.0045575311264554825,0.002786052664990384,-0.00061113865637418,0.0334326319798846,-0.007333663876490161,0.015382560282430355,-0.0036911669077097694,0.8055621243704041,0.03479066758853195,301.673663481758,2355.366000158702,2657.0396636404603,6.385627247819109,3.4841890375435303
18,1.3,0.14631524390105102,0.004524315914107069,0.002853170753480577,-0.0005440205678839866,0.03423804904176693,-0.0065282468146078375,0.015681386329873644,-0.0033923408602664815,0.7828396593382548,0.02901942934570035,300.1482110166937,2329.32469904365,2629.4729100603436,6.561834848899679,3.625729675147661
