,2002-05-01,2002-06-01,2002-07-01,2002-08-01,2002-09-01,2002-10-01,2002-11-01,2002-12-01,2003-01-01,2003-03-01,2003-06-01,2003-07-01,2003-09-01,2003-10-01,2003-11-01,2003-12-01,2004-01-01,2004-02-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-11-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2006-02-01,2006-03-01,2006-04-01,2006-06-01,2006-08-01,2006-11-01,2006-12-01,2007-02-01,2007-04-01,2007-05-01,2007-07-01,2007-08-01,2007-09-01,2007-11-01,2007-12-01,2008-02-01,2008-03-01,2008-05-01,2008-06-01,2008-08-01,2008-11-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-08-01,2009-09-01,2009-10-01,2010-01-01,2010-02-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-03-01,2013-04-01,2013-07-01,2013-08-01,2013-09-01,2013-11-01,2013-12-01,2014-02-01,2014-03-01,2014-05-01,2014-06-01,2014-07-01,2014-10-01,2014-11-01,2014-12-01,2015-02-01,2015-04-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-06-01,2016-07-01
0,0.041179594419201715,0.01223219936906772,-0.0178669678670631,-0.6105597789028494,0.02500024020963476,0.014852301539938217,-0.07447249537695044,0.14459313276189456,-0.021288708351645536,-0.02254004365744522,-0.06489152125124154,0.36012323248329015,0.2165341725206329,0.09057231493710116,-0.01387394811385012,0.04873616626551813,0.06076611582813163,-0.10453616571030233,0.07812358388301455,0.029647978660218177,0.0587879041877124,0.032377684129237694,-0.024787692043779952,0.13099992213688472,0.03536763721741387,0.006866696781059334,-0.09189646195838685,0.057046415602480055,-0.015221499433940383,0.0037205610523893817,-0.0030031034718411703,0.0005764660115820802,-0.0002966922143069345,-0.0003598902032754675,-0.0019724956457544685,-0.0028044464235161687,0.00016406573386364143,-0.0036243812587865437,-0.0034266293466778397,-0.004411517302146159,-0.001611214842782288,-0.0006785589211832296,-0.0020376228774401373,-0.005304180801738058,-0.0004764658119062789,0.0014770425444626256,-0.005324201635992211,-0.01502399597486784,-0.018148356786375316,0.0015492645992569165,0.00013967959235389182,0.0018852454164004634,0.0010058768904419035,0.0021338302823894345,0.0002441633414084071,-0.27105247442546127,0.0387591117057422,0.019084700498367413,0.07236948378435892,-0.054113862232025856,-0.06432792719439351,0.08556745016926826,0.06663219922832897,-0.049325545815400496,0.005391011255644784,-0.08267804768481013,-0.03690242661445975,0.07954519343698219,-0.053000696082149634,-0.03755141278980445,0.018398964937647255,0.027094678203748335,0.16359013590862848,-0.15711649023088303,-0.020603588972244236,0.046126633166956754,0.03800927600685822,-0.05435496048251265,-0.025377753798675906,-0.06494729939356692,-0.0037648092729467564,0.026258169702387146,0.07831812266789862,0.08501201217004106,0.038821283998862643,0.03875175847443302,-0.01966975564525386,0.0210921330768441,0.07553124357665197,-0.016148799211994413,0.04113796313166662,0.13360520732568615,0.048015760601665555,0.037418860448319324,0.03909674722291823,0.14859743050466534,-0.0006287029454643545,0.018088735795002364,0.11114384943041028,0.04375592282902119,0.07008857607070262,0.10391560307700098,-0.009208608371619853,0.04669160069460698,0.05730314185777008,-0.010961460812058066,-0.012356405556833927,-0.08508576952270896,-0.0020463517140747456,-0.003059685514092969,0.0049528292806071406,-0.06684604446934728,-0.05845293649578154,-0.15353195498274963,0.11568044437165748,-0.04048821301473393,0.0911917368273727,0.06564100721236787,-0.009668159832347145,0.09053213617528644,0.13771249083778425,0.026165852859365346,-0.06039030643017562,0.030373719159805357
1,0.013741834984119183,-0.01769314199659555,-0.012533025992042202,,-0.05974239098530454,-0.0023595646892187183,,,-0.014506877735620538,-0.03978056629238014,-0.08216358635356436,,,0.25246078916454007,-0.013104718491354639,-0.025806783409820566,0.07157772016284092,-0.09035783755766502,-0.010769008336949604,0.0468362913424587,0.09901679906891081,0.07329539447595501,-0.05097080249875885,0.14037668473423404,0.041245142376733046,0.16008414556910577,-0.04774073295682135,0.061822011457131426,-0.01531313746378686,0.0023530719938671674,,0.0008575877215071942,-0.0004605363711100291,-0.0009104600516337685,-0.002157304369252183,,0.0002564402200962296,,-0.0031835944226777935,,-0.001515167203079204,-0.0009695318225616603,-0.0016476072718723117,-0.0038307754961388976,0.0002134272820313518,0.0026598913763137833,,,,0.004254569268814484,-0.0015631730966921553,0.000814362393912263,0.0011304295319656543,0.0021796684341638534,9.681913057529856e-07,-0.37490373642671443,0.06606393468353564,0.01883385388975234,0.012505707712277214,-0.019746579729174485,-0.04440403961493078,0.06869861194426541,0.1740243596705373,-0.06585394932129507,-0.0751431065498469,-0.0985852337060169,-0.05157615410368732,0.08284277563310205,0.010324189861858235,-0.03998129317614818,-0.0017652052602308288,0.025641359929148844,,-0.13587501490847576,-0.02873655311217993,-0.0026091344353975643,0.010569840634576666,-0.003934367303410902,-0.01670364341169095,-0.2246762686411623,0.03866997048713028,0.0009886623518808868,0.011228226081926307,,-0.012757669893816548,0.026907128599866326,-0.0014964822184284077,-0.004900789599675104,,-0.042367845942784865,0.059277920024156106,0.1496714525279148,0.040031265621228926,0.037268455566556,0.002807791325367681,0.22256534236959613,-0.045503056590676216,0.01839391623530484,,0.023848970334525488,0.04282125692257632,0.15287663020433895,0.012394570909786129,0.01253814010005172,0.019746323836752566,-0.04046157371276404,-0.021101861532127675,-0.15847636892513295,-0.004687441301622464,-0.026068001974127064,0.08760629655418373,-0.09274940780157026,-0.09658157861225125,,0.09037350759658813,-0.05055629790700533,,-0.018450124424121306,-0.009831533078192622,,,0.0300979937819561,-0.053639514106009534,0.03133659595971705
2,-0.0010894588756182877,-0.04735160926475834,-0.03430188659832023,,-0.0007312063870124064,0.02972102114860009,,,-0.004129349377535618,-0.03775950125812377,-0.01439958931116081,,,,-0.04303803430120734,0.057208182068577695,0.02418197022033164,-0.08437149890009099,-0.011986666491870857,0.006228493933224888,0.06118439009128185,0.04609867720060756,-0.0642698143171847,0.07703766227073006,0.18639680619544663,,-0.11093572990860712,0.07095811044024587,-0.01531313746378686,0.005433243911870361,,0.0005764660115820802,-0.0003648780954727676,,-0.003359394300866153,,-0.0012225765035730474,,-0.0035398628753157135,,-0.001611214842782288,-0.00015838449966572993,-0.0024277906545319694,-0.0035363547667929492,1.636353127047567e-05,0.001772885946847172,,,,0.007193109390790153,-0.0019893397342948538,0.001182893235943186,0.0025605443072247575,0.002908670370331906,-0.000199616109897216,,0.0939418305383588,0.01921010021011238,0.06328505374105031,-0.07888916892441555,-0.061791695073056596,-0.01934432640838324,,-0.0757290835957436,-0.03532298912061238,-0.11536832261599872,-0.06919169145266058,0.057881248751369574,0.005724732460615778,-0.08496733221546648,-0.019393328713398716,0.04072755190162025,,-0.14963634136997572,-0.02318770952843585,-0.020954248236898954,-0.005540856891719459,0.006146715506980982,-0.027527860604844356,,-0.011328526850572729,0.038148903771868525,0.07525634812747328,,-0.019792241476649153,0.012421714945573203,-0.00915119695852512,-0.003826428357512013,,-0.043546789948319065,0.03774316160974678,0.13401241631108407,0.041859071704740666,0.03013964481324727,0.022753448990933567,,-0.06312034045403436,0.01839391623530484,,0.04475180859532468,0.11292764175810643,,0.006310439466053364,-0.050436496421616184,0.04660631677705629,-0.02328728087406895,-0.03336824527790516,,0.004223889659362268,-0.017838059077186053,0.2470368222060204,-0.08050942233453151,,,0.08355128372785825,-0.04966474532787779,,0.03452097367939633,-0.0799590486147459,,,0.011470917878561693,-0.06895329740247447,0.031001643061340123
3,0.0065807282601981765,-0.02066272423239801,0.0021633587433900203,,-0.10999863573336022,0.036860799558469104,,,0.005377906964075141,-0.056679285325705875,0.026004558148533974,,,,-0.028527810231072204,0.16881728562285048,0.1044833642375802,-0.08969206926410922,-0.06032417749258112,0.06476254012881433,0.05361923630301746,0.007999769360159892,,0.06180298792357819,,,-0.027453882887663594,0.06612448353727635,-0.015221499433940383,0.005433243911870361,,0.0002383307785356753,-0.00042004569476129794,,,,-0.0006676888540817494,,-0.003578215945216956,,-0.0020915914672863245,-0.0007981531714767384,-0.0030133279016702763,-0.0028497099803853677,-0.001462853739584307,0.0020686418517978783,,,,0.003931580726776712,0.0002460116675244983,0.00020574750920625273,0.004377499363437898,,-0.00026437400992275484,,0.09137461628119398,0.01921010021011238,0.0676304187242911,-0.062231241888601296,0.02139857804776646,-0.026580728614405746,,-0.06612661834518807,-0.10802724631679883,-0.057858972579455825,-0.016590105762475993,0.08320725278736174,0.025584325180402434,,-0.017234414141345633,0.050228441575869476,,-0.07188398998089496,-0.07905335858465157,-0.017644536473964578,-0.020439145081414534,-0.0008419899784275486,-0.025012094791166062,,0.08530273516806464,0.1172476985708426,0.09958183474327198,,-0.047534327902825524,0.004623797123909812,-0.07584874131698677,0.02177301937032161,,-0.021766787905976637,0.0442471199956066,0.12787649726917705,0.008776472584490533,0.013897318464007102,0.03547544553832438,,-0.1251176127803033,0.017897950713816835,,0.0888073190253329,0.13641283255637116,,-0.043223069932441405,-0.14077442039970411,0.08756595234654307,-0.02810429486611632,-0.06648535126295352,,-0.012362396580792634,-0.0409337909491434,,-0.10126391353481945,,,0.023301743444152923,-0.04552011281724644,,0.008558973076778553,-0.08833358708390127,,,0.027769234475701232,-0.0868808594165178,0.02597754929405094
4,-0.009417172989834688,-0.051414393100489786,0.012638141176357864,,-0.06722239198861502,0.06136355023899753,,,-0.020087726956772745,-0.02334698341505992,-0.0306939671230424,,,,0.054287554184336395,,0.058396809984690545,-0.08880371003964838,-0.0644881925709786,0.09587559025671588,0.06755311994854196,2.8181320749776084e-05,,0.07303748327874438,,,-0.0924117667077573,0.09955528564251737,-0.015404783891931464,0.012055911619239496,,0.0005236564065809468,-0.0006951867062645195,,,,0.0006258528582092776,,-0.0030160100819025815,,-0.0035341074648884696,-0.0006897177626958503,-0.0019401047146050537,-0.0035363547667929492,-0.0008709042353221268,0.0018714809678784666,,,,-0.000631667039493522,-0.0018333306413930994,-0.0014578365718467684,0.004883105695368567,,-0.0005771401385494118,,0.15613630542897924,0.019084700498367413,0.16723223413747723,-0.1683674986167687,0.03425433416428192,0.05354376922695314,,-0.0012352109943147838,-0.10080157452198035,-0.05192604656270561,-0.005520019384711583,0.09700421745805188,0.093262499418443,,-0.03308005354528709,0.027017205981606285,,-0.06933960367302627,,0.02243107465524008,-0.06917615921140907,0.031214099121288363,-0.09702119306148571,,0.09258302541316787,,0.06703342988409977,,-0.1071405965749248,-0.01249045271175997,,0.007851058421064483,,-0.00447434699828686,0.04963369976777943,0.17800827256339558,0.03049942442151686,0.03626687707704279,0.03538347396767305,,-0.12488738207918804,0.018336701996572335,,0.11766777998131106,0.17004385103621433,,-0.11778663336967155,,0.10225570311869081,-0.024794638990569995,-0.050268724980962576,,-0.011885879173292757,-0.09343742258948362,,-0.09209211590210442,,,-0.03143961450264232,-0.04646378942366547,,-0.006255671938696139,-0.011283937854221104,,,0.05263578443483241,-0.039781418248918454,0.05296648390978842
5,0.04974665072063578,-0.016602515236705417,0.020920094153626057,,-0.09889835167351357,0.054331006254149106,,,-0.10268810210591672,-0.02553336188305977,0.0016347436702686124,,,,0.06007216958809436,,0.14823479391205163,-0.04792230634943295,0.026584558088886823,0.052020276258323506,0.06994475734266814,0.0014161789263894553,,0.04481149098261916,,,-0.12118384160873785,0.12791480833181665,-0.01531313746378686,0.012047933277261058,,0.0008512793692408982,-0.0004323797516149752,,,,-0.0007601487496679271,,-0.0010635700830140538,,,-0.0008281965876388783,-0.0004784722984822881,-0.006582890463013554,-0.0020551538556170083,0.0023643103110552247,,,,-0.0032708878700379307,-0.007431315025890894,-0.0011961335054712086,0.006238276861486078,,-0.0006301141549606704,,0.14282492207130215,0.14142605330050295,,-0.3147909253542598,0.07758021144087912,0.046813738407758265,,0.006142118381711192,-0.1389565246492399,-0.024583623773931862,-0.006063344502791668,0.08572957919912372,,,-0.0169594189661737,0.01832637751618904,,-0.0655248301789888,,0.013801644301631333,-0.09826726043224121,0.006598427131601525,-0.16966156977667035,,0.15297214693589734,,0.048990965151221255,,-0.06011583948556254,0.0010601393745213183,,0.019706006656348363,,-0.00451524707172668,0.1234373681406602,,0.005561583400737188,0.006433759583723719,-0.006483800087561997,,-0.07134857841427777,0.0412110556622316,,,0.14801072080180533,,,,0.060181522055493986,-0.018701898658784577,-0.060501595958973864,,-0.014836441196953043,,,-0.1039004764982896,,,-0.010373086262389863,-0.02455568536389241,,-0.004292451966744881,-0.10972205464113816,,,0.03273330363504301,0.0004075809236943062,0.05386221083344089
6,0.07774946927112425,-0.028773043281254296,0.010556428902612547,,0.03149916371020822,0.03160446712117615,,,,-0.023189886564528583,-0.02322233173223509,,,,0.010967183481352283,,,-0.027294153215322137,0.07076688672694598,0.07166015828424932,0.007998249963045101,0.00915125217072299,,0.025853295775686735,,,-0.16984508907318063,0.10284583486065953,-0.014397134834931088,0.010185096709082825,,0.0005658195149276235,-0.0004405064217225807,,,,-0.0007601487496679271,,-0.001269890091980197,,,-0.0012336519419561542,0.0012726712563144449,,-0.001166835186926906,0.002167207718518055,,,,-0.004262482307794385,,-0.0033067146575865985,,,-0.00017678640791320144,,0.14182316891966096,,,,0.0016505288763479786,-0.0250891493902885,,-0.00018585679982496828,-0.0761958295841092,-0.07804417404834796,0.05022393430913985,0.036263696946625235,,,-0.08456099891440383,0.04775178594159302,,-0.0922445136087715,,-0.0004790412275250677,,-0.0557136789170487,,,0.08193522389653829,,0.06960674597433036,,-0.13894853465546886,-0.009970026823324707,,0.003992981900355019,,-0.011204235222523229,,,0.04028914575667229,0.07537395359153953,-0.037569392751322095,,-0.04775994001167039,-0.009771379995809237,,,0.1525145437397859,,,,0.14620176557085074,-0.04125321577166208,-0.05863516467077545,,-0.04874047994238451,,,-0.13126472113439513,,,-0.03493036954491746,-0.03973051009726869,,-0.041500558070578286,0.014723452741911336,,,-0.028270696575956045,-0.002188165922339058,0.07532574427457994
7,,-0.020092901051546708,0.021061918008636216,,-0.011573178519978633,0.006470413740820913,,,,-0.0016629417738385222,0.0394076854917893,,,,0.03117686638316397,,,-0.01706248096388352,0.16169970053411475,0.07060699948267946,-0.02832544301213713,0.029158284759430497,,0.04697385081466887,,,,0.09062135506841583,-0.014214034953434498,0.012864052685808425,,0.0001504745610383662,-0.0006439553004576881,,,,-0.0008526171948768924,,-0.0023790558362149355,,,-0.0012543983171597536,-0.002720516421368252,,-0.002549005413878652,0.0024628470407008912,,,,-0.003430284287441049,,-0.004830939231399448,,,-3.5398969224373356e-05,,0.14182316891966096,,,,0.015833820020551892,-0.0876134871227614,,0.10832859008508233,-0.1444903972477256,-0.05119957736985459,0.053799231100035594,0.058557777864672866,,,,0.08117659263587329,,-0.08892112478783565,,0.010383582282791792,,-0.04590878867735437,,,0.20790849770233866,,0.05360030667649607,,,-0.00668067666600769,,0.012610792152572436,,-0.008450204778832182,,,0.039628338670325766,,-0.0725994712023279,,-0.047788542859664496,-0.07428213630794822,,,0.16655613252235724,,,,,-0.008612274277639553,-0.07159860556967557,,-0.04933971452585162,,,-0.17267646519631463,,,-0.10322143716937382,-0.02977660567799645,,-0.0769797374195127,-0.006871114734946282,,,-0.060223121228851983,-0.008170908208070315,0.09456442699255752
8,,-0.0629005229477787,0.013328505979933958,,0.12097736457110564,0.021110669583867647,,,,0.03483879885341623,0.04278408346669771,,,,-0.042242361556177555,,,-0.019859712168238897,,0.0292689487313047,-0.034356096807906855,0.0012611681217772341,,0.02265233560255364,,,,0.09417910240551998,-0.014671847532963828,0.012772439841623628,,-0.00024083857706823364,-0.00047231361427732543,,,,-0.001962905983990501,,-0.0030895785339233595,,,0.0003053508193016641,-0.0069346839729853005,,-0.004427868760169708,0.0019700662688899376,,,,-0.0013624136872638082,,-0.006043947381254314,,,-0.0007411812463396644,,0.14194844295678063,,,,0.033580334359336717,-0.04187611136457825,,0.11941777648180452,,0.009117342207543677,0.06530643040332818,0.09081390418874746,,,,,,-0.12374671508066482,,-0.021936458624698174,,-0.056903587722672455,,,0.13766207723190238,,0.03478818480468848,,,-0.02044842644442002,,-0.017304523105556857,,-0.013296605302345998,,,0.021748743884911312,,,,0.08891147479070227,-0.046161180992623896,,,0.23854753229839543,,,,,0.017998616828114766,,,-0.010839409349219231,,,,,,-0.07025447673142504,-5.057251755968828e-05,,,-0.02158253907446883,,,-0.03713565978087208,0.03058249467738805,0.06915581205667409
9,,-0.015999872020526662,0.0044243619565964565,,0.0860878268834071,0.042056599664620276,,,,0.06850051858337913,-0.01705326600420154,,,,-0.05812544792072072,,,-0.006632357069296546,,-0.00887343131395446,0.025893196594264145,0.017143762698168752,,0.02370173746525639,,,,0.08754791171094092,-0.015496438719913685,0.012497550940822721,,0.0003904308510556953,-0.0009071683415494275,,,,,,-0.005538149463246739,,,-0.000560984174873852,,,-0.0035374408012631853,0.0013784086241775129,,,,0.0022562943263356727,,-0.005943127292828934,,,-0.0009351418962916386,,0.14207370130228164,,,,0.05579110992514735,-0.056006108825791046,,0.11648724288730428,,0.016238497495250748,0.0802895804263235,0.12209126194266551,,,,,,-0.13071821027008368,,-0.04017036351329506,,-0.12274036047274439,,,0.2569118452046544,,0.08676803526582377,,,-0.007646661946760558,,0.023411008220560747,,0.011856534053003687,,,0.08088864899918312,,,,0.09444840620111794,-0.0792701825950699,,,,,,,,0.007279698296136283,,,-0.03921696068776592,,,,,,-0.03206322723364874,-0.025508822627053895,,,0.02494489042605008,,,-0.07939900038250669,-0.006924392542260183,0.07640429785099923
