,2010-12-01,2011-02-01,2011-03-01,2011-05-01,2011-07-01,2011-08-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-04-01,2012-05-01,2012-06-01,2012-08-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-03-01,2013-04-01,2013-05-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2014-01-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-11-01,2016-01-01,2016-02-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01
0,0.017913331914441777,0.055693061433549795,-0.09694257369336556,-0.08090097700882248,-0.04216435021093279,-0.050109041181125136,0.0721831615828199,0.052878404766279585,0.04272061393484061,-0.021244600441614914,0.048438523273277134,-0.07020163397248425,0.02052630611524009,-0.02024263324299902,0.0594487314232407,-0.013996708814023595,0.1645338879034675,-0.052569433118120124,0.16169953487471234,0.11843635818484799,0.037077376783145155,0.10106409806411287,0.04887271488808187,0.1357442607521968,0.17827336411121175,0.030148699680953905,0.1530702535219619,0.04781245700308023,0.033240804384605305,0.0606194982549253,-0.021204025716871744,-0.036869404301623554,0.039686285015331446,0.0337151844595156,-0.06403050045473913,-0.047091610566510234,-0.10169775981344542,0.06268261814261944,0.05645964319794228,0.043932177887617385,-0.03687621678221875,0.008858398768943232,0.04303945164245926,0.12796067887879392,-0.06167126625392383,0.05227257105789418,0.02161979843885442,0.11160458464825185,0.047833366517110676,-0.023028722978408078,-0.01842703200323359,-0.036874728831514325,0.01573920891542513
1,-0.05657563314795189,0.05859165547174161,,-0.14809474899655672,-0.006073625597130317,-0.010200477824638732,0.0669199299923342,0.0687043147269053,0.0660733971602252,-0.046022662321834495,0.07862077917162935,-0.1035354684026677,-0.02314028145158087,-0.014689988382819763,,-0.029975596089444334,,-0.0856857550673027,,,-0.007758639074656237,,0.12083009013349333,,,0.0026634888506171794,,0.11215428749081413,0.021997350781043368,0.06509838880500851,0.010111496595283764,-0.05998120217386793,0.03978258145436353,0.029443267661400707,-0.02502025281766118,-0.0881444053125704,-0.07096761494868353,0.06015943493457776,-0.04331161547143525,0.007043814159317208,-0.03756782787315549,-0.05044699036189071,0.03196103920960924,,-0.08605203802163341,0.024403827452244897,0.037957677218494634,0.14750862569081535,0.0195429068156594,-0.025112217802532255,-0.010753134819359689,-0.0183596492329392,0.007209377410524853
2,-0.061542964475496564,0.03440139366048767,,,0.10114014935455629,0.06192126909806461,0.047331149118608806,0.055257637482200916,0.07912714265241139,-0.06567953937938587,0.0719596173423831,-0.06207399213896192,0.05501737285558406,-0.0008250151584157095,,-0.02038071052820678,,-0.04087716044234302,,,0.016268648070226988,,,,,-0.02177887030407355,,,0.03420559203153739,0.07062334454410424,0.007657435093873843,,-0.032134435978107945,0.050278279473499055,-0.012686686574160944,,-0.047625891545803656,0.10824910485781647,-0.03092102541865005,0.0006582413025069123,-0.13557409482918925,-0.05648173822316682,-0.06777768403732454,,-0.09773471201193074,0.016724681910693873,0.0182205862964806,,0.01582935355951509,-0.03879006163808163,0.058283338974284726,0.007903995949560372,-0.007661526094883353
3,-0.13088205172699574,-0.013569970007607735,,,0.10326086625898778,0.1222644756893203,0.1117096633116903,0.036474937746617364,,-0.05225437360423868,0.043213334207185206,-0.08291188559347873,0.08465963344444649,0.007771349456857202,,-0.017412195750230453,,-0.09606777388858756,,,0.05674155774970835,,,,,-0.04008329430898483,,,-0.0439612356392074,0.10264602667895795,0.02954054286217911,,0.03773428406057544,0.04561345225158853,-0.00030924303941393116,,-0.05193418072487899,,0.0026798448572153966,-0.013993638486742732,,-0.002149935979604667,0.0172122630829894,,-0.1367124788723082,0.006795261809116937,0.031012804138749406,,0.03842287981167658,-0.055756185652193535,0.05440045769821844,0.03621563290717367,-0.006539531926759601
4,,-0.005748819310133602,,,0.1058110229685747,,0.12029791466621464,0.04339539796321046,,-0.06835509813439611,0.052471309357418505,-0.09677903926218256,,0.011458540479516444,,-0.03489044898891103,,-0.036206385535344054,,,0.07257969337148484,,,,,-0.033059476009278166,,,-0.02438683143525422,,0.04062223164201395,,0.029819474089445297,0.04471271676499322,0.055931531682009594,,-0.048944742520308004,,0.03799792132173163,-0.015192600250931498,,-0.04368236915559898,0.08336362132273001,,,-0.04520326178140843,0.09456588953730583,,0.03142310083950317,-0.0419869228986991,0.06536195465139127,0.015443063598449491,-0.0035977118218359916
5,,-0.0019102432810962355,,,0.06772969764291492,,0.10143372675286066,0.01916317373619103,,-0.08255144781650348,-0.028563621523441718,-0.08314620489982705,,0.038003125087465506,,-0.01274531760478137,,-0.07861678136210859,,,0.1125265608488708,,,,,-0.03873266217207161,,,-0.005729081044419049,,0.0068240435189852455,,0.02916726034064432,0.03900214874087071,0.03634200547343658,,0.03891374933827052,,0.04156960416204658,-0.037256198611675284,,-0.037639298250854214,0.06703817218380204,,,-0.057728190068968344,0.08914043186249332,,0.03303461859510115,-0.021979154271324797,0.05790849265306863,0.038186700520693506,-0.016696421106156656
6,,0.011285166718657758,,,0.08397795724474211,,0.07572244964519115,0.028169730124050885,,,-0.05008681394568004,-0.06726928673976662,,0.04317148208836841,,0.0067529489261481945,,-0.06474151797049021,,,,,,,,-0.03309266212962236,,,0.03865848550974427,,0.04555080723537053,,0.012666947011116925,0.060752404499582635,0.027292248876645053,,0.023230617639654616,,0.011201899600199017,-0.029403927015172027,,-0.0032732163206325993,0.035565813024386106,,,-0.07985162875561058,0.08694024808763023,,-0.12235848826872697,-0.039721562417321055,0.04491484718076477,0.05114404182350496,-0.00520932536382368
7,,0.027970321946073184,,,0.08135299757316616,,0.09883474280546878,0.0734789155247233,,,-0.07371020516893978,-0.0733744702846062,,0.04261027011048535,,-0.021736828596500057,,-0.02864647273211851,,,,,,,,0.003258592183607467,,,0.032870681551973036,,0.06684882465042241,,0.006359779666684329,,0.024277140987801205,,-0.03468369356904821,,-0.01430375378037807,-0.09510572604280298,,0.03615874132243091,0.07749026209316456,,,,0.08375512711475075,,,-0.0406615972796025,0.04593734925106863,0.09916970677067471,-0.013393922992751106
8,,0.02432468438373192,,,0.012221831204579203,,0.07106676585286387,0.09531874290010078,,,-0.09210982136725976,-0.06450173897391753,,0.03984703290131142,,0.005047938634513471,,0.017616620758976076,,,,,,,,0.014164216440385013,,,0.028136134194445495,,,,0.021049487509072318,,0.03396714718070781,,-0.02898942294840623,,-0.01031237395527107,,,0.06991118709406097,0.07383931139294964,,,,0.08895884805463083,,,-0.046614214525754205,0.07957035191921569,,-0.007653170345996774
9,,0.056249683108469783,,,0.029776142040183196,,0.12941695597979574,,,,-0.1157278481523214,-0.08390979847258517,,0.03934830614944129,,0.0028544431343262566,,0.09289904254626791,,,,,,,,-0.01413762618460046,,,0.04560806584195598,,,,-0.010588295022224248,,0.02563557208109757,,-0.06301541831872792,,0.00852153360832908,,,0.04038331489836722,0.09575176202896385,,,,0.10314553383437008,,,-0.04818720304579194,,,-0.025259571535266367
