,pair,TStatistic,PValue_T,significance
0,"(1,2)",5.375872022286244,0.005784564495535118,**
1,"(1,3)",8.838834764831843,0.0009044639396769474,***
2,"(1,4)",6.363961030678928,0.0031255892524457277,**
3,"(1,5)",9.827076298239907,0.0006012463462906059,***
4,"(1,6)",5.303300858899107,0.006073611651889929,**
5,"(2,3)",3.9999999999999996,0.016130089900092532,*
6,"(2,4)",0.5000000000000002,0.6494501780131945,NA
7,"(2,5)",5.196152422706632,0.006533376338915146,**
8,"(2,6)",-0.9999999999999998,0.38680875391800673,NA
9,"(3,4)",-4.949747468305832,0.007762602689870699,**
10,"(3,5)",0.9999999999999999,0.42264973081037427,NA
11,"(3,6)",-7.071067811865475,0.0021106458450912712,**
12,"(4,5)",7.999999999999999,0.0013238969092171688,**
13,"(4,6)",-2.1213203435596424,0.1011915072182954,NA
14,"(5,6)",-10.999999999999998,0.0003881713384940143,***
