,pair,TStatistic,PValue_T,significance
0,"(1,2)",-14.072814844481488,0.0001479610989428994,***
1,"(1,3)",-13.804314522537801,0.00015960589482880735,***
2,"(2,3)",-3.328406008639215,0.02914894995774145,*
