,pair,TStatistic,PValue_T,significance
0,"(1,2)",-5.42465915526229,0.005599671780738089,**
1,"(1,3)",-2.3958061803527717,0.07643273398553334,NA
2,"(1,4)",-0.5087779786460515,0.6418274349857884,NA
3,"(1,5)",1.5935780700513007,0.18696811226550697,NA
4,"(2,3)",4.4196950511055535,0.011513617514427218,*
5,"(2,4)",5.371980409231366,0.005799632018687602,**
6,"(2,5)",6.010425913351299,0.0038579062027626894,**
7,"(3,4)",2.300381744294184,0.10183011455853326,NA
8,"(3,5)",3.9377465818240727,0.016991937671939662,*
9,"(4,5)",2.4745407815932356,0.07499856176196208,NA
