,pair,TStatistic,PValue_T,significance
0,"(1,2)",-5.904891059740537,0.004116383705235635,**
1,"(1,3)",-15.719021702791936,9.568006220088155e-05,****
2,"(1,4)",-0.27995344443567777,0.8002402928605581,NA
3,"(1,5)",1.8657769388117307,0.16896543116857385,NA
4,"(2,3)",2.9976248173470914,0.04003564770516875,*
5,"(2,4)",5.415843227605222,0.005632541276572836,**
6,"(2,5)",6.312107758143428,0.0032215694752866534,**
7,"(3,4)",6.720857959410783,0.0025522691047756767,**
8,"(3,5)",9.52274798898154,0.000678938275850385,***
9,"(4,5)",1.5971281534998731,0.18591687507338128,NA
