,pair,TStatistic,PValue_T,significance
0,"(1,2)",-28.797891842572874,8.654168227541566e-06,****
1,"(1,3)",-2.6028965433708926,0.11126299527460842,NA
2,"(1,4)",-4.0477958827055,0.015503888836085231,*
3,"(1,5)",-0.7580001988024855,0.505441028324625,NA
4,"(2,3)",19.223442126286226,4.315510048195201e-05,****
5,"(2,4)",27.820279482193712,9.930558647508063e-06,****
6,"(2,5)",26.740385286022704,1.1626321538637116e-05,****
7,"(3,4)",1.4871444822572792,0.26739772376042387,NA
8,"(3,5)",2.102203475587,0.13509413037790477,NA
9,"(4,5)",1.6418600686599114,0.20824459536357948,NA
