,pair,TStatistic,PValue_T,significance
0,"(1,2)",0.5141178664632639,0.6364126844706052,NA
1,"(1,3)",4.259636441974957,0.013057384555902343,*
2,"(1,4)",6.752051998138566,0.0025085754217075637,**
3,"(2,3)",4.568960424541062,0.01026887074655232,*
4,"(2,4)",7.372631051582236,0.0018037983479502777,**
5,"(3,4)",3.8575790374967474,0.01818471541964495,*
