,pair,TStatistic,PValue_T,significance
0,"(1,2)",-21.15910192835919,2.949326927445046e-05,****
1,"(1,3)",-21.40541102820325,2.816853642098547e-05,****
2,"(1,4)",-14.314258848274285,0.0001383808112873072,***
3,"(1,5)",0.10476447515151296,0.9238285318393131,NA
4,"(2,3)",10.742139597615973,0.00042570131970207304,***
5,"(2,4)",16.41230758552778,8.068629277536162e-05,****
6,"(2,5)",20.220470086294377,3.531327389683165e-05,****
7,"(3,4)",10.508015541912222,0.00046375854991973577,***
8,"(3,5)",17.59541596665044,6.127153128373539e-05,****
9,"(4,5)",10.039681359586634,0.0005534513132942736,***
