,pair,TStatistic,PValue_T,significance
0,"(1,2)",7.253286440494222,8.777306569673988e-05,****
1,"(1,3)",7.2857529693186605,8.505207832548942e-05,****
2,"(1,4)",8.296906759445873,3.356126777237201e-05,****
3,"(1,5)",9.061110620275729,1.7631333492128398e-05,****
4,"(2,3)",0.6251096007584866,0.5514495329843923,NA
5,"(2,4)",3.087303101897598,0.014950515172527516,*
6,"(2,5)",5.915689646097452,0.0003554104033782278,***
7,"(3,4)",1.6068438256182977,0.16436596375219045,NA
8,"(3,5)",3.549445961228827,0.007515512666108785,**
9,"(4,5)",3.7045635401275976,0.006003077983203469,**
