,pair,TStatistic,PValue_T,significance
0,"(1,2)",-12.590237276899924,0.00022906969218545702,***
1,"(1,3)",-1.4952648949370637,0.2123446126034534,NA
2,"(1,4)",0.08470675902761188,0.9365757520176259,NA
3,"(1,5)",1.617728498184805,0.20399904810806818,NA
4,"(2,3)",10.658834732310304,0.0004387814591212172,***
5,"(2,4)",12.473290414296768,0.00023759825320270766,***
6,"(2,5)",14.993190378183114,0.00011529325646852083,***
7,"(3,4)",1.5387176832553917,0.20055746013707218,NA
8,"(3,5)",3.1236203482913125,0.03540258963690397,*
9,"(4,5)",1.4456027728570815,0.24657285135606438,NA
