,pair,TStatistic,PValue_T,significance
0,"(1,2)",4.656347210321176,0.009615747473096316,**
1,"(1,3)",9.536108073908265,0.0006752748611669431,***
2,"(1,4)",13.04474199241537,0.00019933493167513048,***
3,"(1,5)",14.038212581389713,0.00014940096360400114,***
4,"(2,3)",6.079754994001308,0.0036989085347902857,**
5,"(2,4)",9.88761085828365,0.000587132875705204,***
6,"(2,5)",11.16978969545468,0.00036569103567934394,***
7,"(3,4)",1.8872654462192056,0.14619461964048172,NA
8,"(3,5)",3.8523056434865794,0.01826664003854299,*
9,"(4,5)",2.685931728285715,0.0590583221280052,NA
