,pair,TStatistic,PValue_T,significance
0,"(1,2)",-49.26063354621778,1.0161529329932211e-06,****
1,"(1,3)",-18.428141518610065,5.102078636257453e-05,****
2,"(1,4)",-9.895453437805356,0.0005853346308163326,***
3,"(1,5)",-2.093471569279926,0.1063141237663236,NA
4,"(2,3)",24.928129242854247,1.537260915315919e-05,****
5,"(2,4)",43.71936971515917,1.6365995715850592e-06,****
6,"(2,5)",43.86095913365437,1.6156052250058228e-06,****
7,"(3,4)",11.475698265325418,0.00032912669469435803,***
8,"(3,5)",15.527465679319972,0.00010042337013640611,***
9,"(4,5)",6.681359845917094,0.00260894823783383,**
